Review ,Rating,Polarity
"We recommend Adelphi Suites based on location and service.  The hotel is located about a 5-minute walk from the Nana Skytrain station that connects to the Suvarnabhumi airport and about a 15-minute walk from the Sukhumvit MRT blue line (underground train).  It’s about one half a block down from the busy Sukhumvit Road, but the hotel is quite quiet.  Rooms are spacious and our room had a washer drier unit which was convenient.  Sang, one of the hotel lobby managers, helped arrange a driver for us for a one-day excursion to Ayutthaya.  Our driver, Yai, was terrific and we highly recommend him for day trips and excursions.  He can be reached directly at these numbers: +66982756434 or +66830249870.    The Adelphi is located very close to some great restaurants: Kinnaree that is",5,0.9393
"Just completed a 14 night stay here which, as usual, was very enjoyable. When looking for a hotel, we take a number of factors into account. ROOMS - ours was spacious, clean and comfortable. LOCATION - excellent. There are countless bars and restaurants to cater for all tastes and pockets just minutes away. (Incidentally, one of the best is the Hotel's own restaurant - Monsoon- which offers a wide selection of good food and drinks at reasonable prices). And a Skytrain station - Nana - at the end of the road. STAFF - all are polite, efficient and very friendly. They illustrate why Thailand is known as the Land of Smiles.  We have already booked further stays in January and February, which shows how much we like this place.",5,0.9851
"Feels more like an apartment rather than a hotel. Great facilities and the service is incredible. Great location as well. Right in the middle of everything, but also off to the side so it’s not too loud. Overall, amazing place and I look forward to staying there again!",5,0.9192
"We loved how central this hotel was to everything in we needed to get to in Bangkok. It was very close to coffee shops, good restaurants, the BTS, shopping malls, and of course taxis and tuk tuks galore. We enjoyed being able to walk to were we needed to go and got taxi’s to every where else we wanted to visit such as the temples and the riverside. Would recommend this hotel because it felt safe even though it was in the red light district. They supplied everything from laundry detergent, to toiletries, to kitchen supplies which we never used. We loved how we were able to use the washing machine whenever we needed too which was every day in humid and sweaty Bangkok. The laundry machine was one main reason why I booked this hotel. When you book 4 nights through the hotel itself",5,0.9607
"This hotel has is all.. * amazing location * amazing rooms * a great staff * a good restaurant * a fantastic breakfast  We just loved our 6 day stay in this hotel, And we will be staying here again on our next visit to Bangkok!!!  Also a big thanks and shout out to ""cream"" for the super service!!!",5,0.9849
"Location is just perfect if you are for a few days in Bangkok. Had the upgrade for the Premier Suite, which was really big. But all rooms are have a good size and all the necessary equipment you might need - e.g. hot water cooker, fridge, table&amp;chair, comfortable bed and many other things. You have a nice pool with great view and a good equipped gym (with AC). The people working in the hotel were friendly, the daily cleaning service was exceptional. In the floor there is a very good restaurant Monsoon, which have also high level non-thai food choices. And you could order it as a room-service. For sure the Adelphi Suites will be my hotel, when I am in Bangkok again. You can't do anything wrong with that choice.",5,0.9829
Clean neat apt. Washer/dryer but bring pant and clothes hangers for items that can’t be tumbled dried. Close to all Sukhumvit has to offer plus only 50m to Nana BTS. Monsoon Restaurant good with a varied menu. Good breakfast. Definitely would stay here again. Staff are very courteous friendly and obliging.,4,0.9769
"Great place. Its right off sukhumvit and the nana stop is right there. The little street itself is lively and has some nice restaurants. Go out to sukhumvit and turn left and you will get to artbox, an open area with shops and good food. Very enjoyable",5,0.9286
"We booked a studio apartment which was spotless and had all the imenities you could ask for. Check in staff friendly and the location is on a side street just of sukhumvit road, close to nana Bts Station. Bell boy got us a meter taxi back to bkk. ",5,0.4939
"I traveled with my mom to BKK and found this hotel situated at a great location. It is adjacent to the BTS in a few mins walk and in a walkable distance to MRT. The staff are warm and friendly, very willing to help and answer to our requests. Room is clean and great breakfast choices. The suite at 16/f even has a washing machine which is so unexpected! ",4,0.9599
