UID,Hotel,Overall Rating,Overall Polarity,Latitude,Longitude
1,Adelphi Suites,4.5,0.886863,13.738969,100.5535832
2,Amara,4.5,0.859293,13.7288889,100.5253113
3,Ambassador Hotel,4,0.708998,13.7417893,100.554639
4,Anantara,4.5,0.877291,13.7409309,100.5379474
5,Baiyoke Sky Hotel,3.5,0.852928,13.7544507,100.5380519
6,Banyan Tree,4.5,0.927883,13.723762,100.5375352
7,Citadines,4,0.818278,13.7439329,100.5545967
8,Furama Silom,3.5,0.634285,13.72476,100.5231103
9,Hyatt Place,4,0.826683,13.7279671,100.5660899
10,Lancaster,5,0.91832,13.748743,100.5651593
11,Marriott Marquis,4.5,0.900646,13.7304211,100.5633926
12,Novotel,4,0.728081,13.7314631,100.5621958
13,Prince Palace,3.5,0.490141,13.7540109,100.5128985
14,Pullman,4.5,0.879672,13.726083,100.5236698
15,Radisson Suites,4,0.75995,13.7440548,100.5555007
16,Rambuttri Village,3.5,0.594986,13.7615152,100.4940791
17,Riva Surya,4.5,0.896703,13.7620557,100.490842
18,Royal Orchid Sheraton,4.5,0.86532,13.729053,100.5113853
19,Siam Kempinski,4.5,0.842208,13.7484102,100.532607
20,W,4.5,0.887167,13.7221885,100.5264121
