Review ,Rating,Polarity
"If you want to be in the heart of the city and close to everything then stay at the Amara Bangkok.  The staff is so friendly and helpful.  The rooms are very clean, the roof top pool gives amazing views of the city and has a bar for drinks if you wish, and the front dest staff are happy to make travel around the city arrangements for you if you need to.  The price is very reasonable for a hotel of this calibre.  Stay at the Amara Bangkok.",5,0.9701
"We loved our stay at Amara Bangkok, we were only in Bangkok for 2 nights on our 2 week trip to Thailand but I wish we stayed longer as Bangkok and Amara was one of the highlights of our trip.  We were welcomed with a refreshing passion fruit drink while we waited to check in.  The room was spotless and very modern, if you can request a room on one of the higher floors for the best view.  The rainfall shower was the best shower ever!  The rooftop pool and bar is INCREDIBLE the views are like nothing I’ve ever seen before. There aren’t many sun beds up there, so if you can get there early!  You are given pool Towels at the bar and the room has robes which most people will wear up to the pool.  We had dinner at around 5pm in on the rooftop and luckily for us we were the only people",5,0.9882
"This was our first time/city in Thailand and Amara was very welcoming. The rooftop pool/bar was our favorite with a happy hour in the afternoon and great views from the pool. It was also open late which was nice for after dinner. There isn't much in the minifridges, but they have a midday happy hour with free drinks and snacks (sushi, fruit, noodles, dessert). There were a lot of options for breakfast and everyone working there was so kind. It is located on a busy street, but the employees were helpful in getting taxis/tracking down grabs. We were there for only 2 nights but enjoyed our stay!",4,0.9881
"Lovely Hotel near 2 Skytrain stations. The Hotel has a  Rooftop bar with a fantastic view over Bangkok and an infinity pool. it‘s the perfect place to start or end the day. The breakfast buffet is fantastic, the personell very friendly and helpful. The beds are compfortable and huge.  The night market is basically around the corner, with the Skytrain you get to MBK and Siam Paragon Shoppingcenters very quickly - but also to the River where you can catch the shuttle boat to Icon Siam. Lumphini Park is within walking distance (European standard!) The city is huge - i recommend a private guided tour to the palace and the numerous temples. I met a very good english speaking guide in Bangkok so i booked 2 tours with her. ",5,0.9673
The free minibar consisted of bottled water and random sodas without a diet soda option. No alcohol. The breakfast benefit was canceled reportedly because of concern for coronavirus so didn’t get that benefit. No diet soda in the club room. The happy hour was nice but I can also just buy my own $2 beer somewhere else.   Hotel is totally fine. The pool has zero shade and few chairs so it’s good for a photo and that’s it. The do not disturb sign is taken as a suggestion which may be a cultural thing but ultimately was very annoying. If I put that up then I don’t want you to knock or ring the odd little door bell the rooms have. Wouldn’t return.,2,0.8592
The hotel is nice but I was more than disappointed as I had booked the club category and was told that there is no breakfast at Club Lounge as advertised. I pay more for a room to get the Club Category but then there is no breakfast and no snacks as advertised. This is very bad and Not Worth booking club category!,2,-0.9645
"Such a great hotel. Staff we’re so friendly and attentive, as soon as we arrived we were offered an upgrade as there were rooms available. The room was clean with a great view. The infinity pool was breathtaking and so peaceful, giving us a taste of luxury amongst the hustle and bustle off Bangkok.",5,0.9755
"Stayed 2 nights in a Club room. Very comfortable bed, room in good condition, good AC.  Good breakfast, ate in main restaurant but went to lounge for coffee/cookies and evening for included drinks and snacks which in fact could make a meal (1 hot option, a few appetizers and some desserts)  Club room had late check out (3 pm) included, very much appreciated before heading to the airport (took taxi meter both ways)  Great service from all staff.  Excellent location in Silom, close to BTS and MRT stations (walking distance in 10 min)  Would recommend without hesitation!",5,0.9826
Great hotel the staff were fantastic could not do enough for us also had a great room would recommend booking the club room would like to make special mention of Golf in the concierge service and Katlar forgive me if spelt wrong she was always very helpful in the club room serving breakfast and drinks in the evening,5,0.9665
"Recently stayed at the Amara. The room was spacious, clean and filled with  amenities on a daily basis. The roof top pool offers spectacular views of the city at night. This was definitely a highlight having a drink or two up there each night. The hotel is within walking distance to the local train station which we opted to use daily instead of the corrupt taxi drivers who became just a nuisance. A five minute walk down the road takes you to the well known Patpong Night Market with some good food options nearby.",4,0.9118
"This hotel is just great for anyone who wishes to visit Bangkok. As I really did not find anything negative I give 5 stars! Here are some positive things worth mentioning:   + spacious clean rooms with stunning views out of big windows (executive room)  + amazing rooftop with lovely pool and insane views (especially at sunset; I would even say that the views outperform those of the more acknowledged Bangkok rooftop bars)  + good location  + fair price/ value for money  + friendly and helpful staff (receptionist, barkeeper, doormen, ...) ",5,0.9885
"The Amara Bangkok is a gem in the heart of Silom. Great location, close to amenities and public transport. The facilities are superb and service is second to none, I highly recommend Club 10 room on the 20th floor",5,0.7829
"Great staff, clean rooms, comfortable bed. We did club level room and was amazing - definitely recommend. Breakfast was great and we loved our stay. Nothing but good things to stay about this hotel and their staff!",5,0.8941
"Beautiful hotel. The room was very clean, beds were comfortable and staff were very welcoming. Buffet breakfast was 10/10, had a large variety of food and the coffee was good. The roof top pool was stunning and a great place to relax and enjoy Bangkok. The cocktails were awesome. Highly recommend, would stay again!! ",5,0.9894
"Hotel has great location, close to BTS skytrain and Patpong nightlife. We had Deluxe twin room at 14th floor. Views were nice, beds and sleeping quality were great. Big shower with good water pressure. Only minus was carpet on the floor in the bedding area, it had spots and wearing out. Pool area was beautiful and afternoon time was no problem to get place for sunbathing and drinks. View is stunning. Also pool was great for little swimming and relaxing.",5,0.9696
"We were on the top 2 floor rooms which are an upgrade, but they include a daily cocktail and hors,d'oeuvrs nightly for several hours plus a wonderful breakfast downstairs, or on an outside deck on the 20th floor offering a lighter breakfast. The rooms are beautiful with a full sized bathtub and separate shower. They even have a Toto toilet with a washlet and a full size glass wall that can open into the bedroom. The rooms have beautifully built in shelves, cupboards, and closets.  A rooftop bar and infinity pool overlooks the skyline views.",5,0.9575
"Modern business hotel. We booked a room with access to the club lounge, so we had breakfast on the terrasse of the 22nd floor with wonderful view, and they serve snacks and drinks in the afternoon for free. We also enjoyed the rooftop bar after long days in the city. The location of the hotel is quite good - not far from the Skytrain Station and Surawong Road seems to be a safe area. Just across the road you have a Somboon Seafood restaurant which we can recommend. Very nice and helpful staff.",5,0.9752
"We booked a club floor room with breakfast included and everything about our stay was perfect. The room, the Club lounge staff and selections and Elements for breakfast. Loved the rooftop pool and the 24 hour fitness center filled the bill for this early riser. ",5,0.8658
"Second time in this hotel, and still good quality. Convenient location, Skytrain within walking distance. Rooms clean and well equipped, breakfast absolutely fine, and very nice rooftop bar with pool. Had dinner one night- good quality and decent priced.",5,0.9298
Location is great since it is walkable to the Patong Night Market and nightlife if you want it. Front desk was helpful in letting us check in early and out late since we had just arrived from a very long plane ride! Complimentary happy hour snacks and drinks have a great vibe and the infinity pool is a great quiet view of Bangkok!,5,0.9738
"We was on a Cruise Ship around the first 2 weeks of January. The Cruise Itinerary included a 2 night Stay in Thailand .   Anybody who's been to Bangkok will tell you that the nearest Port can be 2-2 1/2 Hour Drive each way  so having done this the previous Year  we opted to do an overnight stay.  We booked  the Amaraa  last minute while on the Ship through the Expedia App  It had great reviews and pictures.  It actually exceeded our expectations, from the moment  we arrived ,the staff, the room ,the location and also those incredible views from our room. (Couldn't work out the electric toilet, but it looked impressive) just an Amazing experience.   Thoroughly recommend, great value, great Staff and Services.   You will not be Disappointed.  11/10 . ",5,0.9856
"Amara Bangkok is a perfect destination for business travelers and leisure travelers alike. Conveniently set on Surawong Road, on the edge of the Sathorn and Silom districts, it’s only a few minutes from the city’s financial centers. This luxurious hotel features 250 spacious and comfortable rooms, presenting views of the Bangkok skyline. The on-site restaurants and bars offer a blend of authentic Thai dishes as well as international cuisine.",5,0.8442
"This hotel was amazing, by far one of the best hotels I have stayed in and I would not hesitate to return!  Staff are so friendly, food is lovely, bed is beautifully comfortable! We got free drinks and food from 5-7pm which we weren’t expecting and a minibar which we could also use for free  Great location and gorgeous rooftop pool and bar  My only two (slightly) negative points would be that the sunbeds could do with some cushions as they are a bit uncomfortable without, and the bar drinks are quite expensive ",5,0.9879
Amazing all-comfort luxury room with an amazing panoramic view on Bangkok from the bedroom and from the bathroom. The infinity pool in the terrace is breathtaking and really insta-worthy: we really loved to stay there!,5,0.944
"Stayed 2 nights at Amara Bangkok as our first stop in Thailand Convenient location, clean hotel, good food We opted for a Club room, which was worth it, in my opinion. Club room came with daily breakfast, and evening happy hour with snacks and cocktails. Breakfast spread was extensive and delicious - could order hot food a la carte, or enjoy the buffet which had standard Western breakfast options (eggs, potatoes, meat / cheese, fruit, pastries, coffee, tea), Dim Sum, soup and some hot entrees. Cocktail hour had tons of small appetizers as well. Meals on the club level have a small rooftop bar which was nice to sit at.  Rooftop pool was nice - not huge and not a ton of chairs, but great views and nice to have. Decent gym as well. Room was clean, spacious, with comfortable bed,",4,0.9837
"the stay at Amara Bangkok was good!  The traffic noise was unfortunately still heard on the 11th floor of the hotel!  It was very bad, that for the early check in 2000 Baht per room + breakfast was asked, that is far too much!",4,-0.6333
"Amara Hotel is a place where you can relax with your friends and have fun. The service that they have are excellent, they can speak and able to understand English most especially Khun M and Khun Lew..",5,0.9186
The view was a great place to chill &amp; unwind with friends. The food was delicious and served on time. Sunset view is a perfect time to take a photo in their pool. The staffs was really cool and friendly. The manager Kun M &amp; Kun Lew were very accomodating and hospitable! All of them showed smile to me and my friends. We will definitely go back here soon!!!!😊,5,0.9836
"Beautiful hotel with great service. I will really recommend this hotel to my other friends who will visit Bangkok. Very nice view and very accommodating staff especially the Manager, Khun M and also Khun Lew. Thank you.",5,0.9611
