Review ,Rating,Polarity
I stayed at the hotel for holiday. From 1993 to till now every year's I spend 5-6 times stay in this hotel.  Because I like it's location. The staff are very friendly and helpful. Always had smiles on their faces. Thanks to the friendly and smiling staffs in the restaurant. The room is large and clean. It is very comfortable to stay. Hotel should look at better rates for returning guests. This hotel is my home away from home when I am in Bangkok. Happy to return to this property and now is one of our favourite hotel.,5,0.9883
"But not too much people in hotel  Every contact good everybody’s need to work  Camera for testing temperature , mask everywhere its better organisation than in france !!!! Everybody give you product to clean your hand either in small shops in market We fill very secure    ",5,0.9389
Stayed in this hotel for 2 days in Dec'19. Best part of this hotel is the remarkable ambiance of the staff (except housekeeping who are more than rude). Food spread is highly impressive both by tasta and variety as if they dont want to miss anything.  Room is comfortable and sound proof but somehow very bare with minimal amenities. Only one revolving chair is provided whereas atleast  a single seat sofa is a must. One side of the room looks completely empty. Lights provided are very dim. bathrooms dont have dental kits and if you request housekeeping for any the rude  reply is that your package doesnt allow for same. I hope they also stop keeping other toileteries. They give only 2 water bottles of 1/2 lit. each and when you request for more then these are chargeable @ 60 baht.,3,0.2189
"Had a good stay here.. average,  I was expecting more from it but that's fine..  The overall experience was fine the staff was good they have all the required amentites... everything was good but average ",3,0.8968
"Brilliant location, availability of anything and everything within proximity of the hotel property. Clean and large rooms, very helpful staff and helpful staff, wonderful dining experience in-room at at any of their restaurants within the property. 24 hrs availablity of hot water. Overall a wonderful experience, feels like 2nd home.",5,0.9705
"This Hotel is situated in sukhumvit 11 area. From Suvarnabhumi airport it will be approximately 35 minutes in car. There is metro service available from the airport to alight at Nana BTS station.This option will take around 1 hour to 1 Hr 30 Mins. Once out of the airport,you can tell the name of the hotel and buy the pass to get on to the car.Pay the amount plus toll charges. Conveniently reach the hotel.  This Hotel is big and the lobby is good as well as its a 4 star category hotel. Mostly flocked by Indian tourists. Check in was quick and they take 1000 Baht as deposit (Which is common in most of the Hotels in Thailand). I feel Rooms are a little smaller(Could have been a little better). Otherwise no issue at all. The guy who left us to the room explained all the controls and",4,0.2878
"I have stayed at this hotel - many years ago.  The reception does not appear to have changed in the last 2 decades.  My double room, had been renovated.  Gone was the tub, and a large shower tray replaced it.  The furniture and fittings were replaced or renovated.  However... the shower temperature was either hot or VERY HOT...  Crazy when you need to cool down after a hot day on the dusty streets.  And there was nowhere to place an opened suitcase.  The space on the floor was too small even for my medium sized bag, and there was no other place to put your open bag.  I ended up placing mine on a small table between to are chairs - not ideal at all since it could not open flat at all anywhere... Since this is an older hotel - the walls are thick so I could not hear any other",3,-0.7228
This hotel is one of the best I have visited.I along with my parents visited during February and were amazed by the decor as well as the service provided by the hotel. The staff is super friendly and courteous. Room service is also excellent. The complimentary breakfast is one of a kind. Overall a very nice experience.,5,0.9861
"Hotel is quite huge has an impressive lobby. Checking in and out was super quick with excellent customer service. I stayed in a deluxe room in the tower wing, and although the room was ok in size, I found it a bit old fashioned. Location wise, it’s very close to the sky train station, and there are numerous shopping outlets and restaurants in the vicinity. ",4,0.9577
"It was altogether a relaxing experience, with very cordial staffs. great room service and House Keeping.   Should do something for one or two stray mosquito. That was the only nuisance i encountered.   Rest all a good experience.  Please carry a mosquito repellent for that one or two annoying Mosquito",4,0.8768
