Review ,Rating,Polarity
I love staying here. Great rooms. Great restaurants &amp; bars. Very attentive &amp; friendly staff. The staff remember you if you have stayed here before and after a day all the staff know you. Super attentive to ensure you have a great stay.,5,0.9808
"I was fortunate to stay at this hotel(my first time) and it left a great impression on me. It's a 5 star rated hotel for which each of those stars are well deserved.  The hotel is centrally located within walking distance to some of the big malls as well as the sky train system (a must use when in Bangkok). It has a beautiful reception area with the most helpful and friendliest staff that just highlights the great hospitable culture I have come to appreciate of Thai people. The rooms are spacious, clean and includes a fully stocked minibar (pricy as one would expect from any hotel minibar) coffee making facilities, a safe and iron/ironing board. It also includes a handy phone which you can take with you during exploring or just wherever you go. It's great for creating a wifi hot",5,0.991
"We stayed here for 5 nights, it a lovely Hotel, the location is great a few minutes walk to the train and Central World a huge shopping Mall. The rooms are lovely and spacious and beautifully decorated.  The choice at breakfast was amazing.  The pool was not a great outlook was still lovely.  The pool staff would move your umbrellas and give cold water and a lemon drink.  We thoroughly enjoyed our stay and we will be back in the near future once this crazy COVID 19 has disappeared.",5,0.9839
"Still outstanding. The staff seemed even more attentive than 3 years ago, the service was second to none. Breakfast had moved venues and seemed to have improved as well, if that was at all possible. The highest possible standards appear to have been improved upon since 2017.",5,0.9062
"We stayed 2 nights , the hotel located in the city centre where you are easily going to shopping places or tourist places . BTS station is only 2-3 minutes away. Room was so good, comfortable and clean. Breakfast also great.",5,0.9479
"Nice property no doubt, a very welcoming lobby. Can never forget the receptionist (Garfield, yup her name is Garfield) who was very helpful despite us checking in at 0300hrs. the room was massive and the pool was nice too. over all was great lovely decor at the lobby. The prices for drinks at the bar seemed a lil on the higher side, but then again it is a 5 * property. over all, yes i would stay there again.",4,0.9154
"Had a very comfortable 4D3N stay at this hotel. Staff hospitality and service was excellent from beginning till the end. Room was very comfortable and is good value for price paid. Complimentary breakfast was of a decent range with a good quality items served. In my opinion, the best  thing about this hotel is the location in the middle of the city. BTS station is just outside and many malls, attractions and restaurants are just a 5min walk from hotel.",5,0.9817
"Not to be confused with Anantara Riverside resort which is also a great hotel. The room and poor were nice, the restaurant was good too, they also had good atmosphere which made my entire stay pleasant. Definitely a family friendly hotel. I would love to visit there again anytime soon.",4,0.9749
"The room is super nice and the decoration is superb as you can see from the images.    My brother stayed there 1 night while I’m staying in another hotel nearby.  However in the late night, I got a call from his gf informed me that my brother got seizure. Thus, I rushed out and asked hotel staff to call ambulance.  The hotel staff team came up and helped to contact ambulance and facilitate us for the process. They automatically inform me that do not worry about the room and can comeback anytime after update my brother situation.   At the end, my brother had to admit in the hospital nearby and got released on the next day. During departure, duty manager whom help us since tht night,Tanya, came up with a basket of beautiful flower and wishing my brother for good health.   Once",5,0.9761
"Exceptional hotel with the comfort of the guests at it's heart.  Lovely staff, great location.  BTS sky train station just a few steps away with Central World, Siam Discovery and Siam Centre at the top of the road in the opposite direction.  Couldn't fault it, thoroughly a 5 star hotel (with 5 star prices too!)",5,0.9294
We had a wonderful stay in this hotel where nothing seemed to be a problem for the staff. They made special meals for us as vegetarians. The concierge arranged excursions at a very good rate and also helped to arrange outdoor activities in Chiang Mai. The ambience near the restaurant was very relaxing and peaceful.,5,0.9306
"We stayed at this wonderful hotel for 6 nights, from the great welcome from Sandy checking us in our experience was 100% fabulous. We stayed in a club room and the club team looked after us so well, the chefs were also very good. The pool team were friendly and even though there was maintenance work being carried out, it didn’t spoil our time there. We have been staying in Bangkok for over 40 years in various 5 star hotels,  Anantara has so far been our favourite, see you next year!",5,0.9758
"good service and nice facility. Very convenient to park, check in and check out. Very helpful and polite staff. I will certainly be back to the hotel.  My experience is upto one of the best standard in hotel.",5,0.9371
"We stayed for 3 nights before travelling back to London.  We’ve stayed in many city hotels but this was such a memorable hotel because of the outstanding service from the staff. We chose the Anantara because of the location and facilities and it is as described by other reviews and does not disappoint. However, from the moment we arrived at check in, the professional, friendly and informative service from Tanya was such a welcome change.  This standard of service continued throughout our stay in the bars, restaurants and breakfast.  We were particularly impressed with the Aqua bar and Spice Market and found the prices very reasonable considering it is a 5 star hotel. Check out was equally pleasurable by Sandy and transport arranged to the airport. We will definitely be returning",5,0.9854
Would highly recommend staying at this beautiful welcoming hotel.  We were treated like royalty.  Our day started with a breakfast like none other - buffet style with everything you could hope for - and the coffee was fantastic.  Then after speaking with the friendly accommodating concierge service (especially Mee - she was fantastic) we had our day arranged and headed out into Bangkok.  Upon return we cooled down beside a very large pool with outstanding service poolside.  Our large beautiful room was clean and had all the  modern convinces we needed.  Can't wait to return!,5,0.9894
"Thumb up for Sunday Brunch here as it is very good in quality of foods, variety of choice, worth the money. Staffs also helpful and Thai hospitality smiles. Grand staircases is very gorgeous,  beautiful.  Certainly to come back here again.",5,0.9754
I have stayed here a number of times and more often than not the service and reception does not disappoint. F&amp;B always good and a good choice of cuisines. Location is convenient and so easy to get around. BTS is just metres away. ,5,0.9022
