Review ,Rating,Polarity
"The hotel room is well equipped and clean and what is very important , the view from hotel room is amazing. Even better view , we had during the breakfast, where we were sitting sit on the terrace and admire Bangkok from the sky :) The breakfast was simply delicious  (huge choice of dishes prepared on highest level). I travel a lot and this breakfast beats the competition:)  And what it the most important, the staff, these people are so nice and helpful, amazing. I really recommend this place. I will back there definitely. ",5,0.9908
"Stayed here for 2 nights while travelling and was very impressed. Its sheer size is amazing and throughout the building it is spotless and shining bright. The views are breathtaking. We stayed on the 31 floor and our room was huge with everything you could want in such a fantastic hotel. There's so much to see inside and out. There's bars and restaurants inside including a lake with fish, theres a golf course and pool too. No need to leave the building. My only gripe is the queues to the lifts. Reception is on the 18th floor then you have to get into another lift to your floor. Other than that it was fantastic. Would recommend a visit ",5,0.9719
"Special mention to Mr. Manolo Papag, who extended multiple assistance to our group, not just within the hotel premises but everything that we needed for our family tour in Bangkok.  Given another chance to visit Bangkok again, i would highly recommend this hotel to anyone and everyone.  With its very spacious rooms, one would feel so relaxed and  comfortable .  Not to mention all the other amenities it offers to its clientele, swimming pool, bar, the SUPERB service its staff in practically all units, as they respond so wuickly to whatever should be fixed, etc.  Congratulations to the warm people of your team and hope to have the same experience on our next visit.   Dr. Nenitha L. Junio Bacoor City, Cavite Philippines",5,0.9905
"Stayed many times. Good location with many shopping areas. Good breakfast spread. Reservation manager was always helpful, everything went smoothly for my request, airport transfer and changed of room type. ",4,0.8225
thank you so much for your beautiful services. we are very happy to inform u to that his nature is very helpful. he give us our room earlier as their fixed time. other hotel guidelines are also given by him to us in our language  thank you very much to  Mr. Koushik &amp; Mr. Booby,5,0.9431
"This Hotel has good locality. Right above Indira Market, so you can buy souvenir from there. The first impression of this place was very good, all thanks to kousik and Bobby for making our check in experience so smooth and welcoming.  We were upgraded to a junior Suite (citing we had an infant traveling with us and it was very helpful ad well) which was bigger than the suite of the previous hotel I stayed in koh phagnan. We really loved room, views and amenities the hotel has on offer. Pool was clean and big, Breakfast was good and had plenty of items, Mini Golf was fun and yes the view from revolving deck were awesome.  I will definitely visit this place again.",5,0.9897
Excellent atmosphere with warm greetings from front office. Specially from Mr Koushik G. From Check in to Check out. Specially during departure from Hotel. The other staffs are also very friendly. Suggesting please visit Baiyoke Sky Hotel during Bankok Visit. ,5,0.9254
we are reach our rooms earlyer because of him he give proper information about this hotel in our language and main thing is hotel's service is very satisfying. thanks to Mr. Koushik/ Mr. Bobby ok thank you so much we are happy to see our indian person in this hotel,5,0.9322
"awesome moments there, spent 2 nights. awesome view. rotating floor is not that special unlike mahanakhon, but worth it. food was good, buffet style, no indian food was available, but mixed thai food was great",5,0.9263
"Had a very Good experience in the hotel.. It’s in the interior of city and 21yrs old..Well maintained.. Superb staff Mr. Koushik, Ms. Supansa..Nice Breakfast..Roof top bar and deck is superb. Nice Place to stay",5,0.9432
I stayed there on 3 March . The team of front office was great. I don't remember the name but he is Indian and speaks good hindi. Also his team upgraded me to junior suite. Also he gave me details about the property. On the day of check out he help us to book grab taxi by applying 100 bhat coupon . Property was good.rooms are bigger and view is fantastic. Missed there breakfast. Tried food in cafe on 18th . Food was good,5,0.9509
"It's amazing good view,can see any building in bangkok..location is strategic..many supermarket/plaza around this hotel..very recommend hotel in bangkok..in front hotel there is market street..good service 👍👍",5,0.8481
"Hotel room and location are very valueable which we like mostly about sky view from hotel. Especially very nice service and advisement from staffs(Supansa and Titiporn). All point of interests are located around hotel which is easily walking around e.g. Pratunam shopping center, platinum shopping mall,central world, palladium, paragon. BTS rachaprarob is nearby. Recommend everyone to try it.",5,0.895
It is the best hotel i have been to. Especially service provided by Mr. Kaushik and Mrs. June at the front desk was truly good and exteremly helpful. Would always stay on this hotel whenever i come to Bangkok. ,5,0.9153
Our stay in Baiyoke Sky Hotel was amazing. The view from 84th floor is just awsome. Located at the heart of the city and stone throw distance from Airport rail link Rathchaprarop station. Special thanks to Mr. Koushik who helped me so much in every aspect during my stay starting from smooth check in process to helping me to downloading grab app for traveling in bangkok. Thanks to both Mr. Koushik and Ms. Krishna for smooth and hassle free check out process. I would definitely want to visit again in your hotel next time when I come to Bangkok. Keep up the good work.  Cheers. ,5,0.9771
"beautiful view of bannkok, clean spacious rooms, clean bathrooms, beautiful, friendly staff.  hotel in a central location walking distance if you like shopping. the night market outside the hotel. the street food",4,0.9578
"Its a wonderful hotel situated right next to Indira market and many local  wholesale market for shopping, so if you are an shopaholic this hotel is the best for u to stay, there are plenty nearby indian restaurant so if you are an indian you will not be out of indian foods, this hotel is one of the tallest hotel i stayed its a nice hotel rooms are quite big, but i felt they need a makeover  the rooms looks quite outdated as per the hotel brand when i entered the room there was a foul smell coming inside the  room i guess it’s regarding  the hotel drainage issue i asked the room service to resolve the issue they did to quite extend there is hindi channels for entertainment, i guess only zee were working anyway thats ok, Food was excellent morning breakfast was amazing with lot of",4,0.9796
"You can never go wrong on choosing this hotel! We stayed here for 5days and 4 nights and my kids were super love it! The night market is in the front of the hotel. We have a grandest super al fresco/best view breakfast buffet ever! And the awesome staff especially the beautiful, kind and sexy Ms. Irma Mendoza, help and guide us all throughout our stay, not just in hotel but in the whole Bangkok! It’s a one of a kind experience and will surely go back soon! Thank you!",5,0.9864
We r enjoy our stay at the tallest hotel in Thailand. Amazing breakfast at 81 st floor. And the view is breath taking and we would love to be back again and again. Special thanks to mr. Koushik and Mr. Thew for the amazing stay. At last took the golf cart to airport link  Thank you baiyoksky,5,0.9723
