Review ,Rating,Polarity
"I stayed at the  Banyan Tree in March 2020. The Hotel facilities were excellent, but the staff were another level again. I was after a particular Jade carving in Bangkok. Golffy and his staff at the front desk rang all over Bangkok in pursuit of this item. They provided pictures to me from multiple sites but to no avail. Not to be discouraged they eventually found the piece in Chang Mai, and had it shipped to the Banyan Tree. By this stage I had left the Country, so they arranged freight and Insurance and sent the parcel to my home address. What can I say, BRILLIANT..Gollfy, Thi, Pan, Benz, Boyo GREAT STUFF See you next time..",5,0.8803
"Had a really good night at Moon Bar. Killer view, great jazz vibe and excellent drink. We had Vertigo Sunset and Dragon Ball, well recommended by Ohm. Thanks to Ohm's excellent service, we also got an unblocked view table. You definitely should come here to experience this.",5,0.9577
"Eight of us stayed for 3 nights in March 2020, excellent facilities with the staff going above and beyond expectations. Golffy at the entry made a large number of calls on our behalf and was extremely helpful, along with assistance from Thi, Pan, Benz and Boyo.  Great team and thanks very much. Special mention also for Suksan in the gym, stretched several of us out and engaged and taught some basic Thai boxing skills to others in our group. Suksan is the ideal employee and makes all guests feel very welcome.",5,0.9787
I love the decor and the quality of the rooms. It made the stay really comfortable. The breakfast and meals are of very high quality. The facilities in the hotel is maintained well. Overall service is excellent!,5,0.9311
"The staff in this hotel are super helpful and always make an effort to go the extra mile for you to enjoy the best stay during your trip.  Being a vegetarian, it didn't stop me from enjoying scrumptious food provided by the hotel as they made an effort to cater to my dietary restrictions, especially at breakfast.",5,0.9701
We stayed there as a group. The hotel provided great service. The food in the restaurants within the hotel were fantastic! Location of hotel is within walkable disrance to shopping centres. Will definitely choose to stay there again when we visit Bangkok!,5,0.8997
"Banyan tree was the greatest hotel experience I've had in Bangkok! You are always greeted as if you are family and they personally deliver the best customer experience I have ever seen. Special shout out to John who spent a lot of time getting to know us, checking in on our experience, and even joining our networking session. The food is remarkable, the area is safe, and they always have the best recommendations on what to do / where to go. Thank you for an amazing stay at Banyan Tree!",5,0.9846
"This hotel and its staff are truly amazing...  We will be forever grateful for all the help that was provides by the staff of Banyan tree Bangkok. They helped us to get home by arranging our flight to go 5 days earlier.  Off course were sad that we had to leave earlier, because the hotel is gorgeous, the room was amazing, the food delicious and the staff so very friendly. But with the current situation (COVID-19) we had to get home.  We were very afraid that it wouldn’t be possible for us to get home, so the concierge staff (shout out to Mr Jackie Chan &amp; Mr Nueng) did everything they could to get us on an earlier flight.  And they got it done!  We hope we can come back next year, we wish everyone of the staff all the best.  ♥️  Meike &amp; Jord",5,0.9844
"We had an amazing experience during our Honeymoon stay at the Banyan Tree n Bangkok.  It was our first stop on our Honeymoon to Thailand, and was amazing the.  The Room was awesome and they brought us a special Honeymoon desert on our first night, the staff was extremely helpful, pool was amazing and Breakfast buffet was probably the best we had during our entire stay in Thailand.  We had some different ideas of what to do during our short stay in Bangkok and everyone at the Concierge station was extremely helpful, especially Pan.  Pan helped arrange a taxi for us for an all day excursion to a floating market and Railway market, as well as recommendations on how to get to different areas of the city for things we wanted to do and what we should expect to pay for transportation.",5,0.9819
Beautiful and extremely well maintained property in Sathorn.      In terms of location it’s an easy walk (10 minutes) to Lumphini MRT about 15-20 to Saladaeng BTS but Grab is also an easy option.    The staff are being very proactive with cleaning standards and precautions given the C19 virus and that was extremely reassuring.   The rooms are very large and comfortable.    Plenty of options on the TV if you want to stay in AND inroom dining is very responsive and the quality/quantity were excellent.      The bed and linens were high quality and allowed for lots of much needed rest.    There was an extensive pillow menu.  Water was replenished daily as was the coffee/tea.    Fresh fruit was also replenished daily.    Club level staff were extremely well trained and the offerings,5,0.99
