Review ,Rating,Polarity
"The hotel and staff were fantastic! The whole place was spotlessly clean and very comfortable. I LOVED the location, it was perfect for my stay. And I loved that it is joined to a very well-run Irish themed bar that had huge sports screens and fantastic staff. A credit to both businesses working in partnership. Breakfast served here too which was also top-notch! Great memories and when in Bangkok I will certainly book here again! 10/10 :)",5,0.9914
I really enjoyed my stay there. It's a perfect location but yet quiet during the night.  The staff is always very kind and available.  I had a problems on the second night with the aircon and the technician arrived very fast and resolved the issue.  I am looking forward my next stay. ,5,0.8216
"This hotel is perfect. The room is a small apartment with kitchenette. It's in a redeveloping area which is fast becoming a hotspot for nightlife. The staff are very friendly, the pool is lovely. I will be staying here from now on when I'm in Bangkok.",5,0.8999
Guest service who has checked in me he is so nice all thing have prepare for us check in so fast because we went at late night 🥰 also the price vey cheap and near at the club near 7-11 easy to find the feed ,5,0.7591
"Good length pool to cut laps pretty much in direct sun most of the day.  Pool towels provided.  The hotel provides an on demand  tuktuk service til 9pm to Nana BTS and limited service to Asok BTS / Sukhumvit MRT.  Very pleased with the overall service provided by reception and cleaning staff.  I had booked the Executive Studio, 1 Queen Bed, Kitchen expecting a bath however the first room put in did not have a bath.  Not all rooms will have a bath.  Location wise, you are close to lots of nightlife within easy walking distance.    I paid less than AUD80 per night.  Much better hotel then their hotel in soi 8 which I stayed in last year.",5,0.9286
"The last time I stayed here, it was like a dump but now, it is really very good. Took an advice from a friend and decided to stay here again after almost 4-5 years and no regret. First off, location is great along the party street of Bangkok.",4,0.9281
"Great property in a prime location. Comfortable and spacious with cold AC, strong Wifi signal and dedicated, friendly staff. Small pool on the roof and fun restaurant in the lobby round out an amazing experience with toiletries on-request and a free area tuk tuk.",5,0.9806
"Its located very conveniently close to the sky train that takes you one/two stops away to the city centre where all the malls are if you wanna shop. Located on Sui 11 its good for nightlife and exploring all suis you can get excellent food. The room had a kitchen, work desk, sitting area and was very clean and comfortable.",4,0.911
"This hotel has small rooms and 2/3 room appartments. The rooms and appartments are good, basic and adequate.The staff are very polite and helpful We arrived at 2am and they the people at the front desk were very happy to help u to our room. the beds are Asian type and a tad hard but everything else was good.The hotel does baggage storage at no additional cost which is very much appreciated. Location is easy walking distance to Nana station and Sukhumvit Rd. We have stayed here a few times and found it a very pleasant place to stay. noise can be a bit of a problem Soi 11 is a busy street.",4,0.9384
"Great Staffs Nice Location ( little far but with Free tuk Tuk )  front staffs were great during my stays . Nicely located with plenty of night life and restaurants . Room are clean , and nice sofa . Just need to improve on the bed . Internet free with limited speed.  happy with what we paid for &gt; Good Value",4,0.993
"I recently stayed at this hotel and I must admit that it was one of the best experiences I’ve had while vacationing in Bangkok. The staff was very professional, friendly and helpful! Rooms were meticulously clean and quiet. Thanks again!",5,0.9549
"Great location, near transport bars and malls, good size rooms clean and all requests from me were met quickly, check in was great let me check in very early, normal check in is 2pm I got to the hotel at 10:30am the room was available and I was allowed in with no extra charge. The room I was in was a bit noisy.",3,0.8979
"Excellent location for the areas i intended to visit , Soii 11 is a busy street and had some noise from outside , but the overall stay in the hotel was top notch , I could not fault it  The staff were polite and very courteous and the house keeping were very respectful to my wishes.",5,0.9563
"Over the last 7 years I'm staying at this property and call it as my home in Bangkok. Nothing much to say about Citadines as it's one of the property that might cater all types of travelers. Just look at my other reviews and pics to get more info. At last, thanks to Jenny once again for taking care of my reservation and keep up the service :) Gratitude towards management also :) ",4,0.9371
Glad to have chosen this apartment for my 3 nights stay in Bangkok. So clean and friendly staffs. Only that there is only 1 shuttle tuk tuk provided for.commute to nearest Nana and Asoke station. Will need to wait of more than 6 persons ,5,0.8576
"I have stayed in 2 citadines properties in last 12 months (3 visits). This one - stayed twice. Lovely hotel, lovely pool, clean and great location. Downside: if it's weekend and u r in lower floors - the noise from the pub and disco can be a problem. The food is ok with reasonably priced. My fav place to stay in Bangkok.",5,0.9287
"The staff were welcoming and friendly. Hotel is in a good location, walking distance from bars/restaurants and a train line. Room was a good size and had good amenities - kitchen, seating area, bedroom which could be partitioned off.  We didn't use the pool as it is tiny! We did not have breakfast included and so we paid for it one morning. It was not good. Although there was a good selection, the 'hot' food was all cold, bread was stale etc. I noticed people had made the same comments in previous reviews re cold food but thought we would give it a go in case changes had been made. They had not! Mullis Bar downstairs is nice and had reasonably priced drinks.",3,0.9335
"Situated just a few minutes walk from Nana BTS station, this hotel is a perfect choice for travellers who want to enjoy the Bangkok night life in a walking distance and who want to discover beautiful parks and temples of the city during a day thanks to BTS and MRT lines. ",5,0.936
"I have stayed at this location several times. It’s one of the nicest if you need to do work at Bumrungrad Hospital as the offer tuktuk shuttle service at any time you need to go there (unlike other hotels on Soi 11 that have a set schedule). To my surprise, last time when I returned from the hospital, they prepared a bowl of fruit with a get well card and delivered it to my room. What I appreciated more was their friendly smile and care every time I walked by the counter encouraging me that I was looking better each day. ",5,0.9778
Great place close to nightlife events.and local food store at night. Walking distance to many great night attraction and fun and there 2 night club near by LEVELED AND INSANITY. Different I will come back and bring more friends ,4,0.9254
"Nice room very spacious, rooms are clean, very nice staff, food is great, fast in check in and check out, nice place near malls,  comfortable, good location near malls , has standby taxi and tuktuk, everyday cleaning of rooms, has fast connection of wifi",5,0.9682
"This hotel has a really good location, its close to restaurants, bars, convenience store.The Staff is amazing and the rooms are really comfortable and with good space. I'll be back for sure on my next time in Bangkok.",5,0.944
The Citadines in Bangkok was fairly good value located in the heart of the Nana district and 1 few minutes walk away from the Nana station of the BTS.  One of the most outstanding factors of this place is the friendliness and service of the staff.  They were outstanding!,4,0.953
