Review ,Rating,Polarity
"My partner stayed at Furama in a Deluxe room and found it to the usual high standard.  Despite the low level of customers, and a difficult time for hotels in Bangkok, the staff were friendly and approachable. The breakfast was a bit more limited than usual due to fewer customers but she found sufficient tasty food to make her happy. I had to advise of a late arrival due to a delayed flight and had  to cancel a future booking.  The Client Service Manager, Ms Pattama Khumsap, has been really helpful in that regard, offering a late checkout, and she assisted in arranging for a refund for the cancelled  booking.  Pool is nice with fine outlook.  A good hotel in Silom.",5,0.9294
"Stay : 22/2 -02/03/2020 Returning customer after 1 year away with a very warm welcome from all staffs at front desk same as Front Office Manager, Guest Service Manager, Concierge, Room maids + service staffs at the restaurant. It's still a best place for us to stay when we visit Bangkok, 8 days is gone too fast, wish we have more time there. Room is spacious, clean, quiet, wifi is so fast. Lot of helps provided by front desk &amp; Concierge staffs with all the inquiries and their knowledge of the local area are well advance. Breakfast buffet were excellent with lot of varieties and cater for western, asian (Thai, Japan, Chinese)+ fresh fruits. New 7-11 is on the same side and few steps from the hotel. Management &amp; staffs  maintain this property in a top notch of hygiene, high",5,0.9766
Stayed for 3 nights. Hotel room very large on the 8th floor. Balcony doors permanently locked apparently for safety reasons. Room was a shabby and cleanish Pool and bar on 20th floor good service and staff pleasant although staff on reception miserable although helpful.,3,0.8225
"Had 3 nights here in February,excellent value for money. Large spacious clean rooms. Very special staff. Good variety in the breakfast buffet.short walk to the sky train and Patong market .Great views from the sky bar .",5,0.9366
Furama Silom location is perfect for me! When walking into the reception the hotel has a touch of old world charm and the rooms have a modern elegance (I always stay in the Executive Club which is worth the extra few dollars),5,0.8932
"Good stay here again, I highly recommend paying the extra and going for a deluxe room. Superior rooms are not much more than 'crash pads' The deluxe rooms are excellent, quiet and luxurious. The female reception desk manager here is superb and speaks perfect English if you have any problems. We will be back again next year",5,0.9434
"We stayed allready some years ago in this hotel. The location is great, the room is also large. But we remembered him more elegant as a whole and with a more beautiful view in another room. The view from the swimming pool on the 20th floor is beautiful. Kind staff. Wifi was not working in our room  and the bathroom shower was a little bit broken. Unfortunately, the view from our balcony was also not very beautiful. The mattresses for hard for us. in rrestaurant and reception is ok Wifi internet. However good value for money.",4,0.979
"Furama Silom is a good accommodation in Bangkok, close tho the Skytrain station and with some good services such us the swimming pool on the rooftop. But structure is pretty old, staff not exactly gentle, and, in general, there are many alternatives less expensive and/or more attractive in the city.",3,0.8685
"I recommend this hotel for person, who came to the city for couple days and even more, because here in the hotel, in the bar, near the swimming pool on the roof you are like in a resort:) View on the roof was amazing. Big rooms on the 9 floor (we got 917 and 911). Clean. Good location for reaching Patpong market, another places. Nice stop before going to another islands of Thailand.",5,0.9413
"we stayed at this so called hotel for 5 nights from Jan.22-27,2020, upon arrival i asked for a room on upper floors,they gave us a room on the 8th,floor end of the hallway.The room was large ,sliding glass door which did not open and no windows not in the room and not anywhere in the hotel to get some outside air.....lol...in the shower no vent!. you can smell the dampness everywhere as soon as you walk in the hotel. you feel like you are in a prison...and no one really cared when you asked them why?? i don't know how they can work in a place like that!!!so disappointed ,and what a waste of money....",2,0.8118
