Review ,Rating,Polarity
"Amazing hotel, huge and very clean rooms. Nice view and kind staff. Pool is a bit tiny, but the view from there is amazing too!   Breakfast was very good. I don't have anything bad to say about this hotel. Rooftop bar is very nice too.",5,0.9798
"Great hotel for the price! The location is good, close to everything you need including transit. The pool is clean and has wonderful views of the city. The staff are super friendly. Will stay again when in Bangkok!",5,0.9686
"We had a pleasant stay at the Hyatt. Location is great, breakfast quality is very good. Staffs are friendly, smiling and helpful. Clean rooms. Elevators are fast with almost no wait time at any given time of the day. Reception staff are one of the friendliest of many places we stayed in Thailand. Great job guys!!",4,0.9829
"Our entire experience at this hotel was OUTSTANDING!  Words can't express how happy we were with our stay here.  It was a pleasure to meet Mr. Edd, the general manager, during our stay.  From the staff, to the room, to the hospitality, everything was fantastic.  The abundance of breakfast items is a great way to start your day, too!  Every day was something different and it's delicious, too!  The hotel is in a great location, as well.  The BTS and a big mall are right around the corner and it's easy to get around via various modes of transportation.  We now know where we'll be staying when we're in Bangkok.  Mr. Edd and his staff have made a lasting impression on us!  Thank you so much, for the WONDERFUL stay! ",5,0.989
"I stayed for a night last week for a short business trip, checked in at 7.30pm, checked out at 9am.   It was the first time I experience Hyatt Place, where I think Hyatt positions it as a Aloft/Ibis Styles type of products. The check in counter is blended with a small all day dining cafe/bar counter and a 24/7 grab and go section. I found interesting that they is a list a amenities printed out on the check-in counter, so that the guest can get them to the room, which is a bit like the Japanese Toyoko-Inn's style. I took the disposable shaver kit which is a nice touch for this class of the hotel.  There is no room-service provided, instead, you can go down to lobby to buy sandwiches or snacks at the grab and go section, or order some simple food at the cafe bar. Guests can also",4,0.7096
My family came back to the Hyatt Place as we had such a great experience last year. They took great care of them and we had an upgrade given to us for a larger room on a higher floor. The customer service was excellent and the room was clean and comfortable. ,5,0.9686
"Stayed here for a week and was quite comfortable. The only thing I found odd was that the TV was mounted on the side of the room and at an odd angle that was really no good for viewing. Minor issues that won't matter if you're just staying a couple of days, but still worth considering if you're into this sort of thing. Service was great, and so was breakfast. Chef Aun deserves a mention for his cheerful demeanor and excellent service at the omelette station. ",4,0.9643
"Lovely hotel for families with all the comforts of home including a pool and 24 hour gym!  Can't say enough about the gym - it's quiet and functional and most important of all, open 24/7 - love it. We had an early morning tour and they packed nice box breakfasts for us - very accomodating and thoughtful.  The location is good and complies with our rule - anywhere we stay in Bangkok must be within five minutes of the BTS station. It's a five minute walk to Emporium Mall so just meets our criteria.  The breakfast buffet is above average. The service at the egg station was excellent - very cheerful and efficient. One small critique - the latte machine and coffee beans could be improved.",4,0.9879
"Although this is supposed to be one of the more budget-friendly Hyatt brands, this hotel has better service than most of the 5-star high end ones. The hotel is small, but extremely clean and the service is some of the best I've had. Every staff member is so friendly and helpful and they work hard to make you feel special and welcomed. The rooftop bar is also a really cool way to see the city, plus they have a pool with a beautiful view and an actually very good fitness facility. We stayed at a hyatt regency after our stay here, which is supposed to be 5-star, but the Hyatt Place was honestly much better in every way and I wish we could still stay there.",5,0.9956
"I thoroughly enjoyed my stay.  The hotel was modern, clean and conveniently located.  The service was top notch and I felt I was just as important as any other guest.  Ordered food a few time and it was solid too.  I would absolutely stay there again and I recommend to anybody who will be spending time in Bangkok.",5,0.8999
