Review ,Rating,Polarity
MUST STAY! the picture of the hotel can not compare to being there in person. The hotel is AMAZING and the staff are excellent and go above and beyond to greet you and make sure your needs are met. we were immediately greeted and checked in and personally escorted to our room. our room was a 2 bedroom with a small living room . the beds were the most comfortable we have slept on the entire stay (we stayed in 3 hotels prior to this one). you can order room service from an IPAD --- just amazing. Make sure you get breakfast included with your stay....its delicious and something for everyone. we also got a cab and went to a nearby mall where they had all you needed and then some...quite the experience.  BAR NONE the best hotel stay. we will stay here when we go back.,5,0.9757
"Having been to Bangkok maybe 10-15 times and stayed in a lot of different mid range - high end hotels, the Lancaster has to be the best overall and the best value for money.   You walk in to the foyer and the atrium is spectacular. You are greeted by all the wonderful staff. You are provided with a welcome drink before being shown to your room.   My executive suite 713 was huge and very well appointed / equipped with everting I needed. Just simple things like toiletries, note pad, fruit, stocked fridge, tea, coffee, USB plugs in the right places, an iPad for ordering food, an safe that’s easy to use with internal power socket, rainfall shower etc etc etc... everything is just top quality!   The hotels facilities are great with a nice pool, hot tub, gym, pool bar, spa (had a",5,0.9903
"When I arrived at this hotel my expectations were very high having read previous reviews.I can tell you that I was not disappointed.When we arrived at the hotel, I decided to upgrade our room to Club Lancaster which gives you access to the Club room with additional privileges such as afternoon tea and evening cocktails.My partner and I felt very special and we were well looked after by Tian and Fongbeer(I hope I have got those names correct).Everything in this hotel was luxurious,the bedroom,the Siam Brasserie(we loved the breakfast buffet) and we also enjoyed the Lancaster Bar on the ground floor.All the staff were very polite and helpful.My partner and I will make this hotel our first choice when we hopefully return to Bangkok in the near future.",5,0.9612
"We have just returned from Thailand as the Covid 19 storm hit. We were at the hotel for several days as we changed our plans. They were absolutely superb from first to last. They booked cars, and flights, and got us to where we wanted to be and when we wanted to be there. All with good humour and grace. The hotel  is and remained spotless and a real haven.  Added to that are the usual areas of praise; beautiful rooms, great food, brilliant staff and very good value. This is a truly superb hotel that has really shown its class in the way it has risen to the challenge of the last few weeks.  A particular thank you to their indefatigable general manager Martin Hurley. We are very very grateful and look forward to our return in more normal times.",5,0.9935
Pros: Lancaster is an amazing hotel. The entire staff was amazing. I love the fact that they payed such close attention to their guests. The entire staff was friendly and  anticipated our every need.   Cons: The hallways were quite uncomfortable. Hot and often times smelly. The electricity in our room continually cut off. Which is very bothersome when trying to nap or bathe. ,5,0.856
"I would like to leave my positive review after staying at this new hotel for two nights. We have chosen a club room as we could use the lounge where drinks and some good tapas food are complimentary. The room and the bathroom are spacious with plenty of space.  Very comfortable bed and pillows. Breakfast has several good food choices. Staff are amazing and very helpful. Good outdoor swimming pool and gym. Location isn't very central but is only 5 minutes walk from the metro station where would take you 20 minutes to get to main city attractions. Within 10 minutes walk, you have as well the train station that connects you directly to the aitport in 30 minutes.  ",4,0.9637
"The staff at the hotel were beyond helpful. They answered all our questions, met all our needs, and got us to where we needed to be in Bangkok at all times. The room was awesomely clean, spacious, and very comfortable. The pool looked great(we didn't take advantage of it, unfortunately) and the bar area next to the pool afforded spectacular views of Bangkok. We would definitely stay there again!",5,0.8846
All friendly and professional despite own concerns. Nice rooms and very good breakfast. Had a nice evening in the restaurant with excellent food and good drinks to avoid being outside in the crowd. Thanks to Arm who transfered our luggage and checke for lost property.,5,0.921
"W arrived at this fabulous hotel and were immediately escorted to the Club lounge to complete our check in. This was swift and very professional.  Our room was on the 15th floor and was amazing.  This is a 1st class hotel whose staff are very professional and more than happy to help. The club lounge is a perfect place for tranquility and the service is impeccable . I must mention one of the staff in this area  Frongbeer, who was superb and an absolute credit to the hotel.  We were on a bed and breakfast basis and the choice was also superb. The Hotel was spotlessly clean and the entire staff friendly and helpful. It is located approx 200 metres from an underground station from which you can access all the areas of Bangkok. I would love to return to this 5 star hotel and would",5,0.993
"+ve - jacuzzi in the premier suite - premium gym equipment which was often empty - very large and clean steam and sauna  - club lounge on 18th has good variety of snacks with attentive staff - good quality breakfast options - well located, local stores just outside the hotel are useful - house cleaning were great and kept the room spotless  - complementary laundry was useful  -ve - intermittent WiFi issues - halal food options were not clearly noted - garden terrace under refurbishment which we were not notified of - no noise pollution from it though  Subjective  - breakfast variety a little limited",5,0.9516
