Review ,Rating,Polarity
"A wonderful oasis at the Sukhumvit, closed to BTS and MRT, Shops, excellent management and staff, delicious food - perfect service to everybody even it is a big hotel with more than 1'300 rooms. My sister and I stay now since more than two years in this great hotel",5,0.9669
"Excellent hotel in BKK with well-trained staff that make you feel at home.  Location close to BTS Phrom Phong is perfect for business or leisure.  Well equipped gym, 2 pools and state of the art spa ""Quan"" to be recommended.  Limousine-airport service by hotel very reliable, safe driver and clean SUV. Friendly staff already awaiting your limousine at hotel, leading you to room for in-room check-in.  M Club Lounge offers tasty breakfast and dinner with a choice of beverages and even cocktail bar and cosy terrace. Director of room and M Club team at reception desk is present and helpful at all times. Thank you very much for your hospitality!",5,0.9749
"My partner and I are living in Koh Samui, we love our island life and we also like to have city getaway every while and then. It might sound a bit crazy to have holiday in Bangkok at this moment but this stay with Marriott Marquis Bangkok was a total blast, everything was well arranged even under such harsh situation. temperature check while everyone enter the hotel and hand sanitize everywhere. It's a shame that we didn't get to visit ABar due to the government policy during corona-virus out break, but we get to have the amazing dinner in Goji for the last night they open - thanks to Pak and his team, they are simply amazing. One little thing that can be better is, on the last night of our stay, we were informed that the M Club Lounge will be closed as all of the hotels are",5,0.9704
"Stayed for 5 nights during the beginning of the COVID-19 lockdowns and felt that management and staff employed strategies to make us feel safe and secure. That aside, this hotel is a truly five star facility where you can enjoy wonderful food and beverages, great rooms, fast wifi, M Club Lounge privileges in classy surroundings with an authentic Thai touch to the decor even down to the staff attire.",5,0.9741
"This is the 2nd time I bought this package with the agent.  Everything is very good deal with a small change on the offer from last time.  You always feel warm  welcome by their staffs.  Sad to say business is drop due to the COVID 19.  No matter what, will definitely come back again.  Just a note I would like to express the kindness of their staff, Zunk, working at the check-in date:    I bought the 3 nights package via an agent on Feb 10.  Due to the short notice and their system only accepts booking on Feb 12.  I called the hotel directly if I could change the check-in for Feb 11 but both the front desk and the reservation were gone for the day.  Both Renaissance Hotel in Pattaya and myself have hard time to get hold of the Marriott Marquis on Feb 11 morning.   So I just take",4,0.6183
"As a frequent traveler the first day at the property makes a huge impact on my total impression. While arriving at the Marriott Marquis from the minute that the car door opens you can feel/tell that you came to the right place. My luggage got picked up and tagged by the professional concierge team and then I was guided directly into the check in counters, and here that elevated/outstanding hospitality approach begins. Was greeted by a super professional team member of the Marriott Mister Poom which I believe he's a front desk executive, his service and manners was something I rarely encounter in other properties. Mister Poom was polite and courteous his English skills and knowledge about where I came from were remarkable, I was briefly explained about the hotel amenities and",5,0.9442
"Another stays in this Marriott, this time 45 nights , I am happy to have  stayed here again. The facilities are nice the Lobby, restaurants , bars , spa , swimming pool Executive Lounge and Gym. The best in this hotel is the service all the facilities I went the services was great. I would like to mention the concierge team Kwan, Berth , Nas, Bank, Arm, hostess Pam and all staff in the team Also the guest relationship Archie. In the lobby Bar mention Bee, Kae, Ratcha, Pinn ,Graph and other can't get their names. Also the teams in all restaurants in lobby and the Gym.  The facility I went the most was executive lounge that as always was great I would like to mention Mr Daniel, manager Kitty and colleague Nut , Gift , Sandy,Sonya Charzy, Safe great front desk team, also my",5,0.9873
Our twin room was a decent size and well-appointed. I was excited to find a bathtub in our bathroom but then realised that it would not be a comfortable experience (short tub but very deep) which turned out to be the case. The lobby area is beautiful and the staff were amazing. A wonderful breakfast and lunch buffet is available although I didn't try the other eateries. About 45 minutes transfer from the airport and a good location to base yourself in Bangkok. My only issue was the pillows but I was there for just 4 nights so didn't ask if they could change for me.,5,0.9625
"Great place and nice location The hotel is way too big and corporate oriented ,however if you looking for a good combination between convenient and still good standards I will definitely recommend it ,for me the highlight was the club floor upgrade ,service is good  the manager Kitty very attentive and run her team nice and very professionally ,the outdoor area is very pleasant and comfortable for smokers ,variety of food and drink is pretty good maybe a small tips would be the coffee  is definitely not up to expectation and I am not a heavy coffee drinker but can recognize that quality lack somehow ....... Pool area was pretty nice organize ,Akira Back restaurant definitely one of the hilight a bit of management on the floor would make it even better ,Abar pretty nice vibe and",5,0.9915
"Our weekend at Marriott was amazing. From the moment we arrived the staff were friendly and welcoming, ready to assist where they can. The hotel facilities are amazing. We opted for the club floor access and was very impressed with what was on offer. Definitely worth the upgrade. We will be back to experience this great hotel again",5,0.9819
"Our second stay here. Very close to large shopping complex. beautiful park for walking, close to public transit and the LARGEST &amp; BEST BREAKFAST BUFFET I have ever seen. You need a map to find all the countries represented. All exceptional from Check In to Check Out. Great outdoor pool. Gym. Locker room. Steam and Sauna. Very clean. Staff is very helpful and Concierge has tips on local and not so local restaurants/bars/activities. Never a disappointment.",5,0.971
I have been to a lot of hotels around the world and this hotel has to be one of the best I have been to.The staff are very friendly and welcoming and are willing to make your stay as comfortable as possible. On checking in I was met by the duty manager Rachel who told me about the facilities on site and was very friendly with my two year old son. During my stay I upgraded to a suite and found the reception staff are very helpful especially Poom and Aira Who made this transition very smooth. #GreatTeam,5,0.9672
"The Hotel Marriott Marquis was absolutely divine. From the moment of arrival in the stunning, beautifully scented foyer, we were treated like royalty. Nothing was too much trouble for the staff, particularly the Guest Service Supervisor, Poom, who went out of his way to assist us. The breakfast in the Goji Kitchen was sensational with every kind of food you can imagine and great coffee! The hotel is situated next to Queen's Park, a beautiful spot in Bangkok and a lovely place to walk off all the breakfast! The hotel location is very good too, just off Sukhumvit Road and a 25 minute drive to the airport. We did this trip as a Luxury Escape and can not recommend them enough. A fabulous experience!",5,0.9832
Amazing trip this year. I really feel at home. The  staff was welcoming and the reception staff was very helpfull. I had an early check in and a super upgrade in a junior suite. The service at the M Lounge was fantistic ! Thank you all for this lovely stay!,5,0.9595
"I stayed here for over forty nights and I absolutely enjoyed my stay. What make this hotel special is the staff and their care to accommodate the guest. M Club staff on the 27th Floor is amazing. The food and drinks was great. Every night there is are new items to try and the food is prepare in front of you by multiple cooks. The cook member Bow, is a very talent cook and extremely polite by ensuring she explains the ingredients and providing advice to all guest about other items of interest. Service members Dew, Noon, Sandy, Gift, Kitty, and Komal provided exceptional services throughout my stay and they make everyone feel like an important Club member. I absolutely recommend this hotel. ",5,0.9871
"Great hotel to stay in if you are looking for a city break in Bangkok. I visited with some friends and had a great experience. We had lounge access and one way airport transport with our room rate which also included breakfast at the lounge (enough for a small eater) or at the restaurant for big eater, free flow select cocktails for lunch and dinner 5-9:30. Between 5-7:30 there is hot food in the lounge too. The staff were super friendly, location was very central for tailors, mall, food, spa, taxi, etc. Rooms were spacious enough for 2 adults (non-couple) with mini-fridge and plenty of storage. Rooftop area is nice but if you are looking for drinks take note one bar is only a gin bar. The style inside is nice too, really can't go wrong...price was S$350 for 2 nights for 2",5,0.9473
The Marriott was Amazing. Absolutely mind blowing upon arrival! The reception was extremely organised and a nice vibe filled the atmosphere. A good amount of staff always helping with questions and the place was spotless. Effortless check in and very friendly and helpful staff. We were on the 29th floor with views of the city and the pool. We also had access to the M Lounge and wow.. is all I can say. The food was delicious both breakfast and dinner! Staff were very nice. Needless to say I will definitely be returning here!,5,0.9815
Staff went above and beyond to help me with my travels and special accommodations. Rooms and hotel was very clean. The food in the restaurants was excellent and the hotel was close to parks and other attractions I plan on staying here whenever I come back to Bangkok.,5,0.9312
"I have stayed at this hotel a total of 4 weeks now over 3 different stays. The service is always amazing. The rooms are spacious, clean and extremely comfortable. The area around the hotel is also one of my favorites. I love the small park behind the hotel, which is a great place to have an early morning or evening walk before it gets too hot outside. One of my favorite things is the recognition I get from staff. It is great walking into the lounge and they remember who I am.",5,0.9823
"My recent third stay here was perhaps the most memorable of them all; we received a personalized welcome upon arrival from Anrdia, an absolutely gracious and lovely Filipina who showed us straight to our room, allowing us to check in there and avoid the crowds downstairs, a truly classy move on their part.   One of the reasons we enjoy returning to this hotel is due to the warmth of the lounge staff and quality of their offerings; it was wonderful to see Mew who remembers us from visit to visit and always stops to have a little chat and see if we need anything.   Similarly, khun Kitty, lounge manager, helped arrange rooms for my parents and I all on the same floor in advance and got right back to me whenever I emailed her. She runs a tight ship, and it shows. Bravo.   The main",5,0.977
"We were very pleased by the service we received in February, 2020. I include room service, front desk service and, in particular, the service in the lounge. I do not think it could have been any better.",5,0.7264
"The hotel is excellent located in Soi 22, with entrance to the park and next to shopping mall, it offers excellent business lounge service, thank you! For the evening a good rooftop bar. Great gym and the park offers exercise possibilities as well.",5,0.9601
"I have stayed in many different Hotels in Bangkok, and this is surely in the top, also as it is good value for money. Location with easy access to Mall and transport. The streets around are okay, and a nice small park right next door. As Titanium Bonvoy I was upgraded and that surely helped my valuation of the stay. The Marriott Lounge was great and Check-in there very fast and friendly. Sonya was there most of the time and she was very helpfull - great service. There is a lot of people in the Lounge at peak times, but still the food was very good, and selections of drinks impressive.",5,0.9747
I will rate this hotel overall 5****  Hotel Lobby - One of the best Marriott hotels i had visited 5*  Hotel Receptionist /Checked In - Arya  very accomodating and welcoming  Hotel M lounge - 5* service with all the crew. Snacks/ Bfast/Dinner and Alcohol/cocktails are the best! Worth the money  GOJI restaurant - 4* Food is almost the same for my whole stay with the Hotel.  Hotel Pool toilet - This is the only downside of the hotel (not really maintain properly specially the shower area near sauna/steam room (a bit smelly and moldy) too sad to experience this.   Overall. I will book and stay again in the future. ,5,0.8675
"That's a nice experience in Marriott, Hoon is a nice staff helping me check in my booked room. Hope will have a nice holiday in this good service place. I love Thailand person, every is so kind to help me solve problems. ",5,0.9813
