Review ,Rating,Polarity
"This hotel has excellent location and premises. Rooms are big and clean, and staff is very professional and helpful. Hotel has good quality pool with all day sun shine and spa services.  Breakfast buffet with lot of choices.",5,0.9074
Great location. Novotel Siam Square is always my most favorite hotel in Bangkok. Very convenient to connect through Bangkok's destination. Easy for shopping also you can experience with all highlight restaurant especially White flowers restaurant; Thai local food. This is the best Thai food for me. So I can said this hotel is valuable price good location and great service,5,0.9798
"I have stayed at this hotel for my annual trip to Bangkok for FIVE straight years, simply because it ticks every box for me. First: it is smack in Siam Square, which is bright and busy and safe; with ample restaurant and shopping options; and a hop and a skip from the Siam BTS Station -- with links to practically the entire city. Second: the staff are just lovely. ALL the staff, from concierge to restaurant to tour serviced to housekeeping -- every single one will bend over backwards to help you. I have turned up way before check-in time, departed way after check-out time, and if a room is not available they always provide somewhere to shower/freshen up; and the lobby sitting area is wonderfully comfortable, with isolated cosy spots that allow comfort and privacy. The rooms are",5,0.9705
"I arrived at Novotel Siam Sq on 13 Mar 2020 for a short getaway with my family of 3. We were served by Ms Gift who was polite and competent. Though the usual chk-in time is 2pm, she swiftly settled our check-in at 10am. We didn't have to loiter around the hotel area and could freshen up before we went for early lunch.  Another special mention was the touch of empathy on their customers. We were supposed to leave on 18 Mar 2020 but due to the border restrictions imposed by my home country due to the covid-19 outbreak, we had to shorten our vacation and leave 2 days earlier than scheduled. The concierge helped us to contact the airlines and tried their best to resolve the matter. Though their attempts were unsuccessful, I appreciate their gd efforts.   Just before we left for the",5,0.9306
We were warmly greeted by their friendly staff by the name of Gift and she kindly upgraded our room. Check in was swift and location is right at the heart of Siam square area. What a nice surprise and thank you!,5,0.9665
"The location is convenient, rooms are spacious and overall service was great, especially front desk staff Toktak and Milk.  They were very attentive and welcoming with their warm smiles. Would love to plan my next visit here again!",5,0.9498
"Beautiful establishment, loved the hotel . Very clean rooms. Service was exceptional. Location very nice and close to all shops and restaurants. Very convenient location, easy to get too . Very clean. Service was extremely good. Staff very polite and professional. Breakfast buffet was amazing. Restaurant inside was beautiful. Rooms were ready on time. Staff very accommodating. Train stations minutes walk. Would definitely stay there again .",5,0.9883
"I was extremely delighted with my last week stay in Novotel Siam Square.  From the concierge staff, to the receptionists and the house-keeping team, they offered heart-felt and attentive services with professionalism. To my very pleasant surprise, my room was well decorated with welcoming kits and message in appreciation of my loyalty. I am particularly impressed with the hand written welcoming card with elephant drawing, not forgetting the beautiful painting of Siamese mermaid on the mirror. The room was maintained at exceptional conditions and fresh with a bouquet of fresh flowers that made my day. Because of these extra miles effort in elevating my enjoyable experience staying in Novotel Siam Square, no doubt I shall keep coming back to this fabulous hotel - thanks and kudos",5,0.9904
"Novotel on Siam Square was a convenient location, centralized, having BTS and OneSiam Shopping Malls all within walking distance. The room and bedding were exceptionally clean. Bell staff was very helpful from helping with luggage to booking a taxi to the airport. Front Desk staff was professional and knowledgeable, making checking-in and checking-out a breeze. The hotel's breakfast was simple, great for a quick bite, but more flavorful foods can be found elsewhere. I made the reservation last minute and perhaps it was why the view from the room was not great. Overall, wonderful hotel with great service. Don't stay in rooms ending in 08, they face anugly wall, with half a view of Bangkok's skyline.",4,0.9396
"This hotel has a very cool lobby! Check out the swings in the lounge area....Breakfast was not included and pricey, but the best we had on our entire trip. The rooms are stylish and very updated , that being said they aren't huge. The location is near the skytrain and all the mega malls.",5,0.7673
"I have stay in this hotel at least once every 2 mths for the past decade. The location is perfect with a BTS interchange, the hotel went through a decent retrofit and the staffs are great. AND Mr BEN, the manager, is exemplary. He hold impeccable service and it people like him that make a hotel stay awesome!",5,0.9402
"The hotel was very kind to have my room complimentarily upgraded to a deluxe room. The room was newly renovated and clean unlike all the bad reviews that I have read before my stay. The hotel location is superb as it was stone throw away from everything you need.   Most importantly, the front desk agent, Poh, shown an exemplary customer service. She was very helpful and cheery while doing our check-in and check-out.",5,0.9598
"Despite being absent for over a year I was welcomed as a friend with many staff remembering my name! Kuhn Fon, Mam, Vi and so many others are a credit to the hotel. Great rooms fabulous location - would thoroughly recommend",5,0.9571
