Review ,Rating,
"Deceptively large hotel with a few different buildings.  Was upgraded to a suite when we arrived which was nice.  Rooms very dated, but lots of space and we even had a small kitchenette.  There is a restaurant on-site which we tried for dinner which was nice.  Breakfast was really nice, but pricey if not already included in the room price.  Didn't try the pool but was small for the size of the hotel, but never looked busy.  Great location.  Only negative was trying to get directions or a taxi somewhere.  Bellboy staff very unhelpful and reluctant to give us a map of the local area.  Hard to get reception staff to explain what is close etc. but that was a language barrier thing and not because they were unwilling to help.  All in all, a very good stay.",4,0.3406
Fantastic view from restaurant.. nice food and good service. Clean room and daily cleaner. Swimming pool with bar. Seven eleven shop near the hotel. ATM machine and taxis near the entrance. Highly recommended hotel! :) ,5,0.9542
The entrance really amaze me with the gold and luxury look. The staffs very friendly and the service tip top. We enjoyed our three days there. The food also great. Amazing hotel to stay with your loved ones.,5,0.9755
"We didnt like it at all. Its like to visit grangrandmother's room who keeps everything since 1960. Shower was for very small people, windows cleaned few years ago.. Wont come back for sure and recommend to choose other hotels.",1,0.1481
"We were 2 couples, who stayed twice, a week apart, in the hotel (going and returning from another country). Both times we found the rooms clean and spacious; the staff friendly and helpful; the breakfast had a large selection to choose from; the restaurants had a good choice of food; and the pool and pool bar area inviting (although windy at times as it was on the 10th floor). The hotel is spread over 4 towers, so that, depending on which tower your room is in, there can be a bit of a walk and ride in lifts (each tower has its own) to the lobby and restaurants. This didn't bother us. Because of last minute rescheduling of our flights due to a leg of our journey being cancelled, on our return journey we had to arrive 2 days earlier than we had originally booked, and stay 3 nights",4,0.9191
"Right in the heart of Bangkok. Amazing for amenities and tourism. Staff friendly, room very clean and maid was very polite. Pool area is just stunning and overlooks the skyline. Poolbar cocktails very nice around 300-450 baht per cocktail £8-£11. A great selections of restaraunts on site (I think around 8-9). The hotel is huge! There are 2 hotel towers at least 30 floors on each tower and the staff must work very hard to keep operations running smoothly.",5,0.9669
"We was in alot of accomodation in Thailand but this one need to be shut down and we never experience something like this. When we checked-in everything was ok, nice lobby and nice staff but things change when you stay a bit in your room. Everything is outdated, smelly room, dirty bathroom, windows but things are even worse when u find pubic hair in bathroom, around windows and bed where you need to sleep. We immediately call for manager to show him the room and he said he will give us another room. We went to check other room and sadly the things was same. We decided to leave hotel 1 hour after check-in and to be honest my dog have 10 times cleaner room and cleaner bed and I wouldn't let him to sleep there😷🤮",1,0.4998
"The entire team at Prince Palast was fantastic,very helpful,joyfull,the spirit that every hotel should have. greatly appreciated how kind everyone was to me especially thanks to Ms.Supaluk Noinar Iangaree (Front Clerk,Front Oficce)who helped me the most. Location perfect.Really nice View.Food very delicious,everyone should give it a try.clean rooms.I trully enjoyed my stay.Felt super confortabel and very welcomed there.for sure il come back when visit bangkok again.Great job guys.",5,0.9792
"I absolutely like this place! It's really fresh and nice view. It was absolute best massage I've ever had. Thank you Ms.Mod spa and everyone there is so pleasant, very welcoming. I'll visit there soon.",5,0.9724
"Beautiful environment, good location, convenient transportation, comfortable and hygienic rooms, friendly staff, willing to provide all kinds of help, rich breakfast.  The facilities are very user-friendly, the network high-speed signal is good, and the scenery outside the window is good.  There is a special bed-turning service, and the design of the small decoration in the room is also very distinctive.  Good value, staying next time",5,0.986
