Review ,Rating,Polarity
"My wife and I would like to say thank you to k.puynoon sales wedding manager of pullman grande sukhumvit. Our wedding day, once in a lifetime, that day could not complete without helps from k.puynoon. Honestly , while selection the hotels on sukhumvit road , hilton marritot pullman are similar levels and prices. However , i chose pullman due to the best service from wedding sales manager (k.puynoon).  It is not easy to say everything in one letter , but my wife and i would like to show our feeling for thank you to k.puynoon for helping us creating the best day in our life.  Before our wedding , my wife texted to k.puynoon a lot , many times , almost always , my wife talked to k.puynoon more than me lol. What i think? I think she ( this sales wedding manager scarified her life",5,0.9827
"I had a wedding event at Pullman Bangkok Grande Sukhumvit in February, the food was highest quality, All staff were very kind and polite to my guests, especially thank you wedding team and the wedding sales manager Miss Supaporn, she is really helpful give me a lot of ideas and suggestions from the beginning to the end of the event and make it perfect. I will definitely visit your hotel again in the future.!",5,0.94
It is my first visit and I am totally impressed!! I visited Pullman Sukhumvit with my friends for vocation before leaving to Australia. The hotel is very big and can access to transportation in Bangkok. Staffs are very nice and friendly. Concierge team are also attentive. I would like to mention my favorite staffs named Mimi and says at the front door. Thanks for helping us a lot!,5,0.9736
Pullman Bangkok Sukhumvit is a very nice hotel. I visited here with my another 2 friends on 17 March. Hotel is not busy and has a very good location. Service staffs at loony are very helpful. I would like to mention Mimi Valentine and Aya for supporting us.,5,0.9527
"With a plethora of hotel options in Bangkok, I have always wanted to stay at Pullman Grande and it's been long in my must stay list. Unfortunately, my experience was lackluster and disappointing which I will elaborate further.  I arrived at the hotel around noon, and highly appreciated that my room was ready, unsurprisingly due to Covid-19 that arrivals were low. Check in was done by K'Yui, who was pleasant however doesn't seem too pleased doing her job, with no smile. I didn't feel welcome by anyone upon arrival, aside from the porter who assisted with my bag. Oh, and did I mention with low guest arrivals, I had to call Pullman touch on the phone to ask where is my bag after settling down in my room?  I was assigned the room I booked, staff did not bother to learn that it was",3,-0.2399
"My wife and I stayed for our second time here in two years.   Our most memorable visit.   Hotel staff is professional and very helpful and kind spirits.   Many nice memories of time spent with them, whether in Lounge, or in Restaurant.   Cleaning staff excellent, and attentive.   We were particularly grateful for the medical assistance provided for spouse who suffered from a sinus infection.   Medical doctor was called and quickly attended to his new patient.   Likewise, the staff kindly sent flowers to the room and inquired on health matters.   We will miss the staff here, too many to name directly, but a few - Jay, BuG,  May, Fah, Nick,and Punch;  also the ever attentive concierge staff, and wonderful waitresses in the Flourwor and our special friends in the Inblu staff and",5,0.9693
"I visit Pullman Sukhumvit many times with my colleagues. I love this hotel because it is very nice, clean and services are the best. Mimi and Valentine are always recognize me and greet me which make me feel happy. I will definitely come back here next week as usual. Strongly recommend for everyone.",5,0.9794
Pullman is a very convenient hotel located in the heart of Bangkok. The room is very comfortable with a good standard of cleanliness. I stayed just one night and very impressed with the service from the front desk special mentioned Mimi. She is very helpful during my stay. Breakfast is also good with variety of food and drinks. Will certainly come back here next time for my business trip.,5,0.9662
"Though with the on-going COVID-19 situation, the service and hospitality levels remains unchanged and still at very high standards.  Staff are still most helpful and friendly though having to face any and everyone.  My thumbs up for all staff at the hotel",5,0.762
"End of our 3 year of riding scooters around thailand 47 provinces done  to date ,ended our trip in an executive room   , everything was great however i  would suggest some shower maintainence be done (bleaching) ,  staff food amenities all first class ,well run ,  i will return",5,0.7351
