Review ,Rating,Polarity
"A good place to stay whilst waiting for our return to the UK during the Covid 19 outbreak. Excellent staff, comfortable beds and good food.  Within walking distance of many restaurants, although at least one evening meal in the hotel restaurant is essential.",5,0.9153
I spent 3 nights here in early July.  I was very pleased with the room and the general ambience of the hotel.  The staff were very helpful especially the young lady who was working when we did an early check out on the Friday.  She was very attentive and made us coffee whilst we waited for the taxi.    The swimming pool area is somewhat underdeveloped and could be improved. The rooms are very good.  Probably about the best I have stayed in in its price bracket. Likewise the breakfast dining room which is a real pleasure both in ambience and service.,5,0.966
"This was our third time staying at Radisson Suites Bangkok. As usual, the entire staff was welcoming, kind and helpful. The food in the Punjab Grill as well as at Asqu was always of high quality and delicious. Also, enjoyed singing  familiar tunes along with the tuk tuk driver as we were delivered to our stop!!! Again, you won't be disappointed staying at the Radisson Suites. We recommend it.  ",5,0.968
"Stayed here for two night’s with my bf and we were so pleased with our stay! The room was really nice, good AC, clean etc. The staff was very friendly and helpful. My bf asked for bandage and they even put it on for him! 😮 Rooftop pool was also very nice to relax in after some time out on town. Only thing I can say as critic, is that a few more sunbeds and furniture in general would be good. But I definitely would recommend anyone to stay here! ",5,0.9857
"The hotel is really central, they provide a free shuttle to the nearest BTS , MRT &amp; Shopping Mall this service was great as there was no timetable but you would simply tell them where you wanted to go and they would immediately take you. The hotel room was clean and spacious, we were told that we had been given a recently renovated room. The staff were outstanding, they were extremely polite , friendly and curious. The hotel restaurant and the buffet breakfast are also really good and I would recommend them. I would also like to thank the hotel for the in-room welcome gift of a fresh bowl of fruit and a beer as a Radisson Gold member. I had no issues whatsoever and will definitely return next time I come to Bangkok .",5,0.9933
"Checked in to the hotel for four nights as our first destination. From the minute we arrived we felt very welcomed and looked after.  Hotel was lovely, room was very spacious and comfortable, free shuttle service if wanted to and from the train station. Staff were very professional, highly recommend :) pool was lovely to cool down in late afternoon and the gym facilities and jacuzzi was great to start the day.   Staff kindly printed our boarding passes for our next flight, luckily they offered us advice on how to get to the airport as we were heading to the wrong one lol 10/10!! ",5,0.9888
"Front desk staff is super nice.. and the little rooftop pool is nice. I just wish there was more sunbeds as many times we went there they wore all taken.  rooms are nice and big. comfy beds. And really nice with that tuk tuk service they have.  But the spa is well.. eeh.. I was numerous times during my massage asked if I wanted a Happy ending and she was trying more and more to accidentally massage my private area. It did go that far that I just ended the massage.  i know this is normal in Thailand, but never experiensed that on a Hotel Spa before.",4,0.8182
my vacation was perfect. if i come to bangkok again certanly my chosie would be radison suits  .. the hotels location is perfect  it is so close to go  all  entertaiment area i love bangkong  and  radison suits,3,0.9118
"Always my most preferred choice in bkk. Good location, exclusive, good service, good food. The only thing i always don't  like is the sound proofing of the room's main door.... when you neighbouring guest closed their door, you will get a shocked. ",5,0.6994
"Hotel needs a lot because windows can't be open air-conditions gives bed smell, room furniture playing extra time for not die, carpets are very old. Location is good and Staff s are amazing. Rooms are clean but everything very old looks so its appearing is not clean. The rooms are excellent size so its great for solo traveller.",3,0.973
"With concern I booked the Radissons suites, previous reservation was not held by them although I had the confirmed paperwork  Arriving early were advised our room, one bedroom suite ( that included breakfast)  ready soon and gave us a voucher for drinks -  again a long wait - well beyond check in time . We noted the bathroom smelt bad - Urine?  The bed linen was thread bare, actually had a hole worn through it prompting to report to housekeeping - seriously  Not expected at a hotel that is not cheap and that passes itself off as 4 stars.  On arrival at breakfast were advised our room was not on the list so back to reception ( same check in receptionist) to resolve - told in a very loud and patronising voice - our room did not include Breakfast and she stated had emphatically",1,-0.0516
Nice hotel with excellent service. The staff always assist you with a smile. Walking distance from shopping center and restaurants. Walking distance from BTS Skytrain which can bring you around Bangkok and to the airport. Nice breakfast buffet with a good choice of international food.,5,0.9287
"Good hotel with good price, location was good enjoyed the stay, drop service by tuk tuk was good, breakfast was good need put some more varieties in menu, travel to other locations were easy,worth it to stay as per price.",4,0.9403
"The staff are great, good first impression but then you get into your room and it's downhill from there... Shower was dirty and mould everywhere,  the only hotel shower that I've felt the need to wear thongs in! Obviously previous guests had long straight hair because it is all over the floor... I don't think the room was vaccumed between guests! Room wasn't made up the next day,  we had to go to reception at 4.30 and ask for clean towels...no apology for not cleaning room... On the upside, great coffee downstairs,  friendly staff and the pool guy is very nice... Really disappointed as this could have been a nice place except for the fact that the room was dirty and their is absolutely no excuse, I would suggest they need more cleaning staff so that they are able to clean",1,0.931
