Review ,Rating,Polarity
"Great location, great price. Hotel is surrounded directly with massage, travel shop, taylor, street food, laundry. The hotel has a nice onsite restaurant with a decent selection of local and western foods altho you will find cheaper within a few seconds walk in either direction. There is a 7/11 just outside hotel and an atm and a chemist type place. Room was large and clean and cleaned regularly altho the cleaners were very noisy early in the morning chatting to each other or on their phones. We were on the 5th floor of block A which was perfect as it was the closest floor to the pool. The roof top pool was lovely and the general area clean altho a slight lack in sunbeds especially in the shade as no extra umbrellas. Many people left towels on sunbeds then went off for breakfast",5,0.9539
"The hotel is what it is, it’s definitely no frills.  The outside space is beautiful though and the location is fantastic.   the rooms are tiny and the facilities out of date, the bed is hard but as we were only staying 2 nights we put up with it.  No towels available for the pool, 1 towel each in bathroom and no hand towels.  no pool bar despite being on the roof however there is a vending machine and some of the buttons even worked!! The pool area gets quite overcrowded.  The breakfast was ok. I would suggest this would suit short stay back packers looking for cheap accommodation as the rates are really cheap.   I think this was more our error of judgement as it didn’t suit what we wanted however the rooms were clean at least and may suit others.  Note there is no lift and",3,0.2183
I would look around before booking here.the location is good.pool area very nice. We found it very noisy at night breakfast was a mad rush of people.The room was clean. I think there are better places to stay  ,3,0.5423
"Good hotel for a relaxed stay when arriving to Bangkok. People are very nice, attentive and helpful. The breakfast with lots of variety, clean rooms and a rooftop pool help you to arrive within these climate conditions.  ",4,0.9468
"The service, the cleanliness, the bathroom, the location, everything was far worse than expected. The internet pictures must not be recent, or demonstrate what you actually receive.  Do not recommend this hotel.",1,-0.6381
"We stay here a lot, maybe two to three times per year over the last decade or so. For the Banglamphu area its perfect. In Bangkok tourists are absolutely spoilt for choice but we always stay here normally at the beginning of our trip and then the transition when we need to come back for onward travel. Dont expect frills but if you want to be right on the quiter end of atmospheric soi rambuttri stay here. We would recommend the paying a bit more for the premier rooms at the front. In terms of noise, the hustle and bustle of this street isnt an issue. Light sleepers may here the monks about 4am chanting at waat songkran opposite, but this is authentic and not an issue. Great service and the staff are always busy checking travellers in/out. It's a busy place and has a great",4,0.8052
"I liked the hotel. I had never been to Bangkok or Thailand. I booked on Booking.com and got a great rate for a single bed, single room, solo traveller. Initially I had only booked for 2 days thinking that if I did not like the room / location / hotel, I would change to another location.  However, the location is great and it is lively and close to Khaosan road (less than 5 min walk).  It is also close to the river, where you can take a hop on/ off ferry for 200 baht and ride the ferry all day stopping to visit landmarks.  Of course, if you just want to go from one pier location to another, that is like 25 baht, but not on the tourist boat.   The room was clean but had an old box TV. (Breakfast not included for single rooms). When I went to extend it, they said room was already",3,0.8831
"The place is within walking distance from the Khao San Road and yet very quiet. The street itself has lots of restaurants and cafes. I traveled alone and paid for a triple room, because the single room was very small. Breakfast is very rich, but the complex is busy and noisy. The room was tidy but could be improved at the level of cleanliness. I slept there two nights and found out that the linens were arranged but not replaced. The service at the reception is very slow and you need to wait quite a while. Great location for enjoying this part of Bangkok.",3,0.9495
"Rambuttri village is still a good choice in this aerea of BKK. Breakfast good, pool very good, but I can't recommend the rambuttri terrace, which differently from the hotel service is terrible and rude staff. But it's not essential to me so I will still choose the rambuttri for my stay in bkk",4,-0.7885
"They forced me to pay parts of my meal even if they put pork instead of chicken in my curry - twice! No pride there... no ""I am sorry, of course you don`t have to pay"" only ""money money money"". Never Rambuttri village again!  The red curry was the less tasty that I have ever had too.... Then I found pork (for the second time) in my food and left. ",1,-0.7707
"Very bad internet, staff claims that it is ok and doesn't do anything about it.  Food is decent, staff is slow and you have to wait for a knife for 3min etc..  Location is perfect, cannot be better, no noise from Rhambutri and Khao San Road, which is in 2min walking distance. ",3,0.1504
"Terrible restaurant and unfriendly service staff. Food came out cold and tasted terrible. Restaurant staff refused to do anything about it. Restaurant manager indicated that the food was edible and I must pay for it. Very unfriendly service, would not recommend this restaurant.",1,-0.9314
"Central location in the 'old town' part of the city. Friendly and helpful staff, good facilities. Had to leave a 1,000 Thai Bart deposit on checking in which of course was refunded when we left. Room basic but clean and perfectly adequate for a short stay. Overall great value for the money we paid. Would definitely stay there again.",4,0.9817
"Clean, nice hotel close to Khao San Rd. The rooftop pool is nice and the view is great. The best part of the hotel was the breakfast, I was really impressed with the huge variety of items. Everything was delicious and fresh. Also the huge koi pond in the restaurant plaza is a really nice touch.  The location is very good. One street off of Khao San- if you are into that. Walking distance to the Grand Palace. Phra Athit is just a street away and the tourist ferry is very convenient.   Would definately stay again and recommend this hotel.",4,0.9906
Good location. Basic rooms. Recomend to take breakfest. One thing what you should be carefull is with staff. They will ask money for everything. Even for make a call to reserve a table in restorant. If you want to leave luggage after you leaving hotel extra 20 Bath.,3,0.4588
"Left this lovely hotel yesterday, basic rooms, clean, great value for money with one of the best breakfasts I’ve had in a hotel, great variety of food and very tasty. One minute walk to shops and you don’t get hassled to buy off them they leave you to look without pushing you for a sale. Surrounded by lovely restaurants and bars, had a lovely 3 course meal with 3 beers for under £25 a couple, would highly recommend this hotel to anyone.",5,0.9855
"About says it all really. Great location, clean room, very very helpful staff. Reasonable price. Rooftop pool, but no rooftop bar as their online advertising may suggest. Breakfast had plenty to choose from. Loads of local bars &amp; restaurants, recommended “Sawasdee Bar” just around the corner, spent NYE in there, great night. Would stay again.",4,0.8982
Not the most amazing place I have stayed but for the price and the fun location I would definitely recommend the Rambutti Village. Be sure you have 1000 Baht on you when you arrive though for the deposit-there are plenty of ATMs around but save yourself the hassle and come prepared. ,3,0.9623
