Review ,Rating,Polarity
"Went across the street from our New Siam II Guest House to Riva Surya Bangkok for dinner.  Sat out on the deck next to the river. Drinks were two for  one. For dinner I had the Gai Phad Med Mamuang wok fried chicken with cashew nuts, onions, mixed capsicum, dried chili, shitake mushrooms and spring onion. My spouse had the Tom Kha Gai with  chicken, lemon grass, mushrooms and coconut milk. For dessert we shared a sinful Chocolate Waffle with ice cream on top. Fantastic dinner and great view of river and sunset.",4,0.6908
"""If"" is now the keyword. ""If"" I survive C-19, ""if"" as ""farang"" I can visit your beautiful country again without too many measures, ""if"", given the enormous crisis we wille face, ""If"" I still can afford holidays in South-East-Asia, ""if"" your beautiful hotel is still operational, which we all hope .. ""then I will come back to your beautiful hotel"". Have the last decennia stayed in quite a few hotels in Bangkok and the Riva Surya has my preference now because of: the rather small scale of the hotel, not too many floors, better feeling in case something ever should happen ... (hope of course not). the view on the waterfront: a living painting, there is life .. (instead of a lot of concrete and glass) the main sights within walking distance the hotel itself: without request, due to",5,0.9477
"This is a lovely hotel. The rooms are large and the bed one of the most comfortable on our vacation. The staff is wonderful and friendly. Loved the pool and the service was, for the most part, very good when lounging there. Sometimes, I assume it was during the staff change, we would be forgotten about and would have to get up to get another drink or more food but that is my only complaint. I did not eat breakfast but my husband did and liked it. The major sites are just a few stops away via the boat since the hotel is on the river. Very convenient. Would definitely stay here again.",5,0.9362
"We just spent 2 nights at Riva Suraya. The hotel is in a great location, immediate access to the river buses. Rooms are of a very high standard with a great pool and terrace. The entire staff went the extra mile and were very helpful throughout our brief stay. Good buffet breakfast, something for all. We ate in the hotel restaurant, which was also very good. Nearby is a market with a number of restaurants/stalls/street food options, also worth a visit to watch everyday life.  When we are next in Bangkok I would definitely stay here again.",4,0.9694
"Hotel was clean with happy staff always willing to help.They need sanitiser beside the downstairs  guest computer though,and cleaning the keyboard is important too. Service was great as expected and received from previous visits over the years.You were greeted everyday with smiles.The hotel was very quiet as expected at this time,but staff were always present to help with everything.The Gym is quite good with aircon and towels and sanitiser.The food is expensive here but we ate out everyday so this didn,t effect us much. All rooms had safes that worked unlike some hotels we stayed in other parts of Thailand.Beds are huge and very comfy on the firm side. River view rooms are a must,watching life go by each day is great.",5,0.9609
Great location view and facilities.  The front desk was excellent and very accommodating.  The rooms and bed comfort was also a 5 in my book.  Where they slipped was with the quality and timeliness of service at the pool and restaurant.  Fix that and they would be a 5!,4,0.8908
My husband and I stayed for 3 nights during our honeymoon trip in Thailand. The service was impeccable. We had to change our flight home and they seamlessly extended our stay and kept us in the same room. The room was a perfect place to relax before or after a long day of walking. Easy to walk to the palace and temples along with being close to Khaosan road. Highly recommend!,5,0.9115
"Staff was very friendly.  Had a small issue with our room on arrival but it was handled immediately and to our satisfaction.  Definitely get a room with river view.  Clean.  Good location.  Buffett breakfast very good, enjoyed outdoor dining on river.",5,0.9803
"Great value for the price! Food is great, staff are very friendly! Nice pool and views. The bed and furniture is comfortable! No complaints. Close to good restaurants, bars and shops! We enjoyed the buffet style breakfast here! This place is fancier than I expected!",5,0.9748
"Good location, nice pool and views with a decent price. Staff were really nice. Get a river view room as it can be quite noisy near main road. But I would recommend staying here for a couple of nights",4,0.8405
"A friend of mine stayed here a year ago and recommend this hotel. Was a great place to stay. Very convenient to all the action, but yet it was quiet. The River view is also really nice from pool/Restauant area.  The staff was super nice and courteous. The service at the restaurant and bar area is pretty slow but this may be part of the culture in Thailand. Seemed lined everywhere we went they would beg you to come in for food or drinks and then it was difficult to get any service at all. FYI if you know what you want (like a beer) just order it when they seat you and don’t wait for a menu because it may be a while if you are thirsty.  Hotel was very safe and clean.  Airport shuttle - the hotel offers and it is a bit more expensive but in my opinion it is worth it. Nice clean car",5,0.9938
