Review ,Rating,Polarity
"As regular visitors to the Royal Orchid Sheraton,  our most recent stay was just as pleasurable as the others.  The staff at all areas of the hotel are always friendly and helpful.  The Club staff is exceptional, never a chore to go out of their way to make your stay comfortable and enjoyable.  The hotel is always in top shape.clean and tidy.  Some services were unavailable due to the current covid-19 situation.  Hope that ends soon.  The guest rooms, always an upgrade as titanium level member is a welcome and additional joy.  Spacious and with great rooms facing the river.  Thai style accessories make the room warm and comfortable.  Spacious bathrooms and comfy beds with quality linens and pillows.  All the room amenities you could need.  From Club Lounge, to restaurants, lobby",5,0.9877
Visited this hotel for the 4th time in March .Still think this is a gem of a place in the middle of a bustling city.  To have gardens and peacocks around a beautiful pool with a swim up bar and comfortable sunbeds - especially after a long flight is delightful.  The location is still great with fantastic views of the river from your room and the outside bar and lap pool.  The boat to take you to the sky train and the river bus right next door make it so easy to get about the city.  Highly recommended.,5,0.9765
"Our family recently spent two weeks staying at the Royal Orchid Sheraton while in Thailand for the adoption of our son. We cannot possibly say enough positive things about this hotel. The staff was incredible. They were beyond friendly, went out of their way to be of support and service to us, and were extremely professional. Nimit was wonderful for our family and regularly had conversations with us and our son during our comings and goings. Another staff member made a paper airplane for our son one afternoon while we waited for dinner to be delivered. From the concierge to the front desk, from the housekeeping staff to the wait staff at breakfast, we could not have asked for more.   The breakfast was delicious and offered great variety. We ate each morning outside by the river",5,0.9682
We just finished staying here for 2 nights. Once at the beginning of our trip then 1 night at the end of our trip. We will definitely look to stay here again the next time we are in Bangkok. The value was unbeatable. As elite members we were given a club floor room. The room was very nicely appointed. Our room looked to have been updated. Nice spacious bathroom with tub and shower and had everything we needed. The floor to ceiling windows gave a gorgeous view of the river. The club lounge was also very nice and the breakfast offered was very nice with much more variety than was expected. Same with happy hour where they had a wonderful selection of food........ enough really for a full dinner if you wanted. Service was also very good. Everyone very helpful with anything we,5,0.9872
We've recently stayed at this hotel and will definitely recommend. It is perfectly located at the riverside with beautiful views across the river. The hotel is spotless and the staff are always making sure it is clean. All the staff were so helpful and always smiling! We will definitely be returning. Thank you,5,0.9825
"From the minute you enter the hotel to your check out this hotel offers all that is needed for your stay in Bangkok. The views of the river. The accessibility to their own Private boat taking you up and down the river. To the service either at their extraordinary Breakfast Buffet of many nations, or poolside. Food preparation and service all exemplary. To take the regular boats to the temples you simply walk out the front door and the alley entrance is right there. NO hassle NO fuss. This to me was a  great spot to start our 3rd. trip to Bangkok and we are never disappointed with any  facets of the Royal Orchid. Kudos to all the staff who made our stay exemplary.",5,0.6234
Really good position on the river views from rooms are spectacular. Really good boat taxi free across the river to the shopping mall. Good access to other transport. The rooms was a little shabby and in need if updating. Not a cheap hotel for food or drinks. Breakfasts good variety but you were sometimes rushed a little if you went down towards the end they finished at 10.30 but wanted you out by 10.15. It was quiet when we were there wouldn't like to go in busy times as breakfast were the only busy part we saw.,4,0.6932
"We love the SPG group but this hotel was disappointing. It has a shabby feel. We stayed on the top Executive floor. The carpets in the corridor smelled old and used. I must say, though, that the one good thing about the hotel was the Executive lounge which has a very good cocktails spread and drinks selection. The staff is very friendly and the breakfast on the Executive floor is really good.  ",4,0.95
"Nice and reasonably priced, if you're looking for a bit of a luxury without blowing the wallet. Room is spacious and has a nice river view. Icon Siam Mall right across the river is such a lovely complex, ranging from a variety of local food, to high end restaurants and luxury brands. Even if you're not a shopping buff, it's worth visiting.   The only issue with this hotel is the location. The best way to travel in/out is by taxi. The river ferry is possible too but you could wait quite long on a weekend as the frequency is slow. It's also further away from known attractions such as the shukumvit area. It's good if you want to stay at the river and plan to visit the grand palace.",4,0.965
"We stayed here as part of a Luxury Escape package. It's across the river from a shopping plaza which was handy at times.  There's a hotel ferry plus some local ferries. The room was very nice with a lovely view of the river. Staff were friendly and helpful, although some did express the opinion that being on a Luxury Escape package, we did get things free of charge. We felt obliged to inform them that we had actually paid for the package. The buffet breakfast was excellent.  Unfortunately the set menu dinner at the Thara Thong restaurant was totally the opposite.  We had a better meal at the pop up Thai restaurant acroos the road. Both pools were very good.",4,0.9782
"We really enjoyed staying at The Royal Orchid Sheraton. Our room was very comfortable and had a lovely view of the river. The hotel is adjacent to a river ferry stop so it was easy to reach many of the important sights such as the Royal Palace and Wat Arun. After sightseeing we relaxed by the pool overlooking the river... so much to see while sipping a nice cocktail or beer ! The breakfast buffet was extensive with a wide selection of Thai and Western dishes, and we could enjoy our meal on the riverfront terrace. The Thai restaurant on-site was delicious and had nightly entertainment of Thai music and dancing. All of the staff were very courteous and professional. We highly recommend this hotel and look forward to staying here again when in Bangkok ! ",5,0.9887
"Very good breakfast. Free shuttle to the other side f the river. Great views from the room. Nice staff.   - Old fashioned decorated. Some of the taxis in front of the hotel are scam. They will a ""special price"", even it is not, but you have to make a stop with them on shops were they have commission. Something like this choose other one. The door staff of the hotel should be more careful when you ask them a taxi. Concierge is good.",4,0.9247
MY Husband and I stayed here at the beginning of our holiday in Thailand. Checking in was very quick and one niggle it would  have been  to be welcomed with a drink after a long journey. But overall great location and everything clean . Great pool areas and plenty of fresh towels on hand.  We were offered an upgrade at a good price for a  club room which gave you access to the club lounge on the top floor and everyday at certain times  you were offered free drinks and food including cocktails were amazing and felt very spoilt. Overall great location and easy access for transport . Definately be back next year.,4,0.9908
"I have to confess that I'm not normally the greatest fan of Bangkok however, a stay at this hotel has changed my perception of the city entirely. Located next to the river, it provides a perfect opportunity to sit with a drink in your hand and watch the night-time hustle and bustle of party boats and light shows. The bars and restaurants belonging to the hotel are stylish and the food is very good. I can recommend Georgio's if you are a lover of Italian food and wine.  The rooms are certainly well equipped and clean. Ask for a river view if you plan to stay. You will not be disappointed.",5,0.9815
"WOW. Stayedat this hotel for a couple of nights. Terrific location. First class river views from our rooms. Service was genuinely friendly and warm. Breakfast was really good with heaps of local cuisine. Will difinetly return to this clean, friendly and warm hotel when I next visit Bangkok.",4,0.9724
"The hotel was beautiful, situated right on the river.  The property had 2 pools and a dock where they provided a courtesy water shuttle to several stops along the river.  This allowed the guest to actually pick up other courtesy water taxis to get to various attractions such as Icon and Asiatique shopping and entertainment venues.  Tuk Tuk and Taxis were readily available to take you to other parts of the city as well.",5,0.9325
