Review ,Rating,Polarity
"In the wake of the pandemic incident occurred in 2020, I had a chance to do my weekend staycation at Siam kempinski just a few weeks before Bangkok's closedown. The price of the hotel had dropped significantly so it gave me a chance to book duplex cabanaù room type with a lovely price. I was greeted by the lady in redù Miss Namkhang, who escorted me to room. She was very kind and attentive. The accommodation was even better than in the website. I was very satisfied. I pretty much enjoyed the club benefit. The afternoon tea set was far better than many 5 star hotels, and the evening cocktail session was exquisite,in term of food and alcoholic beverage's quality. Thumbs up for the breakfast where they serve sparkling wine. Love it!  I would like to thank miss Namkhang the",5,0.9798
"Fantastic picturesque interior. Vaulted ceiling, inspired decoration and such friendly staff. The afternoon tea is amazing. The mezze and Thai iced tea are delicious. There is a wonderful lady that plays harp and she plays fabulously. Worth visiting as a break from the Siam Paragon shopping mall. ",4,0.9686
"Hotel is beautiful, well maintained. The bedroom is modern n very clean. Staff are friendly n welcoming. Golfcart Mr Buch is very helpful, nice chap! We enjoyed the great breakfast very much. Location of hotel is excellent next to Siam Paragon mall.",5,0.9829
"Awesome service from I stepped inside the hotel until I left. Well done to the ladies in red team! Walking distance to mall and BTS with huge number of dining choices. Despite hotel is getting old, the maintenance is superb. Will certainly stay there again in future.",5,0.989
"Fantastic experience with  my husband and  our twins  : Kempinski services were absolutely perfect  : breakfast and food, conciergerie, room cleaning, pool area and services....Kids club and cooking class are amazing ! Staff is really providing terrific service. We are grateful also for the capacity to listen our feedbacks and make changes when needed. We will certainly come back, a huge thank you to the team !",5,0.7096
"I was for a four day stay in this wonderful hotel. Usually I am not a big fan of Kempinsky - seems to me just too old in style and design. However, this Kempinsky is the opposite and very modern, stylish, perfectly located and directly at a huge modern mall. Staff was always friendly and best service was at breakfast. At the second day the staff knows exactly what we liked (such as Cappuccino or Omelette).  The service and handling in times of Coronavirus was very good, such as temperature testing entering and leaving the hotel, everywhere sanitizers (even in the elevators etc.). The pool areas was not overcrowded and well of service. The rooms are very clean and modern, but not cold in design. Ambience lightning, tear-down service, amenities etc. were all very good and no",5,0.9686
"Another business trip, another great stay at The Kempinski. Nice big rooms with great amenities, Niche restaurant is first class, great facilities e.g. gymnasium and location is perfect. But what keeps me coming back time after time is the fantastic service from the moment you arrive, to the moment you leave. Big smiles and always willing to help in any way they can. Special mention to Lady in Red service who add that special touch and also want to call out Mr Buch, who provided exceptional service and great conversation when he drove me to my business meeting :)",5,0.9643
"Despite these challenging times with the Covida-19 virus affecting tourism to Thailand, this hotel is not cutting corners.It is offering a memorable stay with attentive staff tending to your needs &amp; an abundance of food meticulously prepared by connaisseur chefs. We stayed there for the weekend &amp; could see that the hotel takes precautions in screening arriving tourists with temperature checks &amp; offering hand sanitizers as you walk into the hotel lobby.We were booked into a duplex room at the garden wing of the hotel offering direct access to the pool from your living room. Mrs Phitchayapha (Lady in Red - a signature feature of the hotel) escorted us to our room. The Garden wing is also a short walk to the Executive Lounge, where one can enjoy afternoon tea &amp; evening cocktails",5,0.9879
It's one of the most gorgeous hotel i see or stay in. Very nice and the reception people are fully helpful and kind helping gusts. They take me straight to the room after Check-in. Nice breakfast.  There is a bridge to the Paragon mall.,5,0.9956
"Its pricey but definitely worth it. The staff are amazing and anticipate your needs. Rooms are nicely furnished and well equipped, the food and drinks in the mini bar are complimentary. Pool is great. Love the breakfast outdoor, oasis in the middle of Bangkok. Free shuttle to nearby mall. Must visit again. The only hiccup is our room at 4th floor near the lifts, the door bell rang every night at 3am but no one was at the door. We are not superstitious people but I told the reception to check the security camera. Also pretty noisy on a Saturday. Ask for higher floors. ",4,0.8999
"We were in Siam Kempinski Room 34 the Deluxe Cabana for 4 nights in early Jan. The room was simple compare with the price and the luxury decoration in the hotel, Room 34 was far from everywhere as it locate in the end of the building and we had some issue with the lighting, shower temperature and noise, hotel was helping and sort the problems fast.  Except the issues from room, the hotel was wonderful for our short stay in Bangkok. Siam Paragon is linked with hotel and so easy to access and convenient for family who have young children as there are children activates around and great for someone who loves shopping for luxuries or local goods.  Great selection for breakfast, I found all my favorite thai dishes from the breakfast and lounge.  The lounge proved excellent service",5,0.9856
"Beautiful hotel, perfect rooms, friendly staff, great service, amazing SPA, pool and delicious breakfast. Also, the location is very good. Easy to find and transportation is very convenient. Siam Kempinski Hotel is my first choice in Bangkok. Highly recommend !!",5,0.9758
"Location is perfect. Siam Center one, Siam Paragon, BTS, etc. Morning buffet is very good and don't miss variety of menus.  If you feel there are little food, you probably don't know how to enjoy the meal.  Pool is great but water is not warm, so enjoy the pool at daytime.",5,0.9826
"Great hotel with great services. Will definitely return. Lady in Red and the Managing Director are worth the highlights of this review. So is the room, amenities and facilities. None to hard to do the please us. ",5,0.9266
"Perfect rooms, incredibly efficient service and staff. SPA is phenomenal. It's next door to the top shopping malls of Bangkok and the tube station. Literally, you can not fail at Kempinski. I would not consider anywhere else in Bangkok",5,0.9771
"I would like to thank and appreciate all staffs in the Siam kempinski , Bangkok, for their excellent services during our stay, it was enjoyable and they made everything easy to us . Excellent golf cars to take the guests to Siam , Siam discovery, central world and MBK .  Excellent breakfast, room and the service in the room.  Sure I will come again tho the Siam Kempinski Hotel next time and I advise all my friends to stay in this Hotel if they plan to come to Bangkok.  It is my pleasure that , I got a membership  of this Hotel  Abdulla Ali AL-Hammadi  Qatar",5,0.9924
"We spent one night at the Kempinski and it was phantastic. Staff are excellent, a special thank you to Mr Buch who was out of the ordinary helpfull. The best breakfast in town. And the bar for the night cup was also great. We'll come back!",5,0.4924
"Some say ... This hotel has no need to do an effort because of the big Siam Paragon comercial centre adjacent. Of course it is nice to have such a nice food court, luxuryshops etc near the hotel. But I'm very happy we decided to book this hotel instead of one of the luxury hotels near the river. This Hotel is a littleù oasis in the middle of this megapolis. It is near the malls and two metro station that connect you in no time to the must see in Bangkok. One metro station (BTS) from Jim Thomson's Museum house. Walking distance from Talad Neon Night market and 4min from the RedSky rooftop bar.Check-in was made in the room! Perfect! No waist of time! ALL the staff are looking to made the customer happy. They anticipated our wishes.  We chose to book a room at the executive floor.",5,0.9741
"Travelling a lot in Kempinski hotels, Siam Kempinski is one of the clear recommendations out of many excellent hotels. Heartly welcome, great environment, exceptional team. We really enjoyed a lot. Many thanks to Siam Kempinski for a great start into the new year.",5,0.6892
i was stayed here in December in duplex cabana room. Room was clean and beautiful with pool access. i love the bathroom and bath tub. my baby girl really enjoyed it. Santa is very amazing and we love x'mas tree. my baby girl love Mr.Santa Marco. I hope i will be back here again soon. staff in every department really nice and helpful. operator offer drink when ask for wake up call. staff in restaurant good take care of us. receptionist looks professional. everything was great:),5,0.9773
"We were there in the month of December 2019. We had a most comfortable and a memorable stat in this hotel.  We found this hotel up to the mark in terms of service, breakfast, F&amp;B.  Housekeeping needs a special mention for their superb services. Also one must the Spa at this hotel.  We found their massage one of the best in the world, specially Ms Naphat - Therapist deserves admiration for her fine skills.",5,0.7679
"The Siam is a stunning hotel.  Grand entrance, staircase, reception and bar area.  Excellent service throughout the hotel.  Comfortable modern rooms.  We stayed in a pool cabana room with direct access to the pool.  Breakfast was excellent - great variety of high quality food.  Pool Bar for lunch was very good. And the main restaurant (Sra Bua) is spectacular in all ways (see separate review).",5,0.4019
