Review ,Rating,Polarity
"So I stayed at this hotel in March, the 5th through the 8th before I flew to Phuket to stay there a few days.  I have stayed at a few W hotels before but this one was one of the nicer ones.  I went to Thailand to celebrate my birthday and what they did for me and my room was awesome.  They had placed balloons all over my room, with a birthday card, 2 beers, and two cupcakes.  The hotel was very beautiful, the pool and spa were amazing and the gym was cool in which I wanted to get some workouts in but I did not get to use it because I was so busy with tours.  I would recommend this hotel to all my family and friends and I would stay here again.  The only thing I'm not too thrilled about is the amount of time it takes to receive a refund on an extra room I had prepaid for.  I am",5,0.9889
"The WoW experience started right at the check-in. Not only had W upgrades our family to an awesome room, the “room stylists” have made tremendous effort to decorate it with balloons for my daughter’s birthday.   So a special thank you to Khun Boo, the hotel manager whom has spare no effort to make our stay a delightful one. And not forgetting all the friendly staffs at front desk and   I won’t hesitate to take my family back to the W and definitely look forward to my next stay soon. Khor Khun Krup W!!! 🙏",5,0.968
"Real 5 star cool vibrant and on pace heat and moment. Really like this place roof top pool is cool and everything is 5 star. Keep up the good work. Location is not perfect but only 10 minutes in a cab for tourists, business location perfect. Enjoy",5,0.7228
"We have just recently stayed at W bangkok for a night for my birthday treat and we were spoiled :)​ from check in to check out. All staff made sure we had a pleasant stay.  To name a few, Nicole, who sent us a pre arrival email to make ensure a memorable stay, staffs on the other end of Marriott App who always response promptly to my request on Chat. (This is one thing I love about this app and if you dont have one you shouls download it!! )​, pool staffs and A lady at Woo Bar who surprised us with 2 special shots on the house....    We also made use of sauna and steam room at the spa which is complimentary for inhouse guest.   Location is good, within few steps you can find a BTS Station, 7-11, restaurants and bars. (we ate at Namsaah Bottling Trust and it was good Asian",5,0.9866
"I stayed at the W Bangkok for over 100 days in a period of 14 months.   Service The staff and quality of the service at the W were the best of all the hotels I've stayed at in Bangkok (vs. Meridien, Marriot Surawongse, Marriot Sukhumvit, non-marriot, hotel, hostel) etc.   -24/7 super attentive and polite hotline for any needs (medicine/doctor, room service, admin, sending/receiving parcels) -non invasive, staff respect privacy -Best attitude I've seen from staff in Asia -Does an amazing brunch twice a month -During busy periods (e.g. Songkran) staff had great recommendations and were extremely accomodating  Room - High attention to detail in daily room cleaning and tidy up, regularly wow'ed at the amount of effort put into the 'room styling' - Stayed in entry level, upgraded and",5,0.9758
"This is the second time for me and my fiancee choose the W Bangkok.  All the staff here are helpful and lovely.  The assist manager Boo emailed me two days before we checked in, and I told him about the purpose of this traveling is an engagement journey,  thus he gave us a huge surprise!! He upgrades the room to a suite and prepared a lot of ballon and Donald duck paper-cut, which is my fiancee's favorite Disney character. As well as a hand-written welcome card. We were really touched by Boo's careful.   The room here is absolutely great and fashion, every staff here is young and lifeful. I love the atmosphere in W, I believe every young people will love the atmosphere here. By the way, the pool party here is damn good, if you have time, you can join the pool party on the 1st",5,0.9922
"Spent 2 nights here - along with a work colleague - it had been 4 years since my last visit. Level of service was excellent, food in the restaurant was great and the rooms were as well.  Outstanding help from Boo on the front desk - took time on many occasions to chat and help and even walk me around to make sure I knew where things were.  A really good experience",5,0.9744
"I recently stayed at the W Bangkok for work for 2 nights, this was my second visit and it again was an amazing experience. The service we received on checking from NATTACHAI (BOO) was exceptional and his assistance at every opportunity made our stay great. Fantastic pool for an early morning swim and the breakfast is fantastic and ver relaxing atmosphere. All staff are very friendly and helpful at all times. Will be back again soon.",5,0.9811
"Great hospitality and vibe as always.   From reception, restaurant staff and housekeeping - service is excellent.   Thanks W Bangkok for a great relaxing time.   I always look forward to staying there and making my business trip enjoyable.",5,0.9678
"Spent 5 days at the W in February after a long trip in India. The luxury of a comfortable bed, fluffy pillows, clean high quality sheets and lovely bathroom was well appreciated. The staff was very attentive and solved any problems that came up.  Buffet breakfast was excellent with very good espresso on the table quickly. Location is fantastic, quick walk to Chong Nonsi BTS and the entire South Sathorn neighborhood.  A great place to relax in Bangkok",5,0.9853
Greatly enjoyed my birthday weekend stay at the W. The team were very welcoming and took recognition of my TE membership status and upgraded me to a beautiful corner suite. On arrival Boo and Jason at the front desk made sure I was checked in and well looked after. To my surprise my room was decked out with balloons and also birthday cupcakes too! Room was super comfortable with great views overlooking the city.   I spent Saturday afternoon at the hotel pool party - super fun and had a fun lively atmosphere. Highly recommended.   Great times had and I will be back for sure!    ,5,0.9945
"Currently staying at the W Hotel and have to say we are having a great stay. Suites are worth the extra money. Outstanding service by Kate in Guest Relations. Choey from Concierge could not have been more helpful and Golf in the bar was lovely and went out of her way to make us welcome. Rooms are immaculate, clean and well maintained. Atmosphere is trendy, very friendly and we will certainly come back.",5,0.9828
Stayed just a night here and have nothing to criticize. Check-in was a breeze and front desk was very welcoming. Although the hotel design is not my style the room is very roomy and have great amenities. The bed in one of the most comfortable in hotels I’ve stayed in. Lighting and air con control from small tablet. Didn’t have a chance to try their F&amp;B outlets as there are many good restaurants and cafes within walking distance. ,5,0.9514
"There are many positive reviews that this won't make a dent. However, I will make it short and manageable to digest.   Is the service the real deal? Absolutely. Anchelee emailed me prior to my stay to ensure my questions were answered and requests fulfilled. Never happened before. Kate, the guest relations specialist provided unmatched time and service.   Choose the Studio Suite. If it is $50 more a night, it's the best money you will spend in Bangkok. Though so far my review is full of superlatives, it is genuine. The size upgrade alone is tremendous. This cannot be overstated. You also get tangible perks that are worth more than the extra money spent.   The room is amazing. Look at the photos. I tried to take pictures that provide an accurate depiction of the room that others",5,0.9485
Low floors are close to the pool and noisy because of the pool parties. Ask for high floor. Breakfast is an assorted spread and a great start to the day. Complimentary valet parking was appreciated. One Issue I had was that the  3000 baht charge the hotel blocks upon check-in was not released for over a month on my credit card. Staff helpful to resolve situation. ,4,0.946
"Had an amazing stay at this beautiful and funky hotel! Prior to even arriving at the hotel, the communication from the team was first class. Location is great as walking distance to many points such as Lumphini pack, Siam 4 and the roof top bar at the Banyan Tree.  Food here was really great, so much variety and very accomodating to any dietary requirements too.  The room was clean with a very comfy bed and lovely design. I will definitely be returning to this hotel for a future Thailand trip!    Would like to mention Boom and Kate in the reservations team who really made the stay that extra bit special and added the personal touch to our stay ☺️  Highly recommend this hotel for location, staff and food.",5,0.988
"One of the best W hotels. Check-in was a bit of a problem but I was provided a temporary room while they prepare the actual room.  Nice rooms, good food, cool people! Look for Mr Boo, he knows the best food place in and around the hotel.",5,0.9604
"This hotel has the best service. The staff go out of their way to make you feel special and take care of you the best they can. I was not feeling well, and when I requested lemon and honey for tea, they also sent up a get well card from the staff. How sweet!  The decor is a bit loud for me, but it’s a nice change for our weeklong stay.   Don’t forget to visit the old house for dinner or a drink. Fantastic venue.   Special welcome for Bonvoy members.",5,0.9727
"Great hotel with a modern hip vibe! The hotel rooms make you feel like you're in Vegas and everything about the hotel is fun and clean. I never knew a hotel like this exists outside of Las Vegas! Everything was plush, well decorated, and everything just felt had volume to it.  The breakfast was great and the lobby bar was quite a social spot at all times of the day. The property is very navigable and I never had problems with drivers or taxis finding the accommodation.   I definitely recommend this hotel to those looking for young hip, but luxurious stay!",5,0.9361
"Stayed at W Bangkok in Feb 2020. Titanium status.  Plus: Property is well designed, very true W, rooms are of good size, well appointed, good breakfast.  Minus: Little recognition of Titanium status. No upgrade - which was quite a surprise, No lounge (I know W doesn't have across - and most times just this factor makes me choose other Marriott brands over W), Small swimming pool.",3,0.8775
"We are Gold Elite in the Marriott Bonvoy scheme.  Stayed here for 2 nights using reward points.  We were upgraded at check-in and given floor 11 ( next time I would request a much higher floor as there are 29). We also received a welcome gift of free drinks at one of the property bars.  The room was large and had an amazing bed, we slept very well. Could not fault the room that was modern and clean. The staff were very polite and helpful.  We did not eat at the property as we had engagements with friends but we did pop out to the 711 just next door to get extra water and snacks. We used the on site gym that was spacious, clean and with good cardio equipment.  Great property, wouldn’t hesitate to recommend it to friends and family. The only caveat for us was that the Sathorn area",5,0.9874
"I didn't actually stay here buyut because the Gymnasium was closed after an emergency in my nearby sister Hotel ; I was transported here to enjoy their gymnasium facilities. I was really impressed both with the said facilities located on a lower floor adjacent to the Pool and also buy the welcoming attitude of the W's staff. The Hotel itself looked wonderful, very sleek and stylish. It was sad to have to leave it; although, of course, my actual Hotel; the Le Meridien was superb!",5,0.8881
"We booked 5 nights and had a fantastic stay largely due to the excellent service provided by Nattachai (Boo) the W’s Assistant Manager who made reservations for us at PAII at The House and Charm. He also provided us some great insider information to a Gin distillery called Iron Balls.  Stay here and book the studio room, it’s got an amazing bathtub overlooking the city...",5,0.9578
"I am a frequent business traveller and stay at W Bangkok every week. The staff at W are amazing - from the front desk, concierge, receptionist to the staff at TKT serving breakfast. Every interaction with a W staff has been filled with warmth, friendliness and sincerity, which makes the stay very pleasant. Appreciate it when the W staff remembers my preferences and welcomes me at every stay. Special thanks to Boo, the duty manager, for his warm hospitality at every stay!",5,0.9773
"This is my second visit here. It is such a superb experience staying and having great time at this hotel, especially recreation facilities. Staff at fitness and swimming pool took very good care of me and my parent. Special thanks to Khun Doe who had rendered his service with sincerity, willingness and full service minded. He trained me Thai boxing class which I deeply appreciate and enjoy so much. What he had performed for us is beyond our needs/expectation. He had also given us worthy exercise advices of how to keep up with good health and well being. Also, thanks Khun Momo for his helpfulness and service. Look forward to staying at this hotel soon.",5,0.9918
