Review ,Rating
"Staycationed here with my partner. I visited the executive lounge - it had a great ambience and got to know Chef Nino who was friendly and made delicious food. Nice view of the pool. We dropped by Cool Cats too, a nice jazz joint at the back of the hotel. We also went to the spa to check it out and explored the facilities - there was a steam room, sauna, and my fave - jacuzzi with perfect temperature. I loved the space, it was a calm and serene place. A staff member named Sherry showed us around and let us try the zero gravity chair which was very cool. She was very friendly and professional and shared with us the treatments on offer which we will definitely try next time! The bed was comfortable and we had a great night's sleep. Really good service all round, worth visiting",5
"The JW Marriott South Beach delivers everything you would expect from the JW Marriott brand. The hotel and grounds are immaculately maintained, the staff are friendly and attentive, the facilities are quite good and the views are wonderful.   The hotel is conveniently located atop the Esplanade MRT stop. There are multiple restaurants and bars in the same block both in the main building and a heritage building on the property. You can cross the street to Suntec mall for shopping and dining or walk a block to Raffles City or restauarants near Bugis.  You can easy access the Esplanade theatre and offices in the CBD with a 15 minute walk or 10 minute ride.   Rooms at the hotel are comfortably sized and offer various unobstructed views of the city. They have Nespresso machines for",5
"My family and I stayed at this lovely hotel mid March and I would highly recommend it. The JW doesn't disappoint in it's cleanliness, service, food and staff. This hotel is very centrally located and a short 2 minute walk to the MRT. The Beach Road Kitchen offered a phenomenal breakfast with many choices. We were welcomed every morning with a bright smile from Lim Pei and they remembered our drink orders.. Chef Charles and his staff (including Gaba) treated us like royalty and was prepared to make each meal delightful. Breakfast became a smorgasbord of flavors and dishes. The Club Lounge had excellent snacks (drinks) and Lionel did his best to accommodate our needs. The gym is on the 18th floor with great views and always stocked with water and cold towels. The front desk staff",5
"I had my first hotel spa in my life and it was excellent. Firstly, I got to use their spa facility which were refreshing. Shaa who welcomed me at the reception was warm and friendly. She explained to me what the uses of the steam room and sauna were since I am not used to all of this and she was detailed and knowledgeable. They helped to lessen the muscle tightness that I had and I felt so much lighter. Later on I had a 1.5 hour massage done by Mandy, which I immediately fell asleep during the massage. I guess the aroma oil that she chose for me played a part and I could tell that she was skilled and experienced. Mandy was nice to let me  rest for awhile as I was too relaxed sleepy. Eventhough I did a free massage, they stilI treated me very well and professionally which I",5
"I booked a couple's spa with 60 min massage for my fiance's birthday. We were greeted by a cheerful and friendly Azizah, who patiently explained all the different aromas for us to use for the massage. We were also served a delightfully sweet and well balanced ginger tea. My therapist was Mandy, whom I highly recommend. Her technique was firm and strong yet relaxing, slowly kneading out all the pressure knots in the neck and shoulders. She was also very accommodating to my requests to repeat some motions for target areas. The room was very cosy and had a secluded feel, with en suite shower and bathroom. After the full body massage we were treated to the relaxation lounge that was quiet and serene for another cup of ginger tea (and a selection of other teas, if you so desire).",5
"JW Marriott took every precaution in the book to make sure we were safe, and well taken care of. They were extremely sweet to handwrite cards wishing me a happy birthday, and the Spa by JW was absolutely relaxing and refreshing. Therapists Hatmah and Mandy need to be specially commended, since they customised treatments for my fiancee and me. Azizah and Shah at the reception were also extremely knowledgeable and professional, best I've seen in any spa.   Glad that we were able to unwind safely despite the situation. Thanks to JW Marriott for keeping us safe and comfortable.",5
"Was pleasantly surprised by the warm and personalised hospitality provided by the hotel. Would like to thank Kendy, Lisa and Sherrine for the lovely touch for the room decoration from the drawing to the balloons and cake!   It made the occasion even more special it memorable. The effort provided by the staff with the easy check-in and express check out made the stay pleasant.   The room was spacious and clean. The amenities provided were of high-quality and sufficient throughout the stay.",5
"Came here for a night to celebrate my friend’s birthday, was pleasantly surprised with our photos (supplied by us to the hotel via email) taped to balloons, as well as a prettily decorated bathroom mirror door, and special treats!! It was extremely welcoming, huge thank you to Sherrie, Lisa and Kendy for the wonderful decorations and the handwritten card. Views were fantastic, staff were extremely hospitable and acceded to our requests for items, and we really enjoyed the place and people. Not the mention a pleasant and easy check-out at the end of our whole stay by Eden! Thank you JW Marriott! ",5
"Overall great service, but silly rules for the executive lounge - they didn’t allow guests wearing tank tops to enter, but allowed guests wearing shorts, crop tops and sandals. Doesn’t seem to make sense and can’t understand the rationale. Nevertheless special shout out to Lionel the trainee sous Chef who was very friendly and provided great service!",4
"I stayed 1 night at JW Marriott South Beach from 29 March to 30 March. Last stay was on 1 July 2017. Both are for short getaway staycations to celebrate special occasions.   What I like:  -Club lounge at level 2. Spacious layout and comfortable setting. Good spread of food and wide choice of beverages. -The ever presence of Eva Abdullah (since first stay) and the lovely team under her charge. The lads at the club lounge were very cheerful, helpful and proactive. They have a strong sense of purpose and are constantly looking out for emptied plates or mingling with the guests. Remembers you by the last name as well.  -Instagram worthy level 18 recreation area (houses the gym, pool and snack bar) which offers a 360 degree view of the city. From the CBD, to the marina promenade and",5
