UID,Hotel,Overall Rating,Overall Polarity,Latitude,Longitude
1,Ascott,4.5,0.77821,3.1423005,101.6923511
2,Berjaya Times Square,3.5,0.55001,3.1423007,101.7076721
3,China Town Inn,3.5,0.67227,3.144008,101.6957811
4,DoubleTree by Hilton,4.5,0.7795,3.1618106,101.7175963
5,EQ,5,0.92419,3.1523321,101.7075426
6,Four Seasons,4.5,0.84633,3.1579479,101.7115877
7,Grand Hyatt,4.5,0.8701,3.153664,101.7100673
8,Grand Millennium,4,0.7104,3.1473913,101.7097088
9,Hilton,4.5,0.83465,3.1354233,101.6835321
10,Impiana KLCC,4,0.74851,3.1535902,101.7091628
11,Mandarin Oriental,4.5,0.87382,3.1559554,101.7093953
12,Park Royal,4,0.70187,3.144477,101.7101143
13,Renaissance,4,0.72693,3.1571763,101.7032466
14,Sentral,3.5,0.28747,3.1322361,101.6850392
15,Shangri-La,4.5,0.84842,3.15421,101.7040813
16,Sofitel,4.5,0.8439,3.1466729,101.6593647
17,Somerset,4.5,0.78909,3.160067,101.7207373
18,St. Regis,4.5,0.85156,3.1367672,101.6867269
19,The Westin,4.5,0.82344,3.1478489,101.7123484
20,Traders,4.5,0.79384,3.153997,101.7121773
