Review ,Rating,Polarity
Stayed four nights on a family holiday with three generations. Clean and spacious and comfortable. A little disappointing that the breakfast is now in the ugly bar downstairs rather than on the rooftop like it used to be.,4,0.6115
"Great room and excellent service, staff geniality and polite. Good choice for my next trip in Malaysia. Location is good, very convenient to other scenic spots. only 5 mintues can walk to Petronas Twin Towers.                                                                                                        ",5,0.9274
"well, first of all I do not know what this hotel is not ranked as a 5* hotel it has everything you need. I must admit that my reservation was 3 months in advance, in not so touristic period of the year, but any case, was so affordable, that I was confused what I paid and what I received (I hope that this comment will not force management to increase prices :) ). I really do not have any negative comment in sense price/given/taken ratio. wish you all the best, and see you soon",5,0.9754
"Didnt know where to go for CNY holidays, thought of Ascott KLCC as ive stayed with family before. Invited girlfriends from Johore to come over. Had such a great time from morning till night. In the morning we walked around KLCC park, breakfast at Tujo was great as always.  Housekeeping excellent....requested for extra bathing amenities...was given a bunch of them. Gfs were happy they could take home as gifts. Evening went swimming &amp; night continued shopping at KLCC. Next day walked to Pavilion which only took us 10 minutes. Overall stay was excellent as always.",5,0.9595
nice location needs to improve more and more because it seems to be old otherwise it is  a great location at reasonable prices short walk to kl twin and pavilion  and almost no trafficks to international airport,5,0.8357
"If you desire a home away from home with lots of space, great amenities, wonderful staff and of course a location within walking distance of everything the wonderfully vibrant city of KL has to offer, then look no further than the Ascott Kuala Lumpur. This is my second stay here and I highly recommend it for anyone from singles to couples and families. The Ascott has everything you could possibly want in accommodation from spacious and well appointed apartments, an onsite spa and business facilities, to caring, happy and informed staff. The location is superb being within walking distance of major retail, entertainment and dining attractions but is not as busy as the main Bukit Bintang hotel and shopping area. I will definitely be staying here again as this is my new home away",5,0.9711
"cosy feeling, friendly to family as well as business traveller.  Ideal location around KLCC area.  walking distance to Pavilion and KLCC.  Easy getaway to Bukit Bintang and PUDU area.  Big family room and relax pool site at 22fl ",4,0.9325
Been staying at Ascott KL numerous time and never once a  disappointment.  Warm greetings By the staffs make u feel welcome . Truly home away from home.  Looking forward for the next trip . Keep it up Ascott KL! ,5,0.8758
"The best apartment I have ever visited. The staffs made us feel welcome and security is tight, I feel safe. Ascott staffs are their most valuable assets, who offers excellent hospitality.   I would like to express my outwards appreciation and gratitude to the Ascott Kuala Lumpur Jln Pinang Team during my stay from 15-17Dec 2019 especially to Mr Faiz, Mr Kamarul and to the person who found my bangle Ms Norfa.   I left my bangle at the apartment and forgotten about it and only realised it when I boarded the plane to Singapore @520pm.   I was frantic thinking that I would never ever see my bangle ever again. When the pilot announced that there will be a flight delay, I quickly took my iPhone and emailed to Ascott KL to inform them I had left my bangle in the safe in the apartment. ",5,0.9787
"Service at the Ascott lived up to expectations. The 1-bedroom was large and spacious both for the living room and the bedroom. The pool, spa, and availability of room service was a nice touch. Breakfast items got a little boring after the second day but was functional for a business stay.  ",5,0.1018
"Located just near the Kuala Lumpur City Center, the Ascott Kuala Lumpur is clean and provides you great hospitality. The staffs were very helpful.The hotel provides you almost every facilities from good rooms to great kitchen for cooking and baking.Overall experience was awesome. I'll recommend dis hotel to every families.",5,0.9657
"The apartment was comfortable, clean &amp; amenities were excellent. The staffs were polite &amp; friendly. Conveniently located &amp; nearby KLCC, pavillion &amp; Tapak Food truck. Will look forward to our next stay as we hav family of 6.",5,0.9169
A good place to relax..kids are easily excited just by having a bath tub in the room so my husband and I could have some rest before taking them to the pool. Room service menu from the restaurant was delicious too.,5,0.886
