Review ,Rating,Polarity
"The location of the hotel is very good, the room service were excellent, it also has a shopping mall which contain restaurants and cafes. The staff are very friendly. And in the breakfast you have many to choices as there is a variety of dishes.",4,0.8856
"I'm not sure whats happened here. This was my 7th time staying here but I feel everything has gone downhill a bit in the past 2yrs. Check-in took ages although reception did give me a room number that I requested in a polite and patient manner. I did pay for 3 days of breakfasts but when I arrived the 1st morning my name wasn't on the list so I couldn't go in until I produced the receipt as proof of payment. They were polite again though. There's no-one attending the pool area until midday now so you can't get a drink or pool towels. Lots of little faults in the room which I didn't bother complaining about but I did mention them on check-out so they can be fixed for the next guest. Faults included phone didn't work, bedside lamp didn't work, wardrobe light stopped working.",3,-0.8126
"What an incredible hotel and an absolute pleasurable stay. We opted for a club room / club lounge option which we’d thoroughly recommend. The staff are all lovely with nothing being too much trouble.  James at the Big Apple Resturant for breakfast is a master of the Coffee machine and just a genuinely lovely guy.  This hotel is very mindful of the current virus situation with hand sanitizer everywhere for personal use. 10/10 for everyone from the reception staff, wait staff and the cleaning staff you’ve all got customer service 100% correct!!! We will come and stay again on our next visit to KL. M+M Room2021 (Australians)",5,0.9448
"Had a pleasant stay at this hotel.  The hotel is in a great location, right next to the monorail station so can easily get around Bangkok. With regards to the rooms, it seems that some rooms are very old.  We had an issue with one of our rooms, reported it and the management immediately moved us to the newly renovated rooms, after which we had a comfortable and enjoyable stay.  Nice variety of food available at breakfast.  Great service provided by all staff in the hotel.  Would definitely recommend, however this is more like a 3 star hotel than a 4 star - only because some rooms are very old.",4,0.9837
"Large, comfortable rooms with views of the  city skyline.  Centrally located with a lot of visitor attractions within walking distance.  Access to BTS shopping mall through the hotel, Imbi monorail station is just outside, and Bukit Bintang is about 10 minutes walk from the hotel.  Staff are all very helpful, friendly and professional, which really enhanced my stay.  Good value for money accommodation.",4,0.9514
"Decided to stopover for a night from Melaka to Penang. Well, just utilizing part of my RM1000, courtesy from Malaysia government. Check in, check out, breakfast, all good. Heart of the city, convenient to commute if you are not driving.",5,0.7579
"We had to cancelled our reservation from the other nearby hotel due to a construction and noise, and inconvenient. First, what really drew our attention was we saw this Berjaya Times, was crowded, very clean, with few security guards or well dressed gentlemen standing in front those doors. First impression, was great, and we decided to blind check in without checking online the pricing, as we normally do first. The front desk was super helpful, but somehow, our check in took 1.5-2 hrs long, that was not pleasant at the beginning. We went to the nearby shopping and grab some few fresh fruits, water, juice, and snacks before checking in after, and everything turned out smooth and great! The room was spectacular great, and comfy bed, couch, great setting of TVs, restroom, few",5,0.9781
"i stayed in club premiere and the experience was fab. it was good decision taken by my wife to stay here. decoration was beyond expectations. staff was polite, helpful and cooperative. in short, everything was perfect.",4,0.9081
"This hotel is centrally located within walking distance to China Town and night markets and has access to shopping mall.  If you are travelling with children the mall connected to the hotel has it own theme park.   The food at the hotel is reasonable prices but drinks are very expensive. We went to the local KK store for spirits and beers for the best prices as suggested by one of our tour guides. Hotel service was very good with staff very friendly.  Rooms were comfortable, not luxury.  Bed and linen/pillows were very good. The hotel has a nice large pool, gym and squash courts all included in the price.  We found the wifi fast and reliable.",5,0.9878
"I booked this hotel thru booking.com. Checkin slow and difficult was done thru agents not hotel. The room they gave me was not one i chose and didn't deliberately pick this because of reviews. the wifi dropped out first night came on next day then dropped out next day they came to check said they would come back at 8 pm i went to bed 1030 and they woke me up at 1130 to fix it, the communication was difficult as i could only contact thru wifi which didnt have. When i checked out they cancelled booking so i could not write a review . Be very careful booking this hotel. ",2,-0.6258
"Very disappointed with their rooms and how they handled the situation.  Spoilt aircon : 2618 Power trip: 2408  Checked in into a room which had something wrong with the aircon and was given another room. Then comes the power trip at 2am leaving me in a dark room. Thankfully I had someone in the other room. The maintenance team came, fixed it and didnt even apologise that it happened. Instead he told me to switch off the heater switch which I didnt even on in the first place.",2,-0.7075
Good location in the heart of KL and next to LRT station. Connected to the mall. Big rooms with living area.  Hotel has seen better times. Room was smelly from odour in the toilet. Clogged sewerage likely cause. Changed rooms willingly. Shakey bed. Conditioner tube was empty. Aircon needed 10mins to warm up. S$95/ per night. Friendly staff.,3,0.8442
"We checked in at 3:30am on 01FEB2020 although we booked on 31JAN2020.We were told by the reception that she was going to give us a bigger room which was much appreciated. When we reached the room, it felt that the room was somekind of staff room or something. There was a note on the door stating that not to OFF the fridge as there was frozen food. ( I kept the pic of the note). The flushing system did not work. You got to flush 2 to 3 times. The sink also choked. The service during breakfast service was apalling. I was lining up for the prata or roti cannai counter with 3 person infront of me, it took so long for the chef to prepare the prata. Then only were told it was in the bowl at the side. I told the chef called Sulaiman that I wanted prata with eggs and he just glared at",1,0.1531
"I have been for 2 night in that apart hotel, huge by size but seems lack of maintenance, too hot in the corridors, bedroom aircon regulator defect, noisy aircon unit is stuck to the bedroom.But now the positive excellent location surrounded by 4 huge mall, excellent breakfast with all kind of food,  all Halal do not expect to get any bacon or pork sausage.....",3,0.9001
Club Lounge is a must! Delicious buffet breakfast and evening canapés and drinks included. Good value for travelling families. Rooms are large and comfortable. Hotel itself is a little aged but if you don’t care about image as much as practicality and good value then this hotel is great.,5,0.976
"Pros: - Location (beside imbi monorail)  Cons: -Faulty ameneties : The iron was faulty &amp; the telephone was not working -Missing amenities: Some amenities listed were not provided such as soap dish, bathrobe and etc.  -Poor housekeeping: Got my phone fixed on my last day of stay after telling them since day 1 &amp; I had to call the receptionist for housekeeping using my personal phoneas as room was not cleaned (we went out in the morning &amp; came back in the evening and the room was not being cleaned the trash bin was still full.) Guest folders were torn.  -Poor room condition: old &amp; need refurbishment. Room was smelly and the corridor had a very strong smoke smell.  I would never reccomend anyone or myself to stay in Berjaya Times Square Hotel. ",1,-0.7445
