Review ,Rating,Polarity
"I enjoyed my stay here.The location of this hotel is very good and is in the heart of the city. Staff and rooms are good and clean. It is located in the best shopping area, and all food stuff is available near by. It's the best choice for staying in Kula Lumpur. ",5,0.9674
"We encountered a lady and man receptionist during our 4 night stay. The lady was nice, no problem with the man either. Hotel is short walk away from pasar seni train station. Outside pasar seni is the free Go KL bus stop purple line. We tried to use a bus one day and they said no cash only card accepted. We didn’t have a card and a guy at tr bus station offered to sell it at 25 ringgit each. So we walked to the train instead. Central market is close to pasar seni. Pudu bus station and plaza raykat train station is also a Short walk away. If you are coming by long distance train, get off at Kuala Lumpur not KL Sentral and walk to hotel.  You need to take stairs to reach the hotel so beware if you have mobility issues. Hot and cold water dispenser on the same level as reception.",3,0
"We're touring Malaysia for 8 weeks &amp; this hotel met all our requirements. Good location, clean but basic. A little noisy from outside at night, so perhaps a room without a window would have been quieter. It was no frills, but no complaints from us either.",4,-0.7882
"It has a very convenient location close to many sights and only a 5 mins walk to airport bus stop. Room was small and a bit worn, but worth the price. Bathroom was weird with shower in the middle of it, so everything's wet there after using it. Good wifi. Nice personnel.",3,0.7684
"I stayed at this hotel with a friend for 3 nights and arrived late at night. The lady at the front desk was very friendly and asking for a key deposit of 60 MYR. She clearly said it will be fully redunded when we check out of the hotel. However once we left, a very old chinese man that seems to be the owner arrogantly and rudly refused to refund it in full. He reasoned the money we gave was the tax whereas we already paid full the room included tax. He was celarly the nightmare of our stay at the hotel. He is a very arrogant owner. Always being rude everytime talk to the people. I was just so impressed by the frindly ladies at the front desk and cleaners that kindly clean our room every day dueing our stay. The room/hotel itself is clean though and comfortable but NOT the way",3,0.7843
"The hotel room still using the old conventional single key to lock/unlock the room from inside/outside instead of computerized key-card system. There is a door latch for extra security.   Need to walk up the staircase to reached the lobby reception area at 1st floor and hotel has lift to go up level 2 to 5. A deposit of RM30 is require to get a room key and without issuing receipt for the deposit given.  A the glance the room and bathroom is clean but found some hairs on the floor next to the bed. Found a small cockroach wandering around the floor. Multiple clothes hanger provided. Have to wear jeans, thicker clothes &amp; socks during the sleep time  because the AC is centralized and unable to adjust the temperature.   The TV is super small (14inch) and a few channel to watch such",4,0.8462
"This hotell is perfect if you want to stay in a cheap place close to the city centre. Me and 2 friend, all grown males stayed in a 3 bed(1 single 1 double) and it was rather spacious. If you are planing to explore KL and only need a place to sleep and shower this is a good place for that. But do not expect something fancy. The surrounding china town is a must see if you like street vendors and bargaining.",4,0.9118
"I stayed there before it's marvellous in all respect staff is very good it's location is excellent. The most busy market , different variety of food and all type of convaince is available 24/7. It's a home abroad.",5,0.8748
Great location and foods are surrounding your area !! Room were huge but air conditioner is centralized with the hotel public area therefore we are unable to control the temperature . The price were cheap and value for money . Room were very very old like back in 90's with a little smells in the room. ,4,0.8989
"This is a budget hotel so don't expect much. Basic amenities provided. The good thing about it is the hotel's good location, near to bus and mrt/lrt stations, walking distance from central market and within petaling street market; lots of restaurant around the area. Safe to walk even on the wee hours of the morning. We arrived in the airport at 1am and reached the hotel at around 3am. From KLIA take bus to pudu station (RM12). Hotel is about 200m away.",4,0.8442
