Review ,Rating,Polarity
I stay with Hilton chain many times over the year and I like the Double Tree concept as good value and service.  For this hotel in KL its especially good if you are a tourist  as you can walk down to places like KLCC mall or Petronas twin towers ... you can also get the monorail nearby...,4,0.9042
"Just stayed at the Double Tree by Hilton for 3 Nights. The hotel is conveniently located inside the Intermark Shopping Mall where you can find Starbucks, Newsagents, Clothes Shops, Restaurants etc which is very useful. I’d advise Visiting Grandmamas Malaysian Restaurant in the Mall. The food was amazing and great value for money.  The bus system seems a bit unreliable and sometimes stops at the hotel stop and sometimes it just carries on despite us flagging it down. Instead we made use of the  nearest metro station (Amang Park) which is accessible from the hotel via a pedestrian walking bridge. Go to the Watsons Shop in the Intermark Mall at Hotel to Purchase a Touch and Go Card. This can then be used on all Metro Lines and Buses and avoids needing correct change. Each Metro",5,0.8748
"Perfect hotel on it's service, facility, location. Variety im breakfast was pretty much impressed. Malaysian, Indian, Chinese assortment on top of regular western breakfast. Thank you Bhupendra for your hospitality.",5,0.9231
"thank you for the decoration for our mini birthday celebration, the room view was fantastic. there is nothing to complain, and the whole experience is wonderful. we will be back! thanks doubletree hilton!",5,0.9371
"Nice welcomed and well serviced overall, comfortable  lobby and clean room, very quiet during the night, though it is connected to the shopping center. Good varieties of selection for Breakfast, Service is very attentive. ",4,0.936
"Hotel was amazing, staff was helpful and ensure that you and your family will received the best hospitality. Location is perfect. Right at the centre of kuala lumpur and very near to Kuala Lumpur Petronas Twin Tower and to the mall. Breakfast was good and overall a great hotel to stay!",5,0.9761
"very modern hotel, in a very nice place of Kuala Lumpur, with very nice and hospitable staff. Excelent and very good breakfast, with a big variety of kitcens. it was realy a place i want to visit again.",5,0.8651
"I stayed for 1 night in King Deluxe Suite at Doubletree by Hilton KL for my birthday and it turned out to be one of the most memorable experience I had! The staffs were so lovely for surprising me with 2 birthday cakes! The room was also decorated with balloons even upon our early check-in. They even reserved a breakfast table for us and surprised me with a cake and birthday songs!  The living area was spacious with dining table and a comfortable sofa. However, there was a slight mistake on the qibla direction as I measured it using MuslimPro apps on mine and my friend's phone in the hotel. We already informed the staff regarding this and they will surely fix the issue.   The bedroom was great with a comfortable mattress and the plenty of pillow choices from pillow menu. The",5,0.9691
"As soon as we arrived at the hotel I had to get the cleaners to our room. Floors had not been vacuumed and in the bathroom the previous guest had had a proper shave and all the hairs were still on the floor. It was unbelievable that this was not cleaned up and when I moved some things in bathroom like the bin and a scale, more and more hairs would appear. It was cleaned immediately and thoroughly and I also received an apology. I would have left it like that-mistakes happen, I get it. But sadly cleaning standard during our stay remained poor. Especially the vacuuming, which was pobably done once or twice during our week long stay. There were also hairs everywhere, even between bedsheets and clean towels and since we are a family of 3 blonde Europeans we could tell those black",4,0.4215
5 star breakfast - western to chinese to Indian . original malaysian breakfast. Hope u r not on diet when u visit Malaysia.  bedroom spacious n bright with glass between bathroom n bedroom- but privacy ensured w roller screen,4,0.5499
"If any one looking to cover maximum tourist place during a short visit to Kuala Lumpur then doubletree by Hilton is the best place to stay, one can walk down to places like KLCC mall or Petronas tower or KL tower... n other places r in 5-6 km radius.  Do book a room with bfast, to taste the local cuisine of Malaysia along with western and Indian cuisine. ",4,0.7717
"Stayed for 4 night Feb 2020.  The hotel is located in a co share building with a shopping mall and offices, which is great as you have a choice of quick eateries if you need them.   There is a pool, which gets the sun but does have limited loungers, but we managed for the 2 hours we took out of touring one day to relax.   Great restaurant for breakfast - Makan - with a wide range of choices.   15 min walk to Petronas (1km door to door) and 5 mins to the under/overground if you want to explore further afield - please use it, really good value!  We had an exec room, floor 33, and used the Lounge everyday. Ash and the whole team made us feel very welcome and he couldn’t do enough to make sure we were looked after. He gave us recommendations for food, drinks, places of interest and",5,0.9884
"We stayed here three nights and the hotelmis inside a small shopping mall. The rooms aren't exceptional but the access to Petronas twin Towers and KLCC is excellent. The mall itself has some nice dining options including italian, Dome cafe and some amazing bubble tea outlets not to forget local Malay cuisine. I would go back for the great price i got and terrific connectivity to Petronas twin towees, Suria KLCC and even Bukit Bintang",4,0.9813
"Great located at the center of Kuala Lumpur. It is nearby to a number of attractive 'must visit' places such as KLCC, KL Towers, Pavillion Shopping Center, National Museum, National Library and many more. Hotel room is nicely decorated with all necessities provided. Food at Makan Kitchen is yummy with a number of local delicacies, and it is a must try restaurant. Staff are friendly and well trained to assist and handle hotel guests' requests. However, upgrade was not allowed even the hotel was not running at high occupancy, moreover, I am an HHonors member. This brings a bit of disappointment.",4,0.9423
The DT KL is a reasonably solid offering by Hilton and a pleasant hotel to spend some time at whilst in KL.  We especially enjoyed the service and amenities of the Executive Lounge.  The staff in the lounge were very nice and left a good impression of Hilton overall.  Ash the manager of the lounge is a very pleasant gentleman and made us feel very welcome.  We really enjoyed our time spent in the lounge.  Our Executive room was also nice.  I do agree with some reviewers that the hotel is showing its age and some renovation in parts (some new room furniture) would make the place even better.  We took breakfast in both the Executive Lounge and the main restaurant and both were good.  Service in the main restaurant was attentive and the selection of foods very good. Reception and,4,0.9898
Had the booking done via the general manager so i got an upgrade. Hotel facilities were good. Location too... Would recommend the Italian restaurant....food was amazing.... Staff was cooperative Overall good stay .,5,0.8074
"The DoubleTree by Hilton in Kuala Lampur is one of my favorite Hilton hotels in the world. The staff is exceptional and the hotel itself is beautifully maintained and lit. I originally chose the hotel for its proximity to banks, offices and embassies I needed to visit. The location of the property is convenient to public transportation as well as an easy Grab (Malaysia's equivalent of Uber) or Taxi ride to the city's many landmarks. I walked one mile back from the train that took me to the foot of the famous Petronas Towers to the hotel. ",5,0.8934
"I stayed twice for five days in January. Both checked in at the executive lounge and their service was perfect. I was faced with small problems during the stay, and I was very impressed by the hotel's immediate response. I visited here with my 4-year-old daughter and I was very grateful to all the staff for their consideration and affection for her. During the stay, my little girl turned 4 years old and I almost cried since the Lounge members throw us a small surprise party for her birthday.  The hotel’s biggest advantage is  its location, with a wide variety of restaurants and shops (even the supermarket) located in the Intermark Mall and all the tourist attractions in Kuala Lumpur within a short distance.  My family and I are also planning a trip to this hotel to enjoy a",5,0.9665
Stayed for 5 days. Clean and well maintained room. Housekeeping was very thorough in making up the room on a daily basis. Breakfast was lovely. A wide spread of different cuisine. And the location is strategic! Will be back for sure.,5,0.8805
"Stayed at this hotel and was very very disappointed. Wifi does not work in the room. I have to call so many times. Obviously, the staff is not properly trained by the management. Do  not choose this hotel if you are about to travel to Malaysia.",1,-0.5678
"Rooms are nice with simple deco.  Spacious, many hangers. Safety box, not bad window view. Breakfast was nice, staff are friendly. Very clean place, cozy, very relax. One thing though, the signage for all lifts are not really visible, we have to look many times which llift to take. Thank you.",4,0.9688
"It come with Great location as located in City Center. Attached to a shopping mall which you can easily access to some lite shopping, good Food and drink choices.  The overall hotel are GOOD with attentive service by hotel staff, room are spacious , practical &amp; clean",5,0.9406
"Great hotel. Good location. Executive lounge staff fantastic. Have stayed before and will stay again, so much better than the hilton garden inns in kuala lumpar. Quite expensive for the city bit worth it if you upgrade to executive lounge. ",5,0.9401
"I stayed in Doubletree for business for 3 weeks and then my family joined me for holiday in the last week. Doubletree staffs were very nice and helpful. I made multiple bookings due to plan changes, but the staffs managed to sort our everything so that I didn't need to change rooms multiple times.  The executive lounge staffs were exceptional. They made my month long stay much more comfortable. Well done! ",4,0.9213
"I would say the ultimate reason we come back again is because of great service, and warm greetings the Executive Lounge staffs. Unbelievable extraordinary service from Smital Shah (Direction of Operation) who met us during our stays instead of busy schedules. We really appreciate it arrangement made by Shalinda.  The ever most wonderful moments coming to DoubleTree Hilton KL is when we are being treated awesomely at the Executive Lounge by Shalinda, Ash, Azfar, Zarina, Ashikin, Stephanie, Putri  and Adib. All of them are very committed, hardworking, serving cheerfully from the heart without any expectations.  All of them mentioned above giving service beyond the guests expectation and we are coming back here again because of their excellent, tremendous, awesome service and great",5,0.9886
"This Double Tree lives up to the expectations from the brand. After a very long flight, substantial time-difference and with important meetings the following day, the Sleep Quality with a completely dark and silence room was excellent. Nothing like a really good night's sleep to set you right.",5,0.4274
"Stayed at this hotel for 5 nights as we have an office situated close by. Its very convenient and overall we enjoyed our stay here. The exec lounge is nice, plenty of drinks and an ok food selection, also helps that there is a small outside space to enjoy a morning cup of tea and over look the twin towers.  The makan restaurant is good with plenty of choice and always seating available. Pool area nice, not massive but adequate and a pretty decent gym. overall a good experience and we will be back when i work again from the area. Finally the cookies were well appreciated, especially by my daughter! Thanks. ",4,0.9814
"This could be my fourth review of this property from the first in 2011, and time sure flies because this once new hotel is now a middle aged dame.  On this occasion, a brief Christmas getaway with the family, I booked a King Suite to try out because this property has a strict no-upgrade to a suite for Gold/Diamond members - even if we book the highest category before a Suite.   The standard suite was comfortably spaced for a family of 4, about 1.5X the size of a standard room. ( Not 2X ), with a small dedicated living and study space. The connection from bedroom to bathroom had NO DOOR, which was not ideal, but the real deal-breaker for me was a sink which was lined with blackish mold.   I requested a room change and was quickly re-assigned a 2nd suite, which had no mold in the",3,-0.2742
Convenient location . On top of a shopping centre so was handy for meals groceries etc . Room was clean and spacious . Delicious buffet breakfast . Club lounge was adequate with a small selection of snacks and drinks from 530 .  Staff went out of there way to help us including late check out,4,0.8957
"Stayed one night at this hotel, travelling as a a family of 5, we booked two rooms interconnecting.  Price was very good and included breakfast for all 5 of us.  Check in and out was very easy and all staff involved where very accommodating. The rooms we had on the 17th floor had amazing views of the Petronas Towers. Breakfast is lovely offering Malaysian, Chinese, Western and Indian very very good coffee. The swimming pool is beautiful sparkling and very clean. The location of this hotel is fantastic only a few minutes walk to Ampang station, maybe a 5-7 min walk to KLCC, the hotel itself is located inside a mall that has everything from haircuts and nails,, restaurants to supermarkets. This hotel was great we were very very happy, have stayed in several other hotel in this",5,0.99
"This is a large, centrally located modern Hotel (Intermark Mall)  with an extensive list of amenities. Very customer orientated, staff are exceptionally friendly and helpful. On arrival the booking in was swift and welcoming . You even receive a chocolate cookie to welcome you. Rooms are spacious and the large king size bed was one of the most comfortable I have ever slept in. The purpose for our visit was to break our journey to Australia so we only had 3 days. If we had known how special KL is and the beautiful sights we would have stayed longer. We availed of the spacious outdoor   pool and 3 of the restaurants. In the Tosca restaurant by the pool we had anchovy and seafood pizzas costing a reasonable  (RM80 x2) washed down by a perfectly chilled bottle of Sauvignon Blanc",4,0.9811
"Upon arrival the staff were friendly and apologetic to the fact that they couldn't check us in early. They however provided us with a nice cookie and stowed our bags so we could explore. The Hotel was nice, beds clean and comfortable and the amenities well maintained. However the shower leaked excessively to the point it was a hazard in the bathroom. Staff were helpful with organising hotel to airport transfer.",4,0.9468
"We enjoyed our stay here from December 26-30, 2019. The cookie given to us upon check-in was a nice surprise. Also, the welcome drinks were very comforting after a travel and ride from the airport.  Took awhile for our rooms to be ready but DoubleTree staff were all nice and accommodating. I fondly remember Shalinda and Asfhar would assist us in the Executive Lounge breakfast, they are always smiling and ready to help. Their warmth and assistance means a lot, I remember the line in their TV video, ""thoughtful gesture means so much... there is a universal truth in small things they do."" Would love to go back to this hotel, plus mall - shopping and dining areas are just below your room. :) ",5,0.9935
"Stayed at hotel for 3nights and 4 days. The check-in process is fast and seamless. We got welcome cookies at the time of check-in.The rooms are spacious. Can sleep 2dults and 2children easily..The facilities are great too. The swimming pool water is a little cold. The breakfast spread is good. We had to face a queue to get into the breakfast area. The WiFi is fast too. The lounge is another amazing area. The lounge opens from 5:30 to 7:30 .They serve u alcohol and snacks which is limited.From one side u can enjoy the beautiful views of KL and Twin Towers.  The hotel is located on the first floor. Below the hotel there is a mall and a food court in the basement. There are restaurants in the mall too. Jaya Groocer in the food court, one can buy fruit and other things one",5,0.9678
very good location near to US Embassy and KLCC Twin Tower. Restaurant and shopping mall below this hotel is super convenient and useful. will come back for leisure trips in the future and is highly recommended for busy travelers  ,4,0.9019
