Review ,Rating,Polarity
"The Blue Bar on the 51st floor was AMAZING. From the moment you step from the elevator to the ouside bar area, you cant stop saying WOW! Million dollar views of the Petronas Towers and city, sleek bar, mood lighting and relaxed furniture and great staff. My friend and i visited mid-week so it was not crowded and the staff were so friendly, encouraging us to take photos with there help if needed. A shout out to Meng and her male collegue (who worked in Bangkok, Hard Rock Cafe group) who both had excellent english and hospitality skills. Don't ""land"" anywhere else, come to the Blue Bar. you won't be dissappointed.",5,0.9806
"This is a fantastic hotel for so many reasons. It was so good that we extended our vacation in KL just to stay at the hotel for the second time a few days after checking out. First location is excellent. Both Pavillion and KLCC are within 10 minutes walking distance. The view of KL especially from higher floors was beautiful!  99% of the staff are super friendly and they go out of their way to please guests. For example getting late check out was no hassle at all. The receptionist agreed without making you feel “we are doing you a favor”. I accidentally left my Apple Watch after checking out. I called 2 days later, the watch was kept safely and returned to me immediately after we checked in the 2nd time. Didn't even need to remind the staff. They just knew.   Food especially the",5,0.9784
"Our vacation to KL began when were welcomed by EQ hotel representatives at the airport and whisked into a luxury car for a comfortable one hour journey to the hotel.   When we are arrived at the hotel the warm welcome we received from the hotel staff made us feel truly special.     The check-in was conducted in our room after a short tour of our impressive room. The only hiccup being that the card machine wasn't working, but this was a minor blemish on a great introduction to the hotel.  We stayed in a Premier King which was a very modern room with fantastic panoramic views of Kuala Lumpur.   On our first night we enjoyed cocktails and drinks in Blue.  The bar is the perfect place to enjoy the jaw dropping views of KL and the Petronas Twin Towers.  Once dark, the city comes",5,0.9887
"I can't stress how much I love staying in this hotel. Been to a couple renowned hotel brands but nothing beats the service they provided over here. From the moment you stepped your foot into the hotel until the moment you checked out, the staffs never failed to produce service with excellency. Special thanks to the team, Mr Irwan, Ain, Hamidah, Mr Kumar, Shahir, Zainal and everyone else for making my business stay feels like vacation. Also, sending much love to Lenu, Fiezam, Masami and Petricia for accommodating my requests.  Ps: the hotel is so thoughtful into sending small details such as chocolates and providing hand sanitizer everywhere even in the room!",5,0.9896
"Had a fantastic stay at premier Room. I was so surprise with the marriage proposal my partner had arranged  and Ms Aslina had helped him to coordinate the room. Room decoration is exquisite &amp;  the view was  magnificent.  My fiance' and I went to Blue Bar, a rooftop bar with great panoramic view of KLCC &amp; Kl Tower. Mr Bakthiar helped us to get a perfect seat and provided us with a excellent service.  EQ is a great place to stay and I would definitely come here again  ",5,0.9827
Great service at the club lounge. Wonderful view of the Petrona twin towers. Thank you Affizzam for taking good care of me and making me the best Mojito. You passed with flying colors. Will definitely be back again to EQ,5,0.9729
"I planned for a proposal and I was amazed to how Ms Aslina had coordinate the room to cater the special moments. It was beyond my expectations. I was truly satisfied with the amazing work the team had put for my special moments. Blue bar, a rooftop bar has a spectacular view of KLCC and KL Tower. Mr Bakthiar who serve us at the bar was very attentive.. Kudos to the whole team!!! ",5,0.9704
"The staff at Equator Club Lounge are amazing!!!!! They make you feel at home and are very kind. Immediately upon arrival I was greeted by Ryan, Aslina and Asni. They went above and beyond. I am celebrating my honeymoon and they made it extra special. Words can't express how special they made it, especially during a time when the world is experience a pandemic. I can't thank them enough!!!!! I am very humbled and thankful!!!!! If you have not stayed at this hotel, then you are missing out on hospitality, luxury and beauty!!!!!",5,0.9465
"Was in KL for my best mate's wedding; and stayed for a few nights... and what an experience it was. The best city stay I've had. Right from the room, the service, the Gym, Spa experience, the pool.... then the club lounge, even started the stag-do at the Sky Bar and it was epic.... and the Staff is quality, specially Mani! It was pure aces...",5,0.8655
"On the last 24 Febuary , Me and My Fiancee has visited to the Equatorial Sky 51 Blue Bars as a walked in Guest, I would say the bar concept and creation is amazing! The Duo Liveband  where they're singing is really bringing a relaxtion vibes where we're quite enjoyed it, and the services is awesome especially the bartender Mr.Joel, a tall guy with a good cantonese speaking and he's really friendly guy, The drinks that he recommend (Blue Moon and Purple Rain) Cocktails is simply delicious and worth paid! Other then that, The view of Twins Towers KLCC in the level 52 is no words can describe, it's Beautifull and Perfect ! Thanks Joel and Blue Bar Sky51, You Really Rock our Night! WIll we Came here again in the nearest future? For sure we will !",5,0.9882
"This review is for Blue @ Sky 51.   I proposed to my girlfriend today at this place. I imagined a simple and discrete proposal, as we are both kinda private person.  The place, and it's lovely team exceeded my expectations. They went out of their way to accommodate my proposal and added few touch of details to make the proposal extra special.  Rooftop view is the best in KL. Drinks were great. And the complimentary chocolate further exemplify the team's exceptional hospitality.   Thank you very much to Miguel, Siva and the team for making this day special, not to mention at such short notice (I planned it just 2 days prior).",5,0.9716
