Review ,Rating,Polarity
A truly good hotel is only as good as its staff. This is particularly true in this case. Every member of staff we encountered made an excellent impression - in particular DiDi and Audrey require a special mention because they (and other staff members in the Executive Lounge - too many to mention) because they made our stay very special and memorable. Thank you. A credit to the Four Seasons. We plan to return!,5,0.9781
"We had a chance to stay overnight at Four Seasons. Location is just right in front of KLCC Mall and walking to Bukit Bintang is just 20 minutes.   Room is spacious with two double beds, good for family stay. It was generally clean, modern, advanced and with huge bathroom and separate shower. As renowned give star hotel, turndown service is a given during evening hours. They will prepare beds, clean the bathroom and restock the bottles of mineral waters.   Breakfast is also excellent with so many choices of Malay food, Western, Indian, and Chinese food.    I would highly recommend staying at this FS with reasonable rates.   ",5,0.9589
"At a time when the hospitality industry has been slowing down considerably because of Covid-19, the Four Seasons Hotel in Kuala Lumpur is still managing to maintain high standards, put the welfare of its guests as its No 1 priority and provide a professional, welcoming service.  We arrived at the hotel lounge just after 7.30pm on a Saturday evening after a full day of travel. We were greeted at the lounge by Swady who helped us to settle in by offering some food and drinks to refresh our energy levels.  Once we were ready to go to our room we were checked in and Swady got everything ready for us.  It was a first class streamlined check-in experience.    On the next morning, we needed to get some medication a nearby pharmacy and Hazrul was kind enough to escort us across the road",5,0.9062
We would specially like to thank Cik Halilah and her team for their excellent customer service and not forgetting Charlotte for giving us a special tour through the Hotel. We were so impressed with the service given to us by Four Seasons Hotel.  The rooms were so clean and the housekeeping was excellent. Executive Lounge the staffs were marvellous. The food was excellent at Execution Lounge and Curate. We would also like to thank the porters and the waiters. We would highly recommend this Hotel.,5,0.9877
We stayed at this lovely hotel for 3 nights early March.  Perfect location right next to Petronas Tower and KLCC park. Rooms are clean and spacious with top-notch amenities. The breakfast buffet serves a wide variety of choices. Special thanks to Jon at the front desk.  He has been very helpful throughout our stay and made our visit very pleasant and memorable.  Highly recommended :),5,0.981
I am really impressed in the service given by the Four Seasons hotel. The room were beautiful and the housekeepers and waiters were very friendly. I've really enjoyed my stay and the connection between staff for remembering my name as I enter the hotel. I appreciate Darshen for handling my luggage and greeting me at the lobby. Rain and Cris were helpful at providing more information about the hotel and the city. Thank you for making my stay meaningful. ,5,0.9785
"I'd like to start this review by thanking Ellie. You helped my husband and I to organize the most beautiful event. We live overseas and although we had annoying time differences and found it hard to find time to talk, Ellie helped us to plan and execute a beautiful event that we will remember for a lifetime.   Ellie, your attention to detail and dedication were very much appreciated!  I have a greater appreciation of event organization after working with you and seeing how many things you can take care of at any given time.  The banquet staff were absolutely lovely and made sure that our guests were well looked after. We had many comments from guests on how wonderful the service was. A credit to both Faiz and Anwar. Thank you again.   As to the banquet menu, woah! We were so",5,0.9893
"I am glad that I choose Four Seasons instead of the others to celebrate our anniversary and my better half birthday. This is our first Four Seasons experience. The service was impeccable even before we reached the hotel.  The Guest Experience Team went above and beyond to make sure the surprise for the Mr. was successful. E-mails and request were replied and taken to consideration. Special shout out to Hazrul Hairee, The Lobby Ambassador &amp; Concierge Team! Thank you for everything!! :) Upon checking in, we were greeted with an amazing team at the lobby and directed us to the reception. We were attended by Sukyee (I might misspelled it!  Sorry!) Checking in was seamless. Service came with a sincere smile. She explains what needs to be explained in detail and wishes us to have a",5,0.9895
"Stayed at the Four Seasons Kuala Lumpur on business for about a week.  Wow, what a hotel!  Staff is unbelievably friendly (several of them called me by my name after a day or two – Cheers!); rooms are enormous; breakfast buffet has a huge selection from Malaysia, Japan, India, and other cuisines, in addition to the usual western breakfast stuff.  Also conveniently located right next to a big and interesting park and a shopping mall with Cold Storage supermarket (selling all kinds of foods, including wines, beers, and spirits) and many restaurants and high-end stores.  The wifi at the hotel worked very well, even for streaming video.  Climate control worked flawlessly and was very quiet.  In fact, despite being in the middle of the city, the room was virtually silent.  I stay in",5,0.9439
"We came to celebrate our mum's 64th birthday (which falls on Feb 29th that will only comes every 4 years) and wanted to do something special for her. To our surprise, the stay had been even more special and memorable than what we expected it to be.   My mum was overwhelmed by all the surprises prepared by the hotel staff.. We really had a great time. Audrey and Jemaima from Club Floor were very welcoming, helpful and nice.   I would definitely recommend it to others.",5,0.9847
"This is a hotel that puts most other 5 stars hotel to shame. I've stayed in many other 5 star hotels but this hotel outclassed all these hotels in every possible way. If there is such a thing, this hotel should be labelled as a six star hotel instead as they are simply a class on their own.   Their service is beyond amazing and you will notice that as soon as you step into the building. I have stayed here many times and always look forward to returning every time. The rooms are fantastic with very high quality fittings installed giving the room a very exclusive and luxurious feel. Breakfast both at the restaurant and at the lounge is great with plenty of options to choose from. The pool and gym is very well maintained with a tonne of equipment to choose from so no waiting in",5,0.9651
"All the staff that i had the pleasure to interact with during my stay there were great service wise towards me as a lone traveler. They were kind...smiling at all times..gave me help when i needed it. No work was done below par out from anyone. From the bellboys, to the check in staff, housekeeping, maintenance, restaurant staff at Curate and not forgetting a kind and concern Hotel Customer Satisfaction Manager by the name of Mr Gurmit Singh. Hope i have the correct job title of his. I had a great stay. The room was far too big for a single occupant but i am not complaining because everything in the room was to my liking. Well except for 1 minor detail that i find is the first of the kind in all the hotels that i have stayed in my travels. And that is the layout of the two",5,0.9124
"It was the first time in FSKL and will not be the last time. Very nice location and view. Clean rooms and very excellent room service staff.   I take the opportunity to thank Mr. Zakaria El Quaroui for the cooperation and his eagerness to meet us and keep direct contact with us to provide the best services to ensure our comfort during the stay.  I also thank Mrs. Samantha Low for the speed of her response to us, and her eagerness to meet us to find out anything that affects our comfort.",5,0.9844
"This is my second time to stay at FSKL and it will not be my last. Here at the end of my 10 day visit I cannot begin to explain the service.  I came for surgery and as it was obvious, the cars the hotel arranged to take me to and from surgery and follow up appointments picked me up and dropped me off in the basement where management met me and brought me to my room so to be discreet.  All their idea and all making a potentially stressful situation into a fun experience.  Not being able to eat much and only being able to eat certain foods room service just made what I wanted.  No question.  Your personal in room tablet allows you to order housekeeping, cotton buds! Towels! Shoe shine! Food!  Transportation!  Literally anything at the push of a button and an online chat available",5,-0.3111
"My wife and I stayed for 2 days in this hotel in a Park View Suite.   Everything from the organisation of airport transportation, check-in and baggage delivery was first class. The staff were all pleasant, friendly and helpful. The room was very comfortable, clean and with a fabulous view of KLCC Park and the Petronas Towers.  We ate dinner in Curate on the first night, which was a lovely experience - the Valentines Day special buffet was excellent and the service couldn't have been better. We had breakfast in the executive lounge the next day and this was once again very good, with great service and an excellent food selection in a peaceful environment.  We had organised a private tour through the hotel for the first day and it was excellent, with a very knowledgeable and",5,0.9929
"We had a wonderful 3 day stay at this hotel! Upon check in we were told that we were upgraded and found ourselves in a wonderful room with goodies waiting for us! The staff is incredible and always seem to go above and beyond. We loved our room and the views. The pool is gorgeous and the restaurant for breakfast was great as well. The location is perfect in the city and has everything you could want or need. If you're coming to Kuala Lumpur, stay here!!",5,0.9812
My gf and I enjoy doing local staycations and the stay at four seasons was arguably one of the best we have had! Firstly the services offered were flawless. The hotel surprised us with a free upgrade from Junior suite to four seasons suite so the suite was very spacious and had everything that we needed. Secondly we had so much of comfort relaxing at the executive lounge on floor 7B. The food and drinks were good. We also had a lot of fun at the pool and jacuzzi. Breakfast was also good. Special mention to Razif and Didi. They took care of each and every guest and were very attentive. Will definitely stay again!,5,0.9894
"We stayed a night here and love the luxury and comfort provided. The room is spacious and elegantly done. Bathroom is lovely with separate bath tub and shower area, well equipped with Loccitane's almond toiletries. There is also a Nespresso coffee maker and comfortable bedroom slippers. The toilet bowl is the automated type. Everything was perfect and we loved our stay.",5,0.9786
