Review ,Rating,Polarity
"We booked the hotel during the promotion rate with inclusive bfast, extra bed for kids, late checkout and afternoon tea at thirty8. And i must say that was the best deal ever! We booked deluxe room which is HUGE and plenty spaces for the kids to run around. The gym, sauna, whirlpool bath are all accessible and we fully utilized them.   But the breakfast spread was not as nice as I thought it would be. Limited choices of food, not as good as other 5star hotel in KL and gosh it was so hot and sweaty since the seating area are all by the window.   We spent most of the time at the pool too as they provide kids float and kickboard. You can use the gazebo with great view of klcc too! We ordered snacks from the cafe and the portion was HUGE and good enough for my kids to gobble in",5,0.8362
"First step that I approached the hotel, was warmly greeted by a young awesome lady name Roos, and also provided me the chocolate as a family member (this is wow), then approached the Lobby which located on 39 FL. with the view of Twin Tower (this is stunning)  Thank Peggy who was helping me to check-in and had such a lovely conversation and suggestions for some cool places to visit by (if you have a chance try Iron Fairly KL) and had a chance to meet Hazali the head of security there, that made me even more safe with the service.  Plus the bar on 38 FL was also one of the best spot here, was taking care by Mr. Mee (Assistant Manager of Bar), he has such a connection conversation and feel like here many times before  It's a must place and all the people here treat me like a",5,0.9909
"This is my 10th times staying in Hyatt. Guest services always tip top. Hyatt facilities, spacious room, and hotel management/ crew were the BEST and most professional I can say. Most importantly, we always feel welcome in here. ",5,0.9067
Grand Hyatt Hotel was the nicest hotel at extremely reasonable prices. Location is amazing and located next to KLCC with underground tunnel. Was a Marriott member but will always choose grand Hyatt in Kuala Lumpur.,5,0.8591
"It was an excellent hotel in KL, Malaysia. The staff were very friendly.  In addition, the rooms were extremely very clean  and spacey as well. It was peaceful to sleep in the rooms. The swimming pool was amazing",5,0.9616
"A very friendly and welcoming staff. We got breakfast included as a complementary service at check in. And free coffee while waiting for them to get the second keycard. The view was incredible, the room was very clean and the breakfast was great. Recommended!",5,0.9592
"the Grand Hyatt Kuala Lumpur is ideally located with easy walk to KLCC and Bukit Bintang area. The staff are exceptional in their approach, linking this with the high quality of hotel makes it the only hotel I will use. 5 Starts - definately.",5,0.8271
"Pulling up at the Grand Hyatt and asked to check in on the 39th Floor (Skylobby) was novel, the first time. Then it became irritating that you had to go to the 39th to then catch another lift down to the floor for your room.  Be careful of which room you choose, there is a lot of construction in the area and a Park View room may end up being a view of construction adjacent to a park. If you're in KL for some work and some relaxation be mindful of where the TV is located in your room, most are located above the desk, which means you can't be working and someone watch telly at the same time.  The Breakfast experience was average and not up to the standard of other similarly priced hotels nearby. Unfortunately, the Grand Hyatt in KL relies on a Nespresso machine to make your coffee",2,0.7845
"Having my memorable date to be celebrated here is so fascinating!  -Nice view, definitely -Great staff - Mr Izhar  -Best Food -Amazing ambience   overall it makes my day worth to be memorable &amp; cherish for a very long time!",5,0.9851
"Service is Outstanding!  Every single interaction with staff is highly professional.  From the bell staff helping with bags and doors, to check in, elevator attendant, food service, spa, pool, everyone.    Of course the sky lobby and view of towers are impressive.   My room was huge, very comfortable, panoramic views of KLCC and Towers.   Welcome fruit tray and I do like that no plastic water bottles are used. Club lounge is spacious, excellent food and service. Breakfast is also great.  A lot of choices.  I sampled the different stations: Western, Chinese, Indian, Malay, Middle Eastern, juices, pastries, noodles, etc. And of course the great views. I also enjoyed the 2nd floor pool, gym and spa. Location is great, adjacent to KLCC and Petronas, and short walk to shopping area ",5,0.9901
"We had a 5 day stay at the Grand Hyatt in Kuala Lumpur which was our first visit to this city.  The Grand Hyatt is perfectly located across from the KL Convention Center, the Suria KLCC mall and Petronas Towers.  Lots of restaurants in the area.  Booking the Club Lounge gives you a full buffet breakfast in the morning and hot &amp; cold foods plus drinks for 2 hours in the evening.  The rooms are spacious and comfortable.  A good base for a stay in KL.",5,0.9468
