Review ,Rating,Polarity
Great location in the hub of KL. Handy to MRT and LIght rail system and shoping malls. Walk to Petronas  towers in air condition comfort . Great cheap local food in lane way next door to hotel entrance. Staff very attentive especially in lounge. Could not fault except for pool area closing to any sign of rain.,5,0.9179
"I stayed here with my mother for a week, we were visiting my niece who was studying there. The hotel is very well situated, really central to all of KL's tourist sites. The train station was only a 2 minute walk and the Pavilion shopping mall next door. We also walked over to the Petronas towers via a covered walkway, it was only a 10-15 min walk.  The hotel staff were very friendly and courteous, any time we rang down to reception for something, we would get a call about 5 mins later to check we had received our request. We stayed in Feb just after the Coronavirus breakout, there were bottles of antibacterial hand-gel everywhere for guest use, the door staff used a hand held digital thermometer to check everyone's temperature on entering the hotel. This was done politely and",5,0.9127
"I've stayed at the Grand Millenium KL a few times over the years. Every time they've impressed me with a quality experience.  It may not be the newest hotel in KL but the location is great and the staff are (generally) first rate.  Only complaint is the team at the pool spend waaaaaaaay  to much time staring at their phones and not enough time looking after the guests.  By contrast the ladies in the lobby coffee lounge are the best!  Rooms are spacious enough, clean and comfortable.  Given the choice I'd happily stay at this hotel every time I go to KL.",4,0.9818
"My ""Go To"" Hotel for KL.I always receive a warm welcome from the staff and so check in is always easy.Thanks to the FOM Yuvasunthary for making everything smooth. The hotel is diligently checking temperatures of guests on entering the hotel, which is a good thing with Covid-19. Good room size and close proximity to Pavilion wins every time for me. Too many staff to mention individually, but would like to thank the lounge staff in particular. Ameer always remembers my drinks order, no matter the time between stays. Best value hotel in the area!  Look forward to seeing you again soon.",4,0.9672
"I had a really amazing stay at the hotel. When I first arrived I was greeted by Fawwaz, lovely guy, who helped me with my bags and checked me in. He brought up my bags to my room and gave me a room tour. The view was spectacular and thr service provided by the hotel was the best. Room service is always there for me to call at 4am when I'm hungry. By far the best hotel in the area with a good rate. ",5,0.9694
3rd time to visit and very friendly reception. All staff encountered were very helpful. Centrally located close to very large shopping Malls. Spotlessly clean. 18th Floor Club Lounge a haven of peace and quiet which ideal for business discussions.,5,0.945
Once again a great stay since September 2019  This was our 5th stay and the staff were great  Thanks to front desk manager Yuvasunthary and Anna for prompt check in and good room Choice  All staff from door men elevator staff were exceptionally helpful  Highly recommendable due to fantastic position  Will stay again   ,5,0.967
"Good i love the people 5 star. The managers are wonderful especially Yuva, Ann and Fawwaz also Rose the golden lady. Definetely gonna come back here and the room was lovely and beautiful hotel. Strategic location!",5,0.9628
I would like to thank the staff at the Grand millennium club floor they were very helpful and polite especially Ameer and Aiswaria Definitely will come back to this  Hotel when next in Kuala Lumpor great job keep it up,5,0.9509
"Stayed with the family on a short break at the hotel. Love the ambiance of the hotel and the location. Right next door to Pavillion KL mall, just opposite Fahrenheit mall and Lot 10 mall. If you need to some banking transaction, Public Bank is just right next door.  I would like to express my sincere appreciation to the trainee staff (Mr. Wing Hong) who found my mobile phone as I had lost it somewhere in the hotel and Duty Manager (Mr. Badrul). Thank you for the honesty and keep up the great service!",5,0.9661
