Review ,Rating,Polarity
"I have been there during the lockdown for Covid 19, The hotel was nice, I have upgrade my room by pay 30 MYR and had a great view of jungle, The room and hotel was clean and the location is perfect nest to the KL Sentral station, Beacause of the Covid 19, the public places were closed and the breakfast was served in the room, at the checkout they tried to double charge me for the room service breakfast which was not right as I booked the room with breakfast and their restaurant was closed, After I told them they cancelled the cost from the bill but they still charge me for the in room service, I can say that the adding cost was not by mistake as I saw another person had same problem too.",2,0.6065
"Had a 24-hour long transit and the Hilton at KL seemed like the perfect place to spend the night. What impressed me the most was the great customer service given by Ryan. Not only did he give me a better room but he also streamlined the whole process, while elaborating on the benefits of staying in this establishment--from tea time to dinner and the spa services. Additionally, I would also like to recommend the lady from Bangladesh, Britti, whose service at the restaurant was great--I highly recommend her and I hope the hotel offers her a permanent job offering.",5,0.9771
"We were stuck between our 2 home countries recently, and decided to put up at The Hilton Sentral, Kuala Lumpur. The room - Executive Plus Suite - was excellent with spacious layout, great amenities, super-comfy bed. But what stood out most was the personal service and attention we received. From hotel manager, Gajan, to Chez Kazi (who oversaw our special dietary needs), to our Housekeeping staff, Sherajull (who left us little ""stay healthy"" notes) we felt safe, never stuck! To the Front Desk staff like Shahril,  Nani and John, ""Magic"" (the hotel's immediate royal service) assistants like Ismail and Nik, our heartfelt thanks for making us feel at home. If I had to point out a shortcoming, it wld be the fact that CNN is not offered on their TV channels. An easily overlooked fact.",5,0.9772
"Loved Hilton KL’s cosy lounge. It has always been our chillax place. Lovely food, great variety of drinks, comfy sofas and a lovely view. Friendly service. We like to come by every once in while to just relax here.",4,0.9756
"Stayed in this hotel for 4 days before going to Langkawi, hotel in perfect location. Staff excellent food very good value for money perfect.  . Staff in restaurant very friendly chef in graze restaurant came out talked about food and even prepared some oysters for me.  Sorry chef I did take your name to mention you but 4 weeks on I’ve mislaid.   ",4,0.8893
The location on top of airport train station is hard to beat when you are arriving at KLIA and can take the KLIA express. Take the train or tube to locations for business to avoid traffic jams... Fantastic breakfast spread. Spacious well maintained gym (shared with Meridien which is next door).  You can also walk out for many food options and also next to a large shopping mall.,4,0.5994
The hotel was very accessible within walking distance to KL Sentral. Rooms were appointed and beautiful. I stayed in a room on the 27th floor and had incredible views. Breakfast was delicious with nothing to complain about. Service staff were kind and attentive. Would recommend if you are staying in KL,5,0.9394
"The hotel was great, check-in all the way till checkout was smooth and all the staff were really polite. Had the opportunity to be served by a gentleman named Harvinderjit Singh who was very polite and very helpful. The room was spacious and very well styled. The executive lounge was also a great experience with it being a highlight of my trip! Will definitely go back when I have the chance",5,0.9715
"It is really a nice stay here in Hilton. We stay for 4 nights and it was a great stay. What impressed us the most is the service given by Ryan. He is really a great customer service. He explain every details about hotel facilities, dining offer and spa and he is very friendly. He is a great asset for Hilton. And also would like to thanks Rubiah of housekeeping staff. They all did a great job. Thank you and definitely will come back. Anita and Elaine ",5,0.99
Lobby Staff service was good. Deluxe Room’s ambience and spaciousness + cleanliness good but needs maintenance for the blinds. Cannot use it as it was faulty. Did not see a shaver kit for men in the room or did not notice. ,5,0
"Very yummy meals with family.. great chef Fai and chef Kenny .. continue to create new menu with no repeat .. however , the ventilation in the restaurant from the tempanyanki area was horrible.. I think the management really should find ways to improve ! I hope to be able to rate this favorite place with 5 stars in my next trip! ",4,0.9557
"Stayed in Hilton KL for a few times  already.  The room cleanliness, amenities, breakfast selection are all tip top standard.  The only thing i will comment on is the receptionist service as well as the crew in the lounge.  Looking forward for friendlier crews but overall is still fabulous stays.",5,0.8201
"Decided for a weekend staycation, and since I've never tried Hilton KL before, so figured I'm due for an experience there. Checked into what's called the 'Lifestyle Suite', and it is a beautiful suite. What I absolutely love is the abundance of storage spaces hidden all around the room. And the usage of mirror walls also contribute to make the suite appear much larger than it actually is. Overall, a fantastic room. But the best thing bout this place is of course its gorgeous swimming pool. Rarely you get a resort style pool in the middle of the city, so its quite surprising to see one like this here. Huge pool, with water slides and rock features, and a jacuzzi too! What's more it opens til 9pm, which is a very much of a rare commodity these days as hotel pools tend to close at",4,0.9817
"The brand - Hilton, says it all.  I know it is one of the luxurious hotel before i check in first time in history. Booked in for a night stay before departing to the airport for overseas trip. Was very tired after a long train trip.  Unexpectedly, check in was fast and join their membership too, all of these took me like 10-15 mins.  When in the room, it has a very strong attraction that keep you wanted just to stay in the room the whole day. It is very comfortable be it anywhere inside the room. The bed, pillow, couch overlooking the city. which we purposely went out to buy wine just to enjoy the moment. Night view is spectacular.  The room comes with a bathtub with separate shower, relax and cozy, LOL.  The next morning breakfast, it is like all major Malaysian food is there",5,0.9723
