Review ,Rating,Polarity
"I recently stayed at the Impiana on my honeymoon and really enjoyed my stay. The check in process was very long and time consuming, i wouldnt recommend arriving at 12-2pm, as there were long lines. The hotel is in a great location to access KLCC and the Pavillion shopping centre. The hotel has a great open air bar, and a nice pool. The pool has very few chairs so i would recommend arriving early, or late. Overall really enjoyed my experience!",4,0.9456
We have been 2 1/2 days in Kuala Lumpur for sightseeing. Hotel is located perfectly in the city center. You can reach Petronas Twin Towers and even Bukit Bintang via pedestrian overpasses. I want to specially mention the concierge service (Mr. Syafiq) of the hotel: We booked a trip to Melaka at getyourguide for the wrong day and we have already been waiting for the pickup service. But he managed it that we could even join the Melaka trip the same day. Special thanks to Mr Syafiq,5,0.8519
"There was plenty of choices breakfast no matter western cuisine or local cuisine. The food is good quality, fresh, tasty and always refill by their staff when food is almost finish. Room is big enough for us, tidy, clean and supplying with toiletries. The only bad is car park. We drive a velfire to there, is super duper hard for us to enter the car park, hard to turn around, hard to parking. ",5,0.6124
"We were booking in to this hotel fro 4 nights from 15 March until tomorrow. Sadly because of the lock down in Malaysia due to the virus we have had to return home. However the staff at this beautiful hotel could not have been any more gracious and accommodating. Anything requested was met with instant results and good grace. The room was clean, spacious, comfortable and welcoming, the food was outstanding and plentiful. I would highly recommend this hotel to any travellers. Thank you again Impiana. ",5,0.9828
I really love the room and amenities.. The room is clean and the view was pleasant. Customer service was excellent and surely will recommend to others. Overall everything was MEMORABLE and we definitely will coming back !,5,0.9705
Had a great short gateaway with friends at Impiana. Hotel location was convenien which is near to KLCC and Pavillion.(Walking distance). Enjoyed our stays with execellent customer service. Will be back again soon.,5,0.8885
we  really enjoyed our  stay  there . Hotel location is perfect and easy access to Suria KLCC and Bukit Bintang. staff was very friendly and Housekeeping as done fantastic job. They fulfill my request and room was very neat and Clean. Room was sanitize well by room attendant the hotel is quiet too.  Thank you.,5,0.9835
"Walking distance to Pavilion and KLCC. Linked bridge to the hotel. Newly renovated rooms but the air con was not that cold, not sure whether they are operating at a minimum output. Water pressure for shower was also not strong. Not much variety for breakfast. ",3,-0.8315
"Very nice hotel. Staff are so so friendly. Location is very good. From window you can see Petronas tower. Room is so big and clean, bed is comfortable and everything is soo good. I really recommend this hotel! ",5,0.9729
Stay: 08/03/2020. My second time in this hotel.  Location : Very Good. Attached to the hotel above is the over-head KL city bridge connector which plys around places of interest around that area. Sheltered from rain and sun. In the morning I was able to walk to the nearby KLCC park via this over-head bridge and have a refreshing brisk walk there.  It is also Walking distance to the Raja Chulan KL Monorail. Walk further and you can reach the nearby Bukit Bintang shopping areas.  Alternatively you can take the monorail to reach Berjaya Times Square; just 2 stations away.   Room 705 : Stayed at the Superior room. Clean and with wooden flooring. The bed was very comfortable. Design is considered modern.  There was enough USB connectors in the room that I did not have to use mine.,4,0.95
"So comfortable, friendly staff, excellent food. So enjoyable to stay here.We had a 3 night stay to our business trip and were very satisfied with every aspect of the hotel. The staff are very friendly and helpful. The hotel is very clean throughout, and our room was spacious with everything that we needed. Breakfast was substantial, and suited all tastes. The hotel is quiet, and is situated near to our client office (Petronas Tower 3), and within easy walking distance. We would highly recommend a stay at this hotel.",5,0.9862
"Good service and the staffs are friendly. On location wise, very near to KL Convention Center &amp; Suria KLCC. The foods (breakfast) are variety and delicious. Check in &amp; check out process went very well. No problem at all. Just the problem is the parking, very limited and the parking area very narrow. ",4,0.6902
Room was not cleaned properly. Found half eaten yogurt and empty bottle. Front desk did not apologize and only wanted to get housekeeping up to clean. Requested for change in room as I did not want to wait. Stayed mon to Fri and did an extension.  System was not updated accordingly and front desk sent another guest to my room who rang my doorbell multiple times at 1.30am. Night manager also came up to ask why am I in the room and for guest name. Terrible service and everything was swept under the rug. ,2,-0.4055
