Review ,Rating,Polarity
"I, my brother and sister stayed at the Mandarin Oriental, Kuala Lumpur last month (Feb '20).  They checked our temperatures at check-in (front door) --- that was great as COVID-19 was just being discussed.  Hand sanitizer was everywhere, nice!  The hotel was fabulous, but it was the staff that I can't say enough nice things about.  The concierge was most helpful, and Club Supervisor, Razman Khailani, was just a marvelous, helpful person -- great man!  Just please -- keep the ""made to order"" pasta for lunch at the Club, it was great.  When I come back to KL, I will always stay at the Mandarin Oriental.  Thanks again for a great time!",5,0.9948
"Have stayed at MOKL twice. Last time the king room with twin towers view was better as we were on the 21 fl. This time they only had 10 fl room, where the view of the towers was harder to see.  That was ok as the hotel did seem full (at the end of raya season?) We ate at the buffet in Mosaic on Sat evening. As per usual the food was excellent but the service even better. Saiful our waiter was perfect. He was patient, soft spoken but attentive (not the typical style for a buffet atmosphere but at the MO this is what you get) Jeff the desert chef (manning the counter) also exemplified MO service. He was always smiling and never seemed to  waver at all the guests demands.  The next day we needed to get some formal batik shirts and Aaron at concierge arranged for a car to take us",5,0.9571
Super service from arrival to departure . A great hotel with very good restaurants . Very friendly and caring staff. Helped with my handicapped husband.  Located in a quiet part of town Close to sightseeing ,5,0.9593
"Without a doubt, Mandarin Oriental Kuala Lumpur has exceeded my expectations of hospitality especially in these turbulent times. Commendable service excellence from the moment we stepped into the hotel till we checked out. Special thanks to the superb staff mentioned below who made our stay extra special. Ms Ros from front desk reception who welcomed us, made our checkin a breeze &amp; even inducted us into the Fans of Mandarin Oriental program for ease of future bookings. Mr Desmond and Ms Paula who liaised with our concierge from privateupgrades.com, gifted us a complimentary double upgrade from a deluxe room to a twintower-facing Park Suite and provided us a welcome tour of our suite. Truly love the complimentary breakfast spread especially the steak and eggs. Kudos for even",5,0.991
"One of the best hotels in KL that you must try. Excellent service, luxury environment, great coffee, lovely staff. I love everything about this hotel. The location is very strategic near to the Petronas Twin Towers -  great view and easy to find restaurant. I will definitely visit this hotel again.",5,0.9844
"Lovely staff, good location, okay view, typical Mandarin Oriental hospitality. The room was a little dated but still doable, as Mandarin Oriental is like this too. Loved the swimming pool and restaurant! IN NEED OF RENOVATIONS",4,0.9286
"There are many luxury hotels in KL, but the Mandarin Oriental commits itself to providing stellar customer service.  Everyone you meet goes beyond what is expected and delivers an extraordinary experience.   I did not meet anyone working at this hotel who did not go out of his or her way to make me feel at home; however, since I always stay on the Club Level, I have to rave about the staff and especially Mr. Razman.   Club levels are always nice, but Mr. Razman made me feel that I was entering his home as an invited guest, and he wanted to make sure that I felt welcome.  He always made me smile, and I complement the hotel for employing such a wonderful team.   The Club Level is located on the 24th floor with magnificent views, including the Petronas  Towers.  On the surface it's",5,0.9787
"Gives the best in first impression. Very welcoming the moment we stepped in. However the check-in process was quite slow, took awhile. But our baggages were already in the room when open the door, very efficient. The room was very nice and pleasant. Housekeeping service tip top. The executive lounge at level 24 was excellent. Staff very friendly and helpful. Just 2min walk away to the KLCC shopping mall. Our stay was very enjoyable. Keep it up.",5,0.9865
We came here for 1 night during our honeymoon excursion and it was amazing. The staff was so friendly and hospitable. We stayed in the executive suite with the park view and it was such a nice view! I'm sure the city view is also amazing. They decorated our room with a swan towel on our bed and flower petals. Overall the stay was so great and the food in the club lounge also very nice! HIGHLY RECOMMENDED!,5,0.9842
"I stayed at the Mandarin Oriental Kuala Lumpur (MOKUL) on a trip to Southeast Asia. My friend and I used MOKUL/Kuala Lumpur as our home base as we took flights between Taiwan and Cambodia and stopped back at KL between each visit.  We stayed a total of seven nights over three stays and were totally impressed by the service at the hotel, the amenities and their attention to detail. The property itself is gorgeous and very well kept. Everything is beyond clean and well maintained. The customer experience with the staff was top notch with friendly and hospitable service throughout our stays at every turn: check in, housekeeping, breakfast, and poolside.  We booked lower tier rooms, but even these were worthy of five stars. Little things that other hotels overlook are attended to at",5,0.9237
"I stayed in the MO in KL last week. Difficult times given the present coronavirus situation. However, the hotel and its staff went about their business in the usual professional way. Including a real concern for each of our health. Temperature checks, sanitizer  everywhere and handing out masks, etc for those in need. Thank you MO for a wonderful stay.",5,0.5719
"First impressions were amazing; bellboys spring into action to help with luggage, grand entrance hall and fast &amp; friendly service from front desk. As we were traveling on business we had options of 2 upgrades; choice of spa credit, breakfast, early check in, treat in room etc. We chose late check out (4pm) as we have 2am flight home and room upgrade - from city view to park view. Staff were so friendly and helpful with my request for hypoallergenic bedding, as they usually offer goose down pillows.  We were offered orange flavoured water as we checked in. We had to pay a largish bond on our credit card, nearly £100 I think. We were also given complimentary drinks vouchers, 1 per room but there were 2 of us in our room?! Temperature checks prior to check in and hand sanitizer at",5,0.9624
"Staff are amazing and make the stay feel like home away from home.  Excellent location with great rooms, beds and AC, making the stay very comfortable.  Definitely make this a top choice when staying in KL.",5,0.9701
"We had a nice visit in the hotel.  We enjoyed different restaurants, spa massage and facial.  I enjoyed this stay because the staff are so helpful and always carried a smile.  Thanks to the hotel duty manager, izina in spa treatment, Megan, Italian restaurant staff, my family and I enjoyed so much and sure we will come again in the future!!!",5,0.9755
"Even only 1 night for the quick travel, I felt peace, comfortable, and relaxed atmosphere. Thank you as always, Mandarin oriental. On my next trip, I will try the swimming pool with a gorgeous view of the park.",5,0.9477
"We stayed 6 nights and had a really good experience, our room was lovely, spacious and kept very clean. The pool and outside area are lovely, well kept and the pool/bar staff were super efficient and friendly. Happy hour in the pool bar makes the drinks good value and again the fact that the staff are so friendly makes for a lovely place to sit and enjoy a glass of wine (or 3!) The food at the pool bar was also excellent. The location for getting around KL is great, plenty of good restaurants close by.",5,0.9952
"We stayed 2 nights in the hotel and the friendliness of the people and the service have been so great! A super nice experience was our visit in the Chinese restaurant of the hotel where we had a first class service and food with great explanations about Chinese food in Malaysia and a tea tasting. The first orientation at the breakfast buffet took us 10 minutes, it is soo impressive how many food from different cultures you could get. Not to forget the cleanliness and the service in the room. If we are in Kuala Lumpur again we will book Mandarin oriental for sure",5,0.9823
"We had very high hopes for the Mandarin having selected it carefully for our anniversary stay. However, those expectations were surpassed.    The hotel is fabulous. It’s been designed with great taste. You feel you’re somewhere very special and all the amenities are top drawer.   The pool area is perfect with very attentive staff. The gym is great (we loved our yoga session with Grace). Breakfast is also excellent (so much choice).  However, the stars of the show are the staff. Faultless service from everyone. Too many to name but thank you to Mohanna (for checking us in and out) and Janet and Asri for looking after us in the bar area in the evenings.  The whole team were brilliant. We’ll be back.   If you’re in KL, stay here - you will not regret it.",5,0.9828
"One of the nicest, most luxurious and beautiful hotels I’ve stayed at. Service was excellent! People are super nice. Amenities are great. Love the pool! We would definitely stay here again and look for the MO brand in other countries. ",5,0.9839
"This was an interesting experience - liked the oriental decor and nice rooms. Great amenities such as pool area etc, though staff were a little careless, and lacked real warmth. Breakfast lacked the authentic Malaysian touch and taste, the staff again looked uninterested!!! The Kyo club was a little toxic with all the smoking; shame it's an extension of Mandarin....",4,0.8994
