Review ,Rating,Polarity
"We stayed here in early March on the recommendation of friends, and the convenient location in Bukit Bintang. My best advice to current travellers is to request a room well away from the wing that has views looking down on the swimming pool. The noise coming from our room from the current construction was so loud it was not possible to sleep during the mid afternoon, and the room actually vibrated as a result. The room itself appeared tired and in need of a renovation with a musty smell with very few power points, none near the bed.  The hotel thankfully relocated us to another room on the wing facing Jalan Imbi which was much quieter. If staying here it is a must to request a room well away from the pool end of the hotel, otherwise  I recommend for its location and value for",4,0.936
We stayed for 23 nights and the whole experience was fantastic. We were welcomed warmly by Concierge Ravi on arrival from KLIA. He escorted us to the Orchid Club check in where Monica welcomed us with a complimentary drink. During our visit the Asst Mgr Orchid Club Rozanna introduced herself and made our visit special with her professionalism and friendliness backed up by her Staff. The young man who cleaned our room was brilliant. Over our last few days we met new Asst Mgr Front Desk Omar who was incredibly accommodating and so personable. On leaving he personally escorted us from the Club to our taxi. Honestly this Hotel experience is one of the best in Asia and we travel a lot. Thank you Park Royal KL. ,5,0.9853
"The hotel is very central and in a great location for walking to many of Kuala Lumpur's tourist attractions.  I stayed on the 15th floor and found the room to be very spacious, quiet and clean.  The view of the city from the window was beautiful.  The addition of a kettle and free bottled water in the room was a nice touch, along with the added safety information.    The staff were all very helpful, especially the ones taking my temperature at the front door.  The hotel restaurant had a wide variety of food available, especially at breakfast.  This could be improved by adding a note to specify what was vegetarian and what was not.   For a more in depth review of this hotel and Kuala Lumpur, feel free to visit my blog.",4,0.9847
"The room we stayed in was clean and comfortable with a strong wifi signal. Water pressure in the bathroom was strong and had plenty of hot water. The hotel is in a great location, close to shopping malls, entertainment area which is kids friendly, the street food market is just 5 minutes walk. Staff at hotel were superb, very friendly. Nothing seemed to be a problem to them. Breakfast was just amazing. The lobby lounge just very lovely. Would highly recommend this hotel to anyone wishing to visit this city.",4,0.9897
"Downtown Kuala Lumper is about 70 kilometres east of KLIA the International Airport. We decided to take a taxi directly from the airport to our hotel which cost about 100 ringgit. – around £20. The taxi journey took about 45 minutes, although it could be longer than this in heavy traffic.  Although there are alternatives, such as using the express train, the relatively low cost of a taxi for two people with luggage made it the most attractive option for us. You buy a voucher from the transport desk in the Arrivals Hall and know therefore exactly what the price is going to be . The Park Royal hotel is located close to the Buckit Bingtang monorail station which connects directly to KL Sentral.  Although using public transport is a very inexpensive way to get around the city,",4,0.2716
"V friendly staff &amp; good facilities. Construction next door very noisy, even more noticeable if you are trying to relax by the pool on sixth floor, completely overlooked. I would avoid for rest of 2020, don’t when the construction is going to be finished.",3,0.631
"I stayed 4 nights and 1 night in total. I had regretted having booked the additional night in advance because staying there was super uncomfortable. So I wish I did not have to step a foot in this place an additional night. The location is central, but it’s the only good thing. The worst thing is I emailed the manager about the issues but never got an answer.   Not a 5* at all  - staff is unhelpful and unpleasant (we stayed 5 nights in total and the only staff member with a smile was Guna the bellman).  If you ask the concierge for an umbrella because it’s raining, he will just sigh and show you you annoy him (even if he does not seem busy) and very lazily give you one. No greetings from the staff during our stay: upon check in, I say hi and give my passport and staff just gives",1,-0.6862
"Stayed here for two days/nights. A very nice hotel with good facilities and friendly, accommodating staff. Breakfast was excellent. Wide in choice to cater for just about everyone, well cooked and food that should be kept warm was. In our respect there was one drawback and that was the quality of the glazing. We were in a room overlooking Jalan Imbi and a major crossroads on it controlled by traffic lights. The glazing did nothing to ameliorate the traffic noise.  It was pretty much constant, particularly from motorcycles of which there are many in K.L. Late evening, for a good deal of the early hours and early mornings they accelerated harshly away from the lights, engines screaming through the gears. If you are likely to be disturbed by this get a room that does not overlook",4,0.9633
"nice hotel in a perfect location. rooms are big and modern, with absolutely comfortable bed. staff is great. the only problem was with a weak wifi connection.  very appreciated late check out until 2pm. great value for the money, fully recommended.",5,0.9673
"Fab hotel and location is really central. Helpful  and attentive staff including the singers in the bar. Room was lovely, spacious and clean.  We opted for club facility which included afternoon tea and cocktails and canapés and I would highly recommend this.  The staff in the club lounge are amazing, so attentive  and the food is superb.  Can’t recommend  highly enough",5,0.9778
"Overall experience was great. Wonderful service and good location. You are close to almost everything nearby from food,cafe, relaxation and shopping. Nearby MRT and LRT available to go places or just walk.   ",4,0.9337
"We enjoyed our recent stay at the PR in KL and particularly its location within the city.   We had Club Lounge access and enjoyed all aspects from breakfast to afternoon tea to the evening cocktail hour. The staff were extremely good at ensuring your stay was memorable. However there was one aspect that needs addressing and that is the definition of “smart casual” when it comes to male attire in the evenings. Unlike other PP and PR hotels in Australia and Singapore where the management is very specific in what is permitted and men are required to wear trousers, shirts and closed shoes. During the 4 evenings of our stay a number of men were wearing shorts, tee-shirts and thongs. I feel that this needs addressing and if this is the new standard of dress then be specific in the",5,0.9092
Neither my husband or I were impressed. This hotel is quite old and dim and needs updating badly. Concierge (Ravi) was an amazing fountain of knowledge for the area. Emilia was grudgingly helpful but if asked she would pass us to Concierge ASAP. We were asked for RM300 on arrival to cover RM10 tourist tax a day and any charges we charged to our room. 2 days later we were summoned to reception desk and told quite rudely we needed to add money as we were over by RM8. We asked why we couldn’t settle this when we leave and told it needed to be then. Quite rudely. Honestly we felt like we might scarper for a few RM. hotel pool is lovely but there is high rise building going on both sides of it. Unfortunately one side is same level as the pool level so workman and cranes and banging,3,-0.1435
"PARKROYAL Kuala Lumpur (room 1811 - Queen Bed)  +Location, restaurants and malls all around the area. 20min walk to Petronas Twin Towers. +Air-condition, TV (bad quality), Refrigerator, Kettle with tea and coffee, Hair dryer, Iron, Safety box, Scale, Toothbrush and small tooth paste, Shower cap, Shaving kit, Schampoo, Conditioner, Body soap. +Free and good Wi-Fi, good enough to stream videos. +Free water bottles. +Nice big pool. +Could borrow outlet adapter from reception. +Good dim sum restaurant around the corner of the hotel, Oversea Hong Kong Dim Sum.  -Bad service from the staff, check-in time was 14:00, but one of our room was not even ready by the time of 16:30. Reception said they was going to come up to the room and give us the other room key but they didnt, we had to",3,-0.0297
"Reading the reviews I realized that people stayed at Orchid club tends to have better service in this hotel...  We stayed 3 nights for normal queen room.    Concierge kindly took our luggages on our arrival. But they were left in lobby few hours.  We went down to pick them up ourselves then were asked us if we wanted them delivered... no way wasting another few hours but took them ourselves.  After we got our luggages back and finally ready to take shower after long journey, we  realized no towels in the room.  Seeing some info of shuttle service available between hotel to KLCC, I asked reception the time schedule and was told available at the concierge then oncierge told a us this service is no longer available.  I am not sure what's right, but there is a nice walkway from",2,0.1424
"Poor service by a rude receptionist called Emilia. A disgrace to Malaysian tourism to have such poorly trained staff. Avoid this place, it has much lower standards than other Park Royal hotels in Singapore.",1,-0.9136
