Review ,Rating,Polarity
"I had an amazing stay! Rooms are spacious, awesome and bed is very comfy. I had a view in my room facing the Petrona Towers, that was fabulous! There is a giant pool that i didn’t get to enjoy, however i enjoyed the gym that is also huge! Staff is very kind and very lovely. Hotel is well located. Walking distance from Petrona Towers!",5,0.9851
"We stayed in the hotel two years ago and were really impressed, but now a little disappointed. The Club level rooms are a little more expensive but we think the quality is worth the extra expense. The rooms are large well appointed with a large comfortable bed, sofa, and desk. The club level has a lounge which is available all day and serves snacks and drinks at the appropriate time of the day. Breakfast can be taken there, although it offers limited choice so many club guests use the main restaurant, and here lies our disappointment. Previously the hotel restaurant was large opulent with a very wide range on international cuisine for breakfast. This has now gone replaced by the Evolution restaurant, which in my opinion does not meet the required standard. Why? It is really a",4,-0.552
"I stayed here for two nights from 28FEB-01MAR2020 and was really frustrated by the experience. Before arriving I was notified in the Marriott Bonvoy app that we had received a suite upgrade. We arrived and it took well over 10 minutes standing at the desk to get checked in. During check-in no one thanked me or otherwise acknowledged my Marriott Ambassador Status...strange. Then we got to our room and realized that it was not a suite. I assumed that there was some kind of computer error that caused the check-in delay and room downgrade so I called the front desk and explained. They apologized and said they would put us in the suite as planned...but that took 35 minutes.  Even though we eventually got into a very nice suite, there were many other problems. The guy who checked us",3,-0.4939
Very good service and nice Hotel. Swimming pool very big and nice pool bar.  Rooms are clean and huge bed.😊 Breakfast 10+ Also gym was good and there was sauna and jacuzzi. It was nice to go relax after training.,5,0.9669
"This is an old hotel, but the rooms have been very nicely and recently updated. My friend and i had a twin room that was spacious, with a lounge and work table. plenty of space for hanging clothes and shelves. wonderful 'block-out' curtains. The bathroom was a good size with large shower and full bath and a large round 'light-up' mirror. The pool is huge with plenty of shade and a large bar area. We had access to the the Club lounge where the staff were lovely. Always happy to greet us and make sure we were comfortable. Easy access location to many things, monorail and free bus service across the road, the lrt (light rail transit) station only 5min walk. The staff certainly made our stay memorable for two Aussie ladies and we would happily recommend this hotel.",5,0.9964
"This is my first time experience check in to Renaissance Hotel Kuala Lumpur. Before this i always check in to Renaissance Hotel JB and i am satisfied with their services. Actually i am quite afraid to check in here at the first place since this hotel was built in 1996 ( Very old hotel ). But when i step inside the hotel lobby, all the feeling totally change. 360 degree. This hotel is really look luxurious with the marble finishing, the chandelier looks very nice and luxury.  For your information, this hotel consists of 2 wings ( East wing and West wing ). But one wing have been closed for renovation and will be opened soon. This hotel has a basement car park ( RM10/day for unlimited in and out ). The car park elevator to the hotel lobby was located at the wing that have been",5,0.7645
"Located at the cross junction of two busy roads in the heart of KL, the warming, dark brown hotel exterior welcomed us into a cool, pleasant hotel lobby with grand marble flooring and hospitable staff. Check-in was quick, and complimentary water infusions were available to quench our thirst. The rooms are clean, comfortable and come with both bath and rain-shower. There are toiletries, 2 bottles of complimentary water,  tea/coffee facilities and a mini-fridge to chill our own food/drinks which we brought back to the hotel during our travels around town. The usual contents in the mini-bar can be made available at the listed hotel prices if we so wished by simply calling down to the front desk using the room phone, similar with the in-room dining facility. One thing to note is",4,0.9702
"The hotel is in a superb location, close to everything worth seeing and close to district that has pubs/bars etc.  All facilities are good, room was spacious and well appointed. All staff polite, cheerful and attentive.  The only downside was the breakfast experience,  a bit of a rugby scrum, too many people in too small a space. Not sure what the hotel could do to rectify it though. All in all a very enjoyable stay.",4,0.9291
"it was a very nice place to stay when visiting Kuala Lumpur. It was closed to Twin Tower and other shopping center, especially trains liked to KL Sentral. Breakfast was nice because there were varieties of choices. Highly recommended!",5,0.8922
"Ideally placed for the MTR and the Petronas Towers this hotel offers everything you need.  Breakfast is great, both western and Asian on offer. The Club breakfast offers a scaled down version, but is equally as good. Rooms have been modernised in one tower - the other was closed under renovation - but this did not effect us. Huge pool, with ample sun loungers and a good selection of drinks on the pool bar menu . Lots of restaurants within 10-15 walk. Great lobby bar for a night cap. Not just a business hotel, good facilities for the leisure traveller.",5,0.9655
"This hotel is not one of the new ones and it definitely feels dated. The typical clientele are not exactly the elegant or fashionable traveller. I had to request a room change as the adjoining room was packed with people, having a huge shout talking festival with Skype on full blast at 11:30 pm. The hotel eventually found me another room. The breakfast is very good and the pool is humongous. The service at the hotel is very kind, personable and efficient. The staff are top shelf. Not sure if I’ll return but if I do, I’ll insist on a non-adjoining room. ",4,0.7955
"I have done 2 other reviews,both of which have not been used. Very old hotel,awful staff on the club floor.The second tower is closed but will open up as a Sheraton hotel in the future,hopefully this will be better.",1,0.5927
"Stayed 5 nights at Renaissance.  The room was fantastic with very good housekeeping. The hotel itself is very well situated, 2 minutes from the city centre.  And finally the food was awesome.  Overall stay A+",5,0.9229
"My husband opted for us to stay at this hotel along with my 2 year old son. The location is brilliant it’s not far from the Petronas towers. We stayed for 10 nights No problems at all I loved the lighting in the bathroom. The room was a generous size. And oh my the king size bed we so miss that! Staff were superb and friendly. We loved the access to the club lounge. It made life easier with a child to be able to have access to food and drink throughout the day. The breakfast buffet had such a huge range of foods, there’s something for everyone. I opted to have breakfast in the club lounge because it was quieter and more relaxing. Overall our stay was very Pleasant and enjoyable.If travelling with children this hotel is a must. They also have a playground with slides and swings",5,0.9829
"Let's start with check in a bit hit and miss which desk to go to especially when lots of people around.  Hotel not spectacular very much same as average 3/4 star lifts wait an age for and at one stage had to wait over 20 minutes for one.  Room clean and tidy good size and bed very comfortable,bathroom clean but took some time to get plug to seal down on its position.  Coffee and tea available but with powder milk would have been nice if fridge had the water in it with some milk.  Went to pool area very tired leaves branches all around the edges sun bed very filthy advise getting 2 towels each so as not to lay on bed.  Pool bar person came and went so again waiting for drinks. Then during night seemingly had a fire alarm in floor below us which set off alarm in our room and",3,-0.7607
"Stay in hotel for one night only. Arrived around 12 and check in without any fuzz , staff at reception seems be well trained,  friendly and willing to go extra miles to anticipate my needs . Hotel from outside looking a bit tired but inside is well kept , clean , easy to move around. I like pool area there with staff serving drinks etc very good .also we check out after 12 and noone chase room giving call from reception what is good habit ( very often when I stay in hotels they troubles you with calls around check out time to vacate room )  Very good experience overall , would recommend and will come back .",5,0.9837
"Renaissance Kuala Lumpur offers a good KLCC location with competitive hotel rates compared with newer five star hotels in the same area. If you are looking for good value for money, this would be a good choice.",4,0.8957
"Stayed two nights, very good location. Close to monorail, twin towers and most of the shopping malls and areas.  Staff is very helpful and kind. Food is amazing, very delicious. Swimming pool is good to relax, there is smoking area with wide space next to swimming pool hence no need to go out all the time. Room is very elegant and very comfortable, spacious. ",5,0.9828
"Hotel staff is friendly, checkin and out was fast. Rooms are nice and clean. Parking for guest is available. The hotel has a huge pool plus a baby pool which is great. 15mins walk to KLCC &amp; just 5mins walk to eat at Nasi Khandar(local food).  Overall, a nice relaxing stay with alot of movie channels on the tv.  ",4,0.9643
"We spent 6 nights in the hotel staying on the R Club floor. From the check in until our departure the service was excellent with friendly and helpful staff everywhere. The lounge was very good with good breakfasts, afternoon snacks and an newly extended cocktail period with different and interesting  food each evening. An excellent gym, great pool and hot hammam and sauna there was never much need to leave. Special mention of Lillian Tan the Executive Housekeeper and Mahin who makes great cocktails tweaked to order. We are looking forward to staying there again. ",5,0.9863
"The hotel rooms were amazing and actually really value for money! Such gorgeous rooms, plus an incredible location! A super short walk to the Petronas towers! Also, the breakfast buffet is superb! So much choice! My colleagues and I were raving about the breakfast buffet! Amazing!",5,0.9763
I was going to stay a week ended up with 2 nights. Hotel was not that great. Very noisy even with my room on the executive level floor. Part of the hotel is still closed for renovation. Breakfast downstairs was not good. Gym was fine but the men's locker room is old and needs updated. I was not happy with this hotel and checked out. I went to the le Meridien which was truly a great hotel.,2,-0.8193
"We stayed here for 3 nights on the club level.  Our room was spacious and spotless with a large bathroom and a fabulous light all around the mirror, great for make up and hair, Lighting in rest of room could have been a little brighter but that is the only negative comment I have.  This hotel has a lovely pool with plenty of loungers and a pool bar and cafe serving good food at reasonable prices. The club restaurant was lovely, food excellent and drinks were great. We had to check out of our room on last day at 12 midday but were allowed to stay and use all facilities until we set off for the airport at 8pm.  We would definitely stay here again",5,0.9847
"Thanks for providing excellent service. Staff members are lovely. Hotel room was clean. Toiletries were always perfectly reloaded. Breakfast is unbelievable delicious. Japanese -Chinese -Indian -Malaysian and European -American people feel like home. Everyone can find their favorite dishes, big variety and the vaitors are happy to help. Coffee is unforgettable. Loved so much this place.",5,0.9896
"Had a good stay experience. Was upgraded to club floor but sadly can't get my kids to join us for the breakfast.  Still thinking till now why all YTL hotels charge parking to their guests. Can't the hotel absorb the parking costs for hotel guests?  Rooms are clean and neat. Food was good. Staffs were friendly except there was one cook/chef at the club floor who only talked, greeted and smile to foreign guests and not local guests. Very sad with this kind of attitude.",4,0.9521
"We recently had our son's wedding at the Grand Ballroom on 28 December 2019 and everything was handle and conducted in such a professional manner with exceptional service. Our stay there was also an excellent experience, the staff were so  helpful and accommodating. Nothing was too difficult, from the ongoing correspondence, communication throughout the year to the meetings, food, hotel stay and ambience together with the warm and friendly hospitality provided by all. Special mention to Banu (Sales Manager), Wen Xin (Assist Event Manager), Bala (Banquet Manager) to Dimitra (Club Manager) and everyone who made our stay an excellent experience - Thank you. The location was also fantastic being in the heart of KL and convenient to lots of different sights and train services to",5,0.9818
"We loved everything about this hotel! We arrived very tired after an 18 hour journey to be given an early check-in and greeted warmly with a smile. We opted for Club access and enjoyed all the benefits that come with it. The rooms are clean, well serviced and comfortable. The staff are friendly, attentive and good at what they do. Breakfast and all other meals are fantastic! The pool is great too! Great location opposite the monorail, green line free bus service to major KL city spots and walking distance to Suria KLCC shopping and a two km walk to the Pavilion. Opposite the hotel is the Malaysia Tourism Centre for trip ideas as well. Love this place and we really appreciated the staff. We will be back! ",5,0.9946
Location. Is terrific!  Breakfast buffet can’t be beat!  The hotel assigns two people to clean your room.    Each takes their shoes off at the door when they clean your room.  The one introduced himself and said “I’m your room attendant and am here to look after you.”  Wow!! What pride!  What service!!,5,0.942
"They were run out of rooms when I checked in (which I booked 6 months ago and already paid), a bit upset upon hearing that.  Thankfully one room was still available ""The Royal Suite"", the top suite in Renaissance KL. So I did get a dreamy free-upgrade, and ended up in a Two-Room+Living Room+Study+Kitchen luxurious suite.   The breakfast in the club lounge was okay.  Overall, it was an unforgettable bittersweet travelling memory staying here cuz I've never met one hotel didn't keep my room I already paid for.  * Blog &amp; FB Page : 席克偉 Foodie Chicvé * IG @chicve02",4,0.3818
"I stayed at Renaissance KL for a week and l had a wonderful experience here. Staff were very professional, helpful and everyone made me feel very welcome. The room was modern, clean, spacious and had all the necessities l needed throughout my stay there. The hotel is located in a perfect spot, which was really convenient. I also would like to thank Meor, who works at the Club Lounge. He made my stay extra special - what a brilliant and friendly man! I cannot wait to be back.",5,0.9841
"Staff is very friendly, rooms are clean and nice and not too small, but might be noisy if you are on a lower floor. Breakfast is not bad, either. However, while there is nothing really to complain about, compared with similar hotels in the same area, you simply get less for your money.",3,0.7842
"The hotel is still under going renovation which meant one of the towers was closed, not sure if this is a permanent thing but we had booked some time ago so were expecting more restaurants and bars.  We were not told this before we arrived or when we checked in  There was also a lack of atmosphere, the bar closed very early and the bar which was meant to be open later was never open.  The pool was also the same nothing going on!  Breakfast was mental if you weren’t there within 30 minutes of service started there were crazy queues, thankfully we had not pre-paid breakfast so went out instead.  We booked a suite which was a fantastic room, really clean and great value for money.  The food was good, just don’t order the steak, was good value for money, wine was very expensive, the",3,0.9823
"I stayed 4 nights in this hotel and it was my second time. The hotel is within a close walk (5 mins) from the Petronas Towers and KLCC Mall and within 1 min from the skytrain/metro. Also this hotel is close (short walk) to many bars and restaurants for in the evening. The rooms are spacious, the bathrooms are big too. The service is good, the rooms have everything one could expect from a 4-5 star hotel. For european standards I would rather say this hotel is a good 4 star hotel, but not a 5 star hotel. Which is OK, because the price is also not really a 5 star price. The hotel has a large pool. Note that due to the many high rise buildings you do not get much sun at the pool. The hotel has a very nice bar for the evening and also they have a tennis court and an above average",4,0.8988
