Review ,Rating,Polarity
"I always travel alone to KL and for me it worth the price. I pay less than MYR100 for one night. The staffs also friendly. It is located near to the KL sentral. Plus, there are so many restaurants located in this area.",4,0.4019
"This hotel is just walking distance to the KL Sentral station which is perfect is you will be going around Kuala Lumpur. NU Sentral Mall is in the same location which is very convenient. Across the hotel are some restaurants serving good food and coffee that are just right in the budget.  The hotel amenities are basic but really good value for the money especially for budget-conscious traveler like me. We also availed the free breakfast which they serve at the 5th floor. The hotel staff are not very friendly, except for the young man who cleaned our room every day [we stayed at the 12th floor]. He was the only one who was courteous and smiling.  There's a water refilling machine near the elevator, and also an iron. Our room was clean, no complaints at all.  I can say that this",5,0.9692
"For it's price, this hotel sure surpasses any notions we would have had about it before going. Nothing fancy, but basics at its best. Very clean with very helpful staff. Excellent location smack in the middle of KL city, within short walking distance to KL Sentral (KL's main transportation hub) and NuSentral mall where one can satiate one's shopping desires, watch movies, good eateries etc. It's also located near KL's Little India (Brickfields) where you can find good Indian food eateries and Indian costumes, jewellery etc. Would definitely recommend for those on a budget, as its well worth every cent.",5,0.9915
I would not recommend this hotel to any one. Staff are very rude. Also the hotel is not clean at all. I wouldn't recommend to any one else. Better to check NU hotel which is opposite to it which looks very good.,1,-0.3975
"Please train your young male receptionist who is rude and doest have customer-oriented attitude at all. Train him to give respect to guests. We arrive at 3 PM but we got our rooms almost at 5 PM. The reason given was guests checking out late and they are paying the late fees. No bottled water in the room. Guest have to get filtered water from the dispenser way out in the corridor. Insects crawling in the room, maybe it is a norm in this hotel. There is an ironing board and iron available at a corridor. Carpets are very old and torn. I don't recommend this hotel for a family stay, there are better options available nearby this hotel.",2,-0.4235
"Good Location, OK rooms, Cockroach, Rooms are old hence check the doors sometimes it does not open, no bar, no restaurant, Male receptionist is very rude. If you want to spend only night sleeping then good hotel.",3,0.8184
"We were family of 3 (including 1 child) and stayed in this hotel for 6 hours and here is the findings - there were cockroaches in the bathroom, no hot water to take bath - when complaint to reception and house keeping atleast 8-10 times - they dint even made any effort to support. Breakfast was extra ordinary.. just dont recommend this for family stay",1,-0.4234
 Good room with good wifi range but no toothpaste n toothbrush because we expected that they’d have it for us. But It was fine because there was a mark 7-Eleven in front of our hotel and we just bought it from that,4,0.3182
"Greeted by the rudest young male  receptionist Ive ever encountered. Spoken to like dirt. Zero eye contact. He knows who he is with the dark framed glasses. Room given stunk of smoke on smoking floor even though my booking stated non smoking. TV channels useless. No bottled water with a filtered water dispenser way  out in the corridor. Cheap! A crawling insect that you might normally find in a dirty kitchen was running up our bathroom wall in the morning. But it was the staff rudeness that annoyed me the most. If you dont like your job, find a new one. Dont take it out on paying guests.",1,-0.9286
"Only great thing about it is the location, near to KL Sentral and the monorail station. Hotel is starting to show its age. I stayed in a Deluxe Room but it didn't feel any more special than a Superior Room. Air conditioning is centralized, and was weak indeed: adjusting the control dials didn't improve things. Give the TV a miss - mostly local channels, which isn't many to begin with. Surprisingly the safe was missing from my room.  Breakfast will be filling enough if you don't set 4 or 5-star expectations. The following items feature every day: fried rice, fried noodles, fresh fruit, frankfurters (chicken),  rice congee, noodles with soup, bread/toast, cereals (I swear the milk on offer had been diluted with water!). On different days, the following might feature: roti canai,",3,0.8914
