Review ,Rating,Polarity
"We have stayed at the Shangri-La in Kuala Lumpur, so we knew what to expect.  I find it one  of the best value hotels, as the Horizon Club rooms and the suites are great value.  We splurged on a suite for the stay this time.  The suite was nice, but they are definitely starting to show their age in some areas.  The staff as usual were excellent, as they went out of their way to do as much as they could to help us.  The pool area was crowded, but you could find a place at most times of the day.  The only thing that really let us down was the Horizon Club Lounge.  We were travelling at Christmas, so we knew it would be busy, but we did not expect it to be almost unusable at times.  It was so crowded they had to start using the Japanese resturant, and even then, there was a wait",4,0.9666
"My friend and I travelled to Singapore, Kuala Lumpur and Ho Chi Minh City to celebrate my 50th birthday. It was my birthday on the day we arrived at Shangri La KL.  We had booked a Horizen Club room, so up to the first floor where you are treated like a VIP.  No hanging around in a queue to check in, sit down be served a very welcome drink, and relax. Staff came to us when they were ready for us to check in. It was all very civilised. We were given the option to upgrade to a suite each, yes EACH! which of course we accepted. After all it was my 50th birthday. Our bags were taken to our room and although tipping won't hurt, no one was loitering waiting for one.  The room, err sorry, suite, was beautiful, as expected, with a spectacular view of the city and spotlessly clean.",5,0.9872
"A classic Shangri-La. First steps open a wonderful lobby. Room was nice with fresh exotic fruits and water service. Well located, only five minutes to KLCC and Twin towers. Bathroom is ok, unfortunately not enough space for own stuff.  Breakfast has a good choice but staff is making to much pressure in the last hour so you don't feel really cozy.  We tried also the Japanese restaurant in the hotel which offered us a delicious menu. Reception and welcome was nice but could be a little more enthusiastic towards guest wishes. All in all a trustful Shangri-La experience.",5,0.9812
"This was my second trip to Kuala Lumpur, and I absolutely wanted to stay at Shangri-La again.  The rooms and facilities are wonderful, the staff are all extremely friendly, helpful, and welcoming, and Shangri-La has the best buffet breakfasts and dinners of any hotel I've ever stayed!  For me, the location is perfect, close to the city's main attractions, and an easy walk to a convenient rail station, places to eat, shop, and fun nightlife.",5,0.984
"Good location, friendly staff, typical Shangri-La hospitality. The room was of a good size, quiet, and clean. The pool was rather small but still grand. Lovely breakfast. Overall it’s good, good value for money!",5,0.9801
"The room itself are nice, friendly staff and great location! They have few restaurants, i tried the Japanese one, so delicious! The Gym are also great, the equipment seems nice and work well.   Will come back! ",5,0.9769
Great hotel with everything details  Clean  Luxury  Friendly staff Always my first choice  And i can say better then four seance hotel  The food is amazing and the breakfast is perfect as The first meal of your day  Location is great as well less than 5 min walk to petronas  towers KLCC,5,0.979
"I am currently staying in hotel and leave on Monday. The hotel is very nice and  what you would expect from a Shangri La. But check in yesterday was poor. We checked in. The lady was sharp and barked out requests. There was no pleasant welcome. Fill this form in etc.. She informed me that check in was not till later. I knew this already because if she had checked she would have seen by request for early check in. She then said she had an Horizon room which came with tea and coffee in lounge. She gave me a form to sign. Before i signed this i asked her if there was any charge. She said yes and then told me how much. I declined. She then managed to find a room. Appauling. For Shangri la to do this, also with hotel very quiet and as golden circle member is very poor. It is our",4,0.5413
"The best of the best, the Horizon floors are just fantastic. The service is second to none, the location fantastic within shouting distance of the KL towers, the food is great with a choice of restaurants and swimming in the pool looking at the towers with 30 degree heat is an experience to behold esp coming from the UK after a 12 hour flight.",5,0.967
"Our go-to hotel when we fly via Kuala Lumpur and it never disappoints. We treat ourselves to a suite which gives us access to the Horizon Club, including breakfast, afternoon tea and happy hour.  Our first visit in over six years and the hotel is as glorious as always - cool, calm and spotlessly clean.  I couldn't imagine staying anywhere else.",5,0.934
