Review ,Rating,Polarity
"Stayed 4 nights at the Sofitel Kuala Lumpur Damansara with my family and it was one of the best five star hotels we stayed at and we had a wonderful and enjoyable experience throughout our stay. Second time staying at this property and I enjoyed it even better than the first.  The  Prestige Suite is cozy and comfortable.  Comfy bed and duvet blanket. One thing the hotel might want to take note is that it might be time to change the pillows in the room as they are too soft. The pillows are too soft to my liking, it sank in after a while.  I called for a couple of foam or latex pillows but the ones delivered were definitely not what we asked for since they were the same as the ones we had. Although you could ask for a firm form pillow, I preferred the memory foam ones. Keep it up.",4,0.9403
"Second time staying at this property and I enjoyed it even better than the first.  I booked a Junior Suite during the black Friday sale last year, and stayed for 2 nights in March (8-10). Check in was done at the club lounge, and as I arrived late, hors d'oeuvres have began and I got to enjoy it before heading to my room.   I have to say that I enjoy every minute at the club lounge as the staff were very attentive. Special shout out to Srikanth who spoiled us with all the delectable treats in the evening. Breakfast also had ala carte menu, loved the waffles and nasi goreng as well.   Kwee Zeen also boasts an extensive buffet, however due to the ongoing situation I can see that guest numbers have dropped significantly.  My room had no faults, everything worked perfectly as",5,0.9761
"Checked in late evening one day, all went smoothly and breakfast spot is informed clearly as well.   The rooms are spacious and THE BEDS are amazing. One of the best beds we had among our hotel stays. Shower is spacious, large bathtubs. Speedy wifi (free) across all areas too.   Had a tour of the hotel a little bit however had no time for the spa and bar at Nizza's. Maybe next time. Ambience at the bar outside is pretty chill too.   Service is great across reception to the restaurants and concierge, always welcoming and smiling. Hope to return soon and will definitely recommend.",5,0.9847
"After reviewed several Tripadvisor comments, My girl friend and I decided to choose Sofitel Kuala Lumpur to celebrate our anniversary journey.  Receptionist ( Raj ) assisted us to check-in, he was professional, friendly and helpful.  Our room was amazing with anniversary set up which prepared by Excellent Guest Experience Team - ( Clemence, Pierre, Marleen and Juidi ). We love it very much. Thank you for given us a unforgettable memories.  Room was spacious and design was great, we love the bathtub very much. The bed and the sofa chair were comfortable. Hotel location was good and you could take the ‘Grab’ to anywhere with reasonable price. The Gym room and swimming pool were located on 3/F.  We had the breakfast and dinner buffet on 13/Mar, food quality was good. Tips: if u",5,0.993
"I fell in love with Kweezen esp with their Sunday brunch. Recently, I had the privilege to be invited for their Ramadhan preview. One word. Delicious. Plus friendly staff and great ambiance. At an affordable price too. ",5,0.9565
"I checked in around 23.30 on March 12th in Sofitel and next morning i went down to the Kwee Zeen restaurant 10.20 which gonna be closed soon. I came inside and one staff (Mr. Rizdwan) i forget sorry:( offering me something to drink, i order chamomile tea and he brought it for me. When I took some fruits, other staff (girl) said sorry because they gonna close soon and maybe if i wanna take some other foods, i said it's okay i am the one who came late. While i was eating, before they close the buffet, Mr. Rizdwan came to me and offered me his help if i want something else. I said it's okay i am good with nasi lemak and fruits that i ate. Then after couple of minutes, suddenly he came again and he brought a small paper bag and i got surprised 😁 he said ""this one is for you Miss,",5,0.7783
"Visiting the hotel for the 3rd time, I got out of the taxi and was immediately recognized by Vasu. What a brilliant and warm welcome.   Also every encounter the following days with all the staff was very friendly, starting from Nurul at the reception to Shraddha at the lounge to name only two of many.   Summarizing: Rooms: 10 out of 10 Food: 10 out of 10 Friendlyness: 12 out of 10  You don't believe me? Go and try it - you will not be disappointed. It's indeed a great place and I am Looking very much forward being there soon again.",5,0.9574
A great business hotel - probably not the right area to stay in KL if on holiday but very handy for the nearby offices.  Everything was a very high standard from the room decoration and furnishing to the breakfasts.  Minor complaints: low water pressure in the bathroom and some smell from the drains.  Hugely impressive: the quality of the food server in the third floor poolside bar and restaurant. They served some food which was genuinely truly top class.,5,0.7461
"Got an upgrade from luxury to junior suite. The room was spacious and modern, comfortable bed and pillows also a big bathtub. All the amenities provided here is great. Also would like to mention one of your staff Mr. Azman serve us very well and feel very welcoming, great service! Will definitely return back to this hotel 😄",5,0.9705
"Wonderful drink at evening cocktails , specially by bar tender not new anymore ms Isha . Also miss Nurul handling my check in and trying to give me the best room . Very friendly staffs Emma and Germaine with their happy face and their hard work to get things run well in the lounge . Sure will come back again .  Just a little comment on the room , there is a bad carpet smell and I changed my room twice .  Thanks and will come back again",4,0.9509
