Review ,Rating,Polarity
"Ideal location on Jalan Ampang, nice breakfast and a great one and two-bedroom apartments with all amenities including washing machine, microwave and other basic appliances.  A rooftop pool, gym and a lounge of the top floor offers a comfortable environment and great views.",5,0.9612
"We stayed here as a family for four nights as part of our trip to Kuala Lumpur. The hotel was well appointed. We stayed in an apartment styled room, which had two separate bedrooms a living area, two bathrooms and a kitchen. This included a washer, microwave and a large fridge. The pool on the top floor was very pleasant and never very busy. It had wonderful views which looked fantastic at night. Late night swims is a must. The pool closed at 11 pm  Breakfast was served next door to the hotel, but  this was easily to get to. On the whole it was basic and a fairly interesting experience. Nonetheless not a problem, fresh omelettes were made on request and they were very nice. Breakfast was not the hotels strongest point.  The situation of the hotel was satisfactory it was a short",5,0.96
"It was an amazing stay we had. Maybe because of the COVID-19 and being low season, we were given an upgrade on the room when we checked-in. Room was comfortable and clean and spacious. Would definitely come back. ",5,0.886
"Overall is ok, also very convenient that Soul Out is just few step of walk. But parking fees for hotel guess RM10 per entry was too pricey, compare to before parking was complimentary, RM10 per entry is too over. Some hotel that use parking own by shopping mall, only need to pay for parking is just RM5 per entry. ",3,0.5719
"Excellent Hotel. Loved the facilities. Loved the pool, gym and resident's lounge. Loved that we can use the pool until 11.00pm. My only complaint is your front desk personnel by the name of Siti. She needs to be more friendlier to guests . A smile doesn't hurt. Train your staff to be more welcoming.. If she can't do that,put her as a backroom staff instead of at the counter. I'm staying at the hotel again soon. i do hope i don't see her at the reception counter anymore. ",4,0.9768
"Highly recommended, make use Of the ASR discount to get competitive room rates. Staff are generally helpful. Free shuttle to Twin Towers, China Town and Sentral Station. Roof top pool and gym is a great plus. Linc supermarket and eatery is 2 mins walk. ",4,0.9299
"city center . near to KLCC , near to pavilion .  easy parking but need to add rm10 per overnight . there is bar located att G floor. however  , i am litte bit dissapointed regarding the parking space, need to add rm10 per overnight to the receiptionist upon check out . hotel should prvide free parking for the guest  ",4,0.7506
"I always like this hotel but it was  a little bit disappointed when the hotel recently implemented car park charges to the hotel guest. other than that, it was all okay. Food was average. Room very spacious. The toilet was the best of all.",4,0.545
"I came here for Thai visa application. The residence is stone throw from the Thai embassy. It is close to the Linc, a chill complex with good coffee and plenty of restaurants. Convenient distance to the city center. Spacious room. Adequate gym room. ",5,0.5859
"Great rooms, all fine, but noise from 2 construction sites next to hotel can be disturbing during daytime, especially when visiting the rooftop pool. Without that the hotel would get a perfect 10. Pool is huge but sunbeds can become rare at times",4,0.7579
"The Best feature of this Apart Hotel is surely the Rooftop. Situated on the 22nd Floor, one can have a great view if the city while relaxing by the pool. The rooms are okay but could be more aerated. The restaurant SouledOut is a must try",4,0.8248
"Large, modern apartment with great shower and good large bed. Friendly staff who brought us extra toiletries as needed and room service (although the food wasn’t great quality). Great views over KL at night and would be happy to stay there again, though it lacks the character of some boutique spaces. ",4,0.9723
"The room&amp;view, perfect! Rooftop pool super cool view. Check in/out smooth-well trained staff. Parking very convenient with RM10-per entry for in house guest. Grab Pick/Drop off was easy too-great location. Close to KLCC&amp;TREC.",5,0.92
Loved the hospitality (front counter) and the room (got a free upgrade).  Strategically placed and most importantly it has value for money! Recommended for sure. Easy to book a Grab as well which makes travelling a convenient matter. Would suggest one thing which is to improve the breakfast buffet options.,5,0.9705
"Great hotel in an excellent location right in the centre of Kuala Lumpur. .apartments very modern, spacious and clean with an excellent roof top infinity pool and beautiful vie w!would definitely recommend this hotel.",5,0.9761
Very fast check in and were also upgraded. Nice clean and very spacious apartment. Roof top swimming pool . Would come back as very convenient to the centre. 12 min walk to the Petrona twin towers and the malls .,5,0.743
"The hotel is clean and well presented. Modern and stylish. Rooftop pool offers views of the city, the gym is well equipt, the guest lounge is comfortable. The breakfast had an excellent variety of options. Room was spacious and light with big windows and the view from the bathtub kept me in the bath until my toes went wrinkly!",5,0.9215
