Review ,Rating,Polarity
"Decided a quick 1 night stay at St Regis Kuala Lumpur this month (March 2020) and it turned out to be the best decision.  Having previously stayed at St Regis Langkawi, my expectations were sky high. I received an email from Ms Sally Choo a few days prior to my stay, and I appreciated that. Many hotels don't do this anymore, which is a shame. She checked in to see if I have any requests and preferences to make my stay more comfortable.  Upon arrival, no one opened the main door for me, which took me by surprise. Fortunately, this didn't happen for subsequent entries and exits   I was upgraded to a Grand Deluxe Double on the 20th floor, with sweeping views of the city skyline with huge top to bottom windows. My butler Wei Lung came into my room to give a tour of the room",5,0.9324
"Pros: Staff are warm and helpful. Butler service is commendable and service always with a smile. Good location. Breakfast spread is generous and really high quality. Watch the sunset or catch a sports game live from the pool area, nice space. The cigar lounge is also another warm space for meeting with friends.   Cons: One obnoxious fella at the front desk. Pls keep to formalities, at best cheeky, at worst a bit like harassment. I asked for a box for packing and butler came with a somewhat poorly assembled, overused box. I appreciate the effort but I’m sure a brand like St Regis can produce a better quality box? Make an earnest attempt or offer a paid service - needed something reliable which will not fall apart in cargo.",5,0.974
"Birthday spa and boozy lunch at The Brasserie. The spa was perfect, as always. Lunch was delicious and service was efficient. The wine list is always interesting. A regular for us, and we'll certainly be back.",5,0.936
"A short stop to st regis for an afternoon snacks with my family on last weekend was something to be remembered. St regis kl is a stop with my family every now and now and then, beautiful decors with a large horse located at the lobby lounge was suprisingly huge. Sweets on the 3 stands was like a music to my palette as i am a sweeth tooth person and my husband and my mum loved the sandwiches served every time the service staff bring it to table.  An highlight to this dining place was ema the manager and her staff constantly stopping by to our table to make sure we are well taken care of, and no doubt they went above and beyond  with every  guests. Ema truly an asset repersenting st regis, her effortless smile and care shown to her guest is an example of how hotelier should be and",5,0.9783
"I have stayed at a few St Regis properties in Asia and the St Regis in KL keeps the reputation of this brand in tact.  The space is large and furnishing feels luxurious. As a Titanium Elite member, I was upgraded to the St Regis suite which was very comfortable and beautiful. There was a spa room in the suite and a wonderful bathroom that was fitted with floor to ceiling automatic curtains. I was also very impressed with the breakfast and prompt butler service and would definitely return to stay.  Thank you to Lucas and Stephanie for providing a good check-in experience, and my butler Vicky who took good care to make sure my stay was an enjoyable one. Appreciate the little touches and the chocolates at turn-down service! ",5,0.9884
"We stayed there for 10 days and really enjoyed the hotel. The pool and gym are very nice. The service is very detailed. Location wise it is quiet, and close to the central train station. Very convenient. It is just that there are very few good restaurants nearby. So you need to drive out for almost all activities. ",5,0.9221
"Just spent my Bday long weekend at St R.  Had a delightful &amp; memorable stay; staff was warm &amp; friendly generally, yummy breakfast (recommend the truffle omlette) and good-sized pool as well. As a gold elite member, Raj kindly arranged for a complimentary upgrade and decked out the room with “birthday” decos plus cake etc..  Many thanks! Special mention to Sally who looked after us during our stay. Highly recommended, St R standard.",5,0.9787
"My stay at St Regis KL was a brilliant one...the room service, the front desk as well as the butler attentiveness.But the game changer was Balvinder. He is the ambassador for St Regis front door. Meeting and greeting with a broad smile, he immediately put us at ease. He gave all the best advice for places to eat and get this... he even gave detailed opinions on places of interest and food...and helped arrange hotel transportation. His sincere care, gentleness and impeccable etiquette are exemplary of the St Regis Hotel brand. I have stayed at many of the St Regis hotels worldwide, and Balvinder has greatly contributed to making St Regis KL one of my favourite holiday destinations. Who would have thought that KL could be a place to go to relax and unwind... well, with the lovely",5,0.9883
My husband and I traveled to KL for the first few days of our Asian vacation. We were greeted with beautiful balloon bouquet and a yummy cake. We celebrate little things like anniversary of meeting and this 27. Natasha our customer service manager out did herself!  The hotel has impeccable service. We stayed in the Caroline Astor suite and what a treat. On Friday the hotel had a fun event at the pool and Crystal Bar- Tacos and Tequila. The St. Regis is well situated near the KL Sentral Station and the NU Mall.  While in KL this is the place to stay. ,5,0.9709
"A couple of weeks ago , we came to celebrate my brother - in laws post wedding celebrations for the iconic St Regis afternoon tea and i was thoroughly impressed! to start with the savory bites were bursting with flavour , especially the salmon tart and we were all thinking for seconds, thirds and fourths.  The desserts were some of the most delicious ones ive tasted to date. These inventive recipes were truly a  treat. Spending most of my life in England , I know a good scone and clotted cream and these scones were pretty close to perfection.  What stood out even more than the food was the hospitality that we received , Miss Emma to be precise and her team went above and beyond to ensure the event was fully catered for dietary requirements and made us feel relaxed and at ease ,",5,0.9867
