Review ,Rating,Polarity
"This was an extended stay for me (2 months) and the staff and amenities were just right, I could not have asked for more! You tend to build relationships since you are there for a while and it felt like a small community! Thank you (Yvonne, Denise, Elino, Faz, Christina, Vennie, Kayee, Elmir, Alice, Yan Kay, Evan) I appreciate what you do and how you do it, very strong team! The hotel is located right across a huge mall with many places to eat. It was my home away from home, definitely recommend this location for any type of stay.",5,0.9563
Located across from the large Pavillion shopping mall and situated on the main high street.  Can walk to Petronas towers from Pavillion via enclosed Sky Bridge . Good buffet breakfast if you have included and large lounge if you have access. A short walk the the subway so the rest of KL is not far. Many restaurants to choose from nearby.,4,0.4404
"Staying at Westin KL in March just before the lockdown in Malaysia. The services and staff were excellent, esp I was upgraded to the Westin Residence n there were good signage of how to protect yourself amid d Covid 19. The services showed by your staff, esp Mr Ong Boon Yew was beyond the ordinary that made the stay was memorable n comfortable with the extra miles given to ensure the stay was a great experienced by itself. Definitely a 6 stars comfort",5,0.9732
"We recently had a 3 night stay at the Westin KL. Location is great, being directly opposite Pavilion Mall and in the heart of bustling Bukit Bintang. Plenty to do an see around this area, shopping, restaurants and cafes etc. We had a suite which was large and very well appointed. Being a Marriott Platinum Elite member we also had access to the executive lounge which was superb. Staff are first class and our stay could not have been better. Highly recommended this hotel. ",5,0.8828
Check in and check out was smooth. They could provide me earlier check in. My plan was for 3 nights stay. But i have to check out 1 day earlier for corvit 19. They have refunded my one night payment. Staffs are very supportive and always ready to help. Breakfast was varieties of choices. My suit was on 32nd floor. It was spacious with separate living room. View from the room was amazing. Some electrical switches should be replaced in the room. I was at room # 3207. The electrical socket for hairdryer was in loose contact. Which might be dangerous. Otherwise i really appreciate everything of the hotel. I will definitely recommend this hotel and come back again.,5,0.9229
Thanks for the great service during my short stay (2D1N). Great birthday  cake provided. Kids are really enjoy it. And specially thanks for Yan Kay for her great hospitality. Will hunt for more in near future.,5,0.9705
"I have stayed in Westin KL during the peak of KL Fashion Week for the past 2 years. Many would say that the rooms look dated but for me, they are spacious and comfy. The rooms and hotel service did their job in providing me with what I needed. The hotel facilities are great too. The proximity to Pavilion KL shopping mall is amazing. I just walk a few steps and I've reached the mall! For those who are afraid to walk under the sun or even the rain, you might want to consider this hotel in case the JW Marriot KL is a bit too much for your budget. ",4,0.9622
"We had been to KL many times but this was our first visit to the Westin.  The hotel was lovely and in a great location right across the road from Pavilion Mall.  The staff were all very welcoming, helpful and friendly.  In particular the staff in the Club Lounge were extremely courteous, hospitable and friendly",5,0.9889
Have stayed here for 3 nights on my way to Malaysian islands. There was a little misunderstanding about my card payment while checked in but overall had Wonderfull stay in this hotel. Specially like bed!!!! It was absolutely amazing. The food super ! Staffs are very polite. Location of this hotel was the superb one !! So will be back for sure! ,4,0.9782
"Great hospitality &amp; friendly staffs at the hotel. The rooms are spacious &amp; luxurious. Amazing facilities at Kids Club is one of the main reason we chose to stay here. Cozy and fun with caring caretakers, Shima &amp; Farah are excellent babysitters to our kids. They love to play with kids &amp; our kids love their time there. We would personally like to mention the staffs at The Living Room, Kathryn, Nadya, Shima &amp; Parlan for their hospitality &amp; always accomodating our requests. We are definitely coming back. Highly recommended!",5,0.9904
"It's hard to beat the location of the hotel- it is right in middle of Bukit Bintang and across from the Pavilion.  The staff is friendly and the room is spacious. But the main reason I chose this hotel was its fitness facilities- gym has good number of cardio equipment and weight machines. And also dumbbells and space to do functional training too. With a small fee, you can rent shoes and workout clothes.",5,0.7845
"Malaysia is indeed a beautiful country, but as far as hospitality and service are concerned, there can be significant variations deoending on where you go. The Westin in Kuala Lumpur (Bukit Bitang) is a hotel that I can wholeheartedly recommend for outstanding service and amazing hospitality. I would like to mention staff such as Radha in the Cafe/Buffet area who remembered how I (and my wife and 2 other friends) enjoyed their coffee (without even asking for one first thing in the morning). Halim (Head Chef) took absolute delight in finding out exactly how we liked our food and found ways to escalate our taste buds to never visited before highs. Emmy (Gym) was full of enthusiasm in helping every one of my workouts be an amazing result - even if it was to create room for the",5,0.9945
"Amazing facilities especially for kids. Clean and comfortable &amp; lovely caretakers. Shima was an excellent babysitter, she has an amazing charisma towards kids. Love the play area and the overall experience. ",5,0.9817
"Westin @Bukit Bintang is located in the middle of downtown KL - the free GoKL bus stop is less than 20 mtrs from the entrance, and the grand Pavilion KL is just across the road. Plus you've the multiple LRT/ monorail station within a quick walk, for farther off distances.  The hotel itself is massive, and since we were here to celebrate our first anniversary, they gave us an upgrade to a room on the 29th floor. The breakfast spread is spectacular and on our entry into the room, we were also surprised to find a celebratory cake as a token from the management. In-room dining options are fantastic, bathroom is very luxurious and has a bathtub in most rooms. The city view from the top floors are terrific! All in all, for the price (pro tip - check Marriott member rates first!) this",5,0.957
"The Westin is the best hotel in Kuala Lumpur because of the excellent service from Westin staff. I'm really appreciate excellent service from Rique Duty Manager who make my trip memorable. I'm really recommending this hotel to frequent travellers, businessman and family because of Marriott's recognition. The Westin is like my second home when I'm coming to Kuala Lumpur and I really like the new one bedroom residence after refurbish. Special thanks to new General Manager Mr Greg under his leadership. I'm really recommending this hotel because it's strategic location and it's very near to shopping mall(Pavillion) and fancy restaurants. Keep up the excellent service Rique Duty Manager, Tengku Imran front desk officer and Club Manager Mr Said and his teams Elino and Odie and the",5,0.9816
"It's located across from one of the large shopping malls. A short walk from Petronas towers. Price performance for the hotel was good. A good bit cheaper than the JW next door and still a very nice room. Best part was a fantastic breakfast buffet in the morning. One of the best I'd had in a long while with a very wide selection. Some local food, Indian food, good range of fruits and baked goods. Coffee was good,   Take the train into town, getting off at the central station, then it's a relatively short taxi ride in. Enjoyed the lounge for after dinner drinks and relax. Best thing was the location. A short walk the the subway so the rest of KL is not far. Many restaurants to choose from nearby.   Views were obscured by other buildings. The central part of the hotel on my floor",4,0.9912
"The hotel is right smack in the shopping belt. It has a decent Gym, but what sets it apart is the exceptional personalised hospitality. Special thank you to Bosco and team for the great hospitality rendered at the Lounge.",5,0.9253
"Attended a wedding event at the outlet and the organization of the event was well executed by the staff of Five Senses.I was impressed by the service rended by the crew and even when they were short handed in numbers they carried the excellent service that Westin is known for.Thank you Rachael,Ashma,Nikesh,Nina,Azhar,a Malay guy I forgot his name and Prabu.Well done guys!",5,0.8478
"Another year, another stay at Westin KL.  Service at this hotel is superb, located opposite the Pavilion &amp; best street shopping in KL. Club Room Cocktails offered drinks and dinner that feel like full board dinner - hot local dishes, soups, salads &amp; more.  Patrons so enthused by the drinks, food in abundance. Staff in attendance and so chatty.  Greg the General Manager is on the floor every day greeting guests. He is amazing. “Said” the club manager, the face of the Club room encouraging patrons to dinIng. We love you Said” and we shall keep coming.  We met “Basco” first time in club room always refilling our drinks and teas, was so good, so passionate.  Food at Westin KL has dishes that vary each day. Buffet breakfast with multi stations of Malaysian, Indian, Japanese, &amp;",5,0.99
"This was a return visit to the Westin Hotel after many years! As business and indeed pleasure will now again bring me (us) back to KL, renewing ties with the Westin was the best thing we could have done. It is a terrific hotel with an amazing location in the heart of the city. A stone's throw away from the Pavillion, Bukit Bintang, Times Square and it just goes on and on.  The recently appointed General Manager, Mr Gregory Gubiani is a gentleman and has what it takes to hold such an important and prestigious position. He is a ‘hands on' GM and has his finger on the pulse and is surrounded by an exemplary team. He has clearly maintained, if not surpassed the standard expected of a 5 star hotel. Thank you Gregory for your generosity and hospitality.  The hotel facilities are",5,0.9761
"We spent a week at the Westin. We had initially booked the Executive room with Club lounge access, however we were pleasantly surprised to receive a room upgrade to the one bedroom suite!   The room was spacious and luxurious. A full kitchen, lounge with TV, a sort of indoor balcony, study, and master bedroom with powder room and en suite.  There was even a knife block, however scissors would have been more handy to have.   The Club Lounge was amazing! We had a choice of breakfast either there or the Living Room. We found the Living Room better for variety and delicious meals for breakfast and the club lounge perfect for drinks and canapes (more like dinner).  We got 2 hours of alcoholic beverages at night to indulge in and they also made freshly squeezed fruit juices plus tea",5,0.96
"Another great stay at Westin KL. Perfect location at Bukit Bintang, opposite Pavilion shopping and dining complex. Absolute awesome service by all lounge staff with special shout to Bosco. Lounge is much appreciated. Looking forward to be back",5,0.9578
"There is one thing that has never changed whenever I come back to The Westin Kuala Lumpur, that is, the bell boy service and manners towards the hotel guests. Always smiling, polite and friendly! This is one of the reasons why I keep on coming back. Kudos to them especially Zarul and Mizi!",4,0.8774
The only thing is the name of the hotel is attractive. The title of the review is summarizing everything. It is 4 stars standard with nice facilities.  It is personal feeling and rating. I did not like because of the unexpected standard and behavior I got.  If you read my review please read other reviews to have a complete picture.,1,0.7499
"Meals are delicious here. Already 2nd time in a week here. Had a wonderful time tonight celebrating with my wife's birthday. Services here are excellent. Do come here to celebrate your birthday. The staffs will give you a surprise birthday wishes. 😬 Staffs are very friendly... Arini, Jeeva, Kuhan, Shidiq, Terry, Ina &amp; Asvan. Thank you. ",5,0.9741
Westin was in a great location thought traffic was bad but that is typical of Kuala Lumpur - it was not a reflection on the venue. Service at check in and out was fantastic and so were doormen and bell hops!,4,0.7574
"Farah from the kids club at the Westin was amazing!! She was patient with the kids and whilst we shopped, kept them occupied with various activities. Definitely recommend and will use her on our next trip to KL 👍",5,0.8619
