UID,Hotel,Overall Rating,Overall Polarity,Latitude,Longitude
5,EQ,5,0.92419,3.1523321,101.7075426
11,Mandarin Oriental,4.5,0.87382,3.1559554,101.7093953
7,Grand Hyatt,4.5,0.8701,3.153664,101.7100673
18,St. Regis,4.5,0.85156,3.1367672,101.6867269
15,Shangri-La,4.5,0.84842,3.15421,101.7040813
6,Four Seasons,4.5,0.84633,3.1579479,101.7115877
16,Sofitel,4.5,0.8439,3.1466729,101.6593647
9,Hilton,4.5,0.83465,3.1354233,101.6835321
19,The Westin,4.5,0.82344,3.1478489,101.7123484
20,Traders,4.5,0.79384,3.153997,101.7121773
