UID,Hotel,Overall Rating,Overall Polarity,Latitude,Longitude
5,EQ,5,0.92419,3.1523321,101.7075426
1,Ascott,4.5,0.77821,3.1423005,101.6923511
4,DoubleTree by Hilton,4.5,0.7795,3.1618106,101.7175963
6,Four Seasons,4.5,0.84633,3.1579479,101.7115877
7,Grand Hyatt,4.5,0.8701,3.153664,101.7100673
9,Hilton,4.5,0.83465,3.1354233,101.6835321
11,Mandarin Oriental,4.5,0.87382,3.1559554,101.7093953
15,Shangri-La,4.5,0.84842,3.15421,101.7040813
16,Sofitel,4.5,0.8439,3.1466729,101.6593647
17,Somerset,4.5,0.78909,3.160067,101.7207373
