Review ,Rating,Polarity
"We stayed here for 3 days on our way to bali, this hotel is very nice,all the staff are friendly and courteous. Our room was fabulous with a view of the petronas towers and the park,couldn't have been better. The room was a good size with a large comfy bed. Couldn't fault it. Would definitely recommend and stay here again.",5,0.9505
We stayed 3 nights at the end of Feb beginning March. Stayed on Club level with astounding view of Petronas Towers from our window. The service throughout was excellent by all staff. The care under current difficult health situation was great to see and experience. Food wonderful for breakfast and the meal we had at Gobi upstairs was also excellent. Would certainly recommend.,5,0.9738
Modern hotel centrally located for sight seeing .  Very enjoyable 3 night stay in a Club executive room . Friendly and professional staff . Excellent service in the club lounge . Fantastic view of the towers from our club room which was spotlessly clean and modern and well worth the extra cost considering the daily complimentary 2 hour bar and snacks. A couple of things prevent me from giving the hotel 5/5 . The 'hot' options at breakfast were lukewarm at best and the food selection is geared more to Asian guests rather than Europeans. The air-con in our room was inefficient . However I would have no hesitation in staying at this hotel again and would highly recommend it . Top Tip   -  Use the Grab taxis (  equivalent of Uber )  for city travel . Rediculously cheap and friendly,4,0.9858
"What an amazing hotel Traders is. Clean, friendly and everthing you want from a hotel. Upgraded to a room with a view of the Petronas towers which was amazing. Staff were brilliant and the breakfast was superb. We had our temperature taken every morning which as assuring under the  current Coronavirus outbreak. Hand sanatizers everywhere in the hotel. Locaiton was great, at the edge of a beautiful park and only a short walk from shops and restaurants. All in all, fantastic Hotel",5,0.9906
"Beautiful view of the twin towers, very helpful staff and warm welcome. Lovely spa, we had a couples massage and really enjoyed it. Location is excellent, walking distance to large shopping mall and easy access to public transportation. We definitely will stay again next time",5,0.981
"The hotel is comfortable and clean and service is good. My favourite of all is the room, the bathroom and the views from room and Sky Bar. However this time round I found 2 things to be below expectations - the breakfast buffet and the leakage in the room which was quickly rectified but caused me to not be able to sleep the night before. I acknowledge this is a problem with wear and tear and wouldn't fault the hotel on this but the buffet breakfast left me disappointed. Food wasn't great and labels were unclear.",4,-0.8318
On our final full day staying at this hotel which is in a great location near Petronas towers. Very convenient for getting around and staff very helpful and friendly  We booked a room On the club floor which gives you access to a nice lounge for breakfast ( good variety) Snacks and soft drinks and cocktails 5 to 7 with a good variety of snacks and a wonderful separate menu to cater for my vegetarian diet. The staff are lovely and eager to please. There is monitoring of your body temperature  And plenty of hand gel to use  The rooms are well stocked with iron hairdryer tea and coffee facilities,4,0.9881
"Spent a night here whilst travelling from Bangkok to Singapore.  Perfect.  Chose this hotel for the views of both the Petronas Towers and KLCC Park...I was not disappointed.  My Petronas Towers facing room was clean, comfortable, modern and the bathroom was spacious and very welcoming after 24hrs on trains.  Excellent service from door-to-door; the reception even organised a taxi to drop me off at my Singapore bus departure point.  Be sure to save room for the buffet breakfast...it'll set up any weary traveler for the day.",4,0.9659
Stayed here for 2 nights before returning home. Traders is really well situated go for a tower room and see the amazing views of the Petronas towers. Also views of the park and the dancing fountains in the evening. The rooms are a good size and lovely and clean. Breakfast is good plenty of choice.  It's within walking distance of KLCC mall they also provide a buggy service if you don't want to walk.,4,0.9571
"Screened by security at both entrance, friendly checked in by their staff with welcoming drinks. And of course very nice environment in the luxurious room and very great choices and varieties of breakfast menus. Only walking distance to KLCC and the park. Great choice.",5,0.9642
"Employees RE ONLY INTERESETED IN REALLY HIGH VALUE CUSTOMERS. Normal club customers do not get any service. Out of red vine, no offer, beer selection without a IPA-no offer, no understanding. no knowledge. Poor service. Rooms without any service, better to stay at the cheapest alternative.",1,-0.7183
