UID,Hotel,Overall Rating,Overall Polarity,Latitude,Longitude
1,Crowne Plaza,4.5,0.85339,1.358861,103.987989
2,Fairmont,4.5,0.881887,1.294405,103.85369
3,Fort Canning,4.5,0.853327,1.296473,103.845326
4,Four Seasons,4.5,0.906843,1.305675,103.828333
5,Fullerton,4.5,0.944955,1.286707,103.853046
6,Fullerton Bay,5,0.930081,1.283539,103.853606
7,Furama RiverFront,4,0.67184,1.288083,103.83598
8,Ibis,4,0.689413,1.288241,103.847196
9,JW Marriott South Beach,4.5,0.888356,1.294769,103.855793
10,Mandarin Orchard,4,0.708429,1.302284,103.835902
11,One Farrer Hotel,4.5,0.886362,1.312846,103.854362
12,Pan Pacific,4.5,0.865694,1.292707,103.858574
13,Park Hotel,4,0.878046,1.291757,103.842344
14,Park Regis,4,0.765555,1.288375,103.844454
15,Peninsula,3.5,0.532143,1.295018,103.849752
16,Ritz Carlton,4.5,0.883213,1.290947,103.860026
17,Robertson Quay,3,0.361984,1.291535,103.841965
18,Shangri-La,4.5,0.837862,1.311613,103.826797
19,The Scarlet,4,0.803688,1.280915,103.845404
20,Village Hotel Changi,4,0.666778,1.390818,103.986013
