Review ,Rating,Polarity
"Stayed level 8, one night on transit from Manila to Melbourne.   Obviously it’s a super convenient location for a layover. Adjacent to Terminal 3, Crown plaza offers a fairly standard room which overlooked the runway. The TV is a fair distance from the bed and the screen is quite small. The view over the runway is great. The pool is also nice.   Breakfast was lacklustre. Fairly simple choices and bland food, in retrospect not worth the additional cost, especially since we were heading to a lounge at the airport.  We arrived late at night (after midnight). The escalators were switched off so too all the exterior hallway lights. They claim they are trying to be “environmentally aware”. The frustration is the lack of assistance given for late night check ins. Had to lug two 40kg",3,0.7866
"I stayed at the Crowne Plaza Changi Airport in December 2019. During the stay, I made a reservation for a runway view room with an additional rollaway bed.   I had stayed at the hotel previously and I am surely and slowly convinced that the standards and the IHG brand name are not in-line.  The following were areas I felt where improvements are needed:  Housekeeping/Maintenance: 1- while turning on the tap in the room, I noted spurting sounds from the tap. The water that flowed out appeared to be slightly murky. The same situation happened for the bathtub as well. I had to spent 5 minutes turning on all the taps to be sure that the water cleared up.   2- there was also a mild yellow stain on the pillow. Personally, this is unacceptable especially when I was told the room was",2,0.8271
I stayed here one night in mid-February for an early morning flight to Bali.  I stayed in a Rm o nthe 6th floor.  The hotel is located in Terminal 3.  There are signs in Terminal 3 that will point you to it.  It is near the Skytrain(train that goes between terminals) entrance in Terminal 3.    This hotel like any other Crown Plaza hotel is at least a 4 star hotel by Western standard or 5 star depending on your standards.  The room I stayed in certainly reflected it.  The room I was in was very spacious compared with the average hotel room.  Upon entering the room you pass the bathroom on the right.  Entering the bathroom there is a large deep tub on the left.  On the right is a sink with counter and pass that is the shower.  At the back is the toilet.  The bathroom is spacious,5,0.5994
Extremely comfortable rooms that are well-designed and feature a large bathroom with modern shower. Friendly and courteous staff. Highly recommended if you need to stay near the airport since the hotel is directly connected to SIN's T3.,5,0.9039
Regardless of terminal you will reach the hotels within minutes using the Sky train. We stayed three persons in a room with runway view. If you are a keen plane spotter these rooms are perfect. The beds were comfortable and there was plenty of space for an extra bed. Room was very clean and well furnished. Check in and check out was without problem and staff was very friendly and efficient. From the hotel you have easy access to the fantastic shopping mall Jewel and to the downtown train. If you are a plane spotter and on a budget you can opt for a less expensive room and go to the viewing area at terminal one.,5,0.9845
"When I sometimes want to relax and can't afford the time to travel overseas then Crowne Plaza Changi Airport it is.   I've stayed at this property no less than 6 times over 2 years and each time I come back, I am thinking of my next stay again here. The front desk executives are efficient and normally upgrade me to the Business Wing but if you're not keen to walk a too far to your room, just get the the rooms in the main wing.  This hotel is linked to T3 and also a short walk to the Jewel at Changi Airport so you'll never run out of dining or shopping options. That said, I don't suppose you'll ever need to leave the hotel as you will have no time left to relax by the magnificent pool area or just soak in the bath tub.   The hotel is also under the IHG network so I am accorded",5,0.8775
This hotel is connected to Changi's Terminal 3 which makes it very convenient if you are on transit. Room is spacious and comfortable. What stands out is the service. My friends wanted to surprise me with a birthday cake since I was traveling on my birthday. The staff managed to organize it with them and delivered it to my room to my surprise. Great stay!,5,0.9324
"To be clear, I have not had a chance to actually visit and stay at this hotel. However, we had planned to stay there and our trip/cruise was canclled. The hotel staff were so accommodating and understanding that they let us cancel without penalty. They were also very responsive and professional. That is HUGE. We plan to get to Singapore in the next year or so and will absolutely stay here!  Looking forward to it!",5,0.8294
My title says it all. A walk or short train ride from the terminal. A very speedy check-in. Very comfortable room. Good swimming pool to refresh oneself after a long flight. Easy access to the Jewel shopping mall - which is fantastic. Perfect hotel for a late arrival or early departure.,5,0.961
"Never again...this place. Wh9le industry slowdown..but this place wants the maximum yield...hopeless, check in 300 pm...check out 1200 noon, how it constitutes to 1 day  don’t know...stay 18hours ..but pay 24/hours...and occupancy was poor...no effort for extending on request....terrible in this troubled times..working to maximise,profit.",1,-0.5994
The good thing about this hotel is the location- easy access not only for the airport but also Singapore transpiration system. The staff are extremely friendly and it is always a pleasure to stay there.,5,0.9286
