Review ,Rating,Polarity
Hotel has a fantastic team working there. They are so hardworking in ensuring that quarantine guests are well taken care of while abiding to the self quarantine measures and take guest feedback seriously. Hotel not only checks in with guest daily but have impressed to put the personal touch to what hospitality is all about. They have gone above their jobs to really ensure guests are truly happy just by paying attention to details; team surprised me with a local breakfast and also personally signed cards with messages to celebrate Day 9 milestone in my quarantine period. Really awesome hotel to stay at!!,5,0.99
"We stayed at this hotel for three nights on the way back from India.  It shares some facilities with Swissotel and is located adjacent to a shopping mall with lots of eating placea and shops.  You don't have to venture outside.  It's also opposite the Raffles and virtually opposite Chijmes which also has lots of eating places.  Great location on Bras Basah Road.  The room we had was very nice and appeared to have been recently upgraded.  Nice views over the city, the pools and tennis courts.  The facilities were nice.  Comfy bed, nice shower, a tap for hot and cold water, and a handy table and couch.  Breakfast was included in our package and was a very good buffet in Prego down at lobby level.  Our checkin was very easy and made even more pleasant by a very good staff member. ",5,0.9844
"I stayed here with my wife and 2 kids.  Although the Fairmont costs more than the Swissotel, it is just right next to it. In fact, the Fairmont being the short tower has worse views from the rooms compared to the much taller Swissotel.  Both hotels are very similar and I have stayed at both so I don't see why the Fairmon rates are higher.  I actually find that the Fairmont rooms are a bit old and outdated.  The hotel is connected to the Raffles City shopping mall with MRT right underneath so it is very conveniently located for shopping, dining and taking the train to explore Singapore.  The swimming pool is a common pool shared with Swissotel.  That means there are guests from both hotels using the same pool.  The pool is located in between the two hotels so the sun gets blocked",3,-0.4215
"Overall a great 4 night stay celebrating a birthday. Location is fantastic - a short 5 min Grab from MBS and most bars and clubs. Front desk staff at check-in were great, concierge was fantastic and helped out with balloon/cake/champagne deliveries, and the room views were great. Also recognition of Accor Gold which was nice.  The issues: some appliance made erratic relatively loud noises during the night (I believe it was the mini-bar as I powered off the water filter). There was one night where the water temperature increased suddenly for a short period of time - ouch",4,0.9819
"Fabulous place to visit, easy to get around, very safe &amp; so many beautiful places to see - Gardens by the Bay, etc.  The Fairmont hotel is well-located.  It has a stunningly beautiful foyer and rooms, with a fabulous swimming pool area too.  There is an excellent choice of  breakfast foods, with a different variety daily, and the food by the pool is also delicious.  The staff couldn't do enought to help you, they were so friendly and professional.  A wonderful stay in a great hotel.",5,0.9924
"Excellent accommodation,  beautiful decore and extremely friendly staff and helpful. Rooms very comfortable and clean. Excellent service at prego for breakfasts and gold lounge on the 25 floor. Pool was wonderful",5,0.9815
Stayed here for 3 nights to break journey to Oz and loved it! Carefully chose a Deluxe Harbour King room which are newly renovated. Got a great deal on Accor sale at about £500 for 3 nights B&amp;B. Good location right across road from Raffles for the bucket list Singapore Sling. Adjoins sister Swiss Hotel and large mall running around both hotels. Room fabulous with balcony with great view onto harbour and Marina Bay. Despite Singapore being very quiet Breakfast in the Italian Buffet Restaurant a bit too busy which was my only criticism. As first time here booked hotel limo transfer which although much dearer than taxi was a great choice. Friendly driver met us straight through security whisked us into nice Mercedes quick drive to hotel and straight up to our lovely room to check,5,0.9901
Would highly recommend this hotel. Staff couldn't do enough for us. We received an early check in and a late check-out. Room had been recently refurbished and was faultless. Location is ideal with a shopping complex located adjacent to the hotel. Breakfast was fantastic with a great choice. Would highly recommend staying at the Fairmont .,5,0.9622
"In these turbulent times, our stay at the Fairmont Singapore was an oasis of calm and luxury.   The accommodations were beyond expectations, the staff absolutely warm and friendly and the service first rate.     Most highly recommended.   Can’t wait to return!",5,0.8631
Hotel is well located with MRT stations just next to the hotel. Lots of shops and restaurants near by. Walking distance to Sands and Merlion park. Friendly and helpful staff. Pay the extra to stay in the newly renovated rooms.,4,0.7717
"An excellent Hotel on top of a beautifull Mall.  walking distance from the shops and restaurants.  Stopped here for a few days, good pool, good for children too.  Breakast was somewhat busy, but if you are careful with choice, you can get an extensive breakfast.  Rooms are large with good views.",5,0.8735
"We recently had 8 nights at the Fairmont Singapore in a Fairmont Gold room (45sq very generous in size).  We were located in the North Tower over looking the famous Raffles Hotel. Our booking had access to Fairmont Gold Lounge on level 25 for daily breakfast and evening cocktails.  The lounge is a very relaxing and inviting space.   If you'd like views of the city,  Marina Bay Sands and Merlion them request a room in the South Tower.  The hotel is well located for the use of public buses and MRT. It is also attached to Raffles City Shopping Mall but is within easy access to a large number of shopping centre.  A few of the restaurants were closed for refurbishment during or stay,  which was a little disappointing but didn't really cause us to much concern.  I cannot praise all",5,0.4902
"Big thank you to Marcus and all of the lovely staff that made our stay so enjoyable and memorable. The location, room, staff, lounge, restaurants and facilities were all exceptional. Almost everything is easy walking distance from the hotel and the MRT is only 2 mins walk. The hotel is attached to a fantastic Shopping Mall with many food options. We highly recommend this beautiful hotel and can't wait to return.",5,0.9751
"Great location with lots of shopping and dinning options. And there is a MRT station within 5 minutes walk that can lead you to bustling Orchard. Spacious and clean room.  Bed is comfortable.  We love the big tub too. Staffs are helpful and attentive. Overall, a pleasant stay. ",4,0.9657
work out something with the car parking issue. Most guest will dine and use the facilities. organise sports event and food festival. Promote membership for food discount etc. Advertise in e commerce website to promote room rates during of peak season.,4,0.8126
"Our 4th visit to the Fairmont, beautifully appointed, newly renovated rooms and Executive Lounge. Staff were (generally) very attentive. Food and Beverage and experience at Prego (ppr) was a little disappointing. Overall we enjoyed this stay and most likely would stay here again.",4,0.624
"The warm welcome we received on our arrival was maintained throughout our stay.  All the staff we encountered were friendly and helpful.  (Hazel, one of the Front Desk Team, deserves a special mention!, as does Mike, the Concierge!).  The view from our 18th floor room was, of course, stunning, and the little balcony was a great bonus!",4,0.9733
"Modern, well maintained hotel situated near Marina Bay area in Singapore. Large comfortable rooms. Recommend access to the Club Lounge for extra facilities and service. Situated close to Marina Bay with underground access to shopping malls and other atractions. Also MRT train station in shopping mall adjoining hotel. Staff all friendly and helpful.",5,0.9169
This Hotel was all that we expected of a 5 star.  Great staff - good rooms - perfect location.  Nothing  was too much trouble and when we reported a problem with the shower in our bathroom it was repaired within the 2 hours we were out sightseeing.  The bathroom was refreshed and clean towels  replaced the ones we had used that morning.  The one drawback is the lack of storage space for clothes etc. which the Hotel was aware of and looking to address.,5,0.7717
very nice hotel in the heart of Singapore. very polite employees. very spacious rooms which where well maintained. big shower area. proper coffee machine and complimentary still water. good WLAN connection. hospitality suite upon departure to freshen up for a long flight. TOP,5,0.9105
"Our one night layover was very comfortable, with excellent service at check in, directing me to an HSBC ATM in the adjacent mall.  Only problem was the in room water filter system in the mini bar. Water tasted funky - way worse than the tap water.  Those filters in 1623 need to be changed.",4,0.3306
"Poor service and lack of personal touch. We were not informed before hand that all the buffet restaurants are closed during this period. We were not offered complimentary room upgrade despite we were celebrating our 23rd wedding anniversary, we are Accor member and the hotel was extremely quiet during this period due to COVID 19 situation.",1,-0.9087
"This was my first stay in The Fairmont, and I admit I was a little nervous because I usually stay in the Pan Pacific Singapore or the Sofitel, so why would I want to stay somewhere different? Anyway, I arrived at the Fairmont early and to my joy, I was given not only “early check-in” but also an upgrade to the next room category! So here I am, taking in my gorgeous guest room on the 17th level of this stunning hotel. My exterior view is of the Raffles hotel gardens and pool. My room is immaculately presented in every way. The bathroom is spacious and luxurious, complete with deep bathtub and separate walkIn shower. Lots of bench space and storage. I love the convenience of my own iron and ironing board. The bed is supremely comfortable and I sleep deeply in my crisp white bed",5,0.9845
"I stayed 5 nights in this hotel and it was a really excellent experience. During my visit, the corona virus had begun to become present in Singapore and everywhere you went, the staff offered hand sanitiser and were taking great care of the guests health and safety. The service in all departments was excellent. In particular, I would like to mention Nisa Ghani in the pool bar area, Dennison who made excellent Pina colada and sangria, and  Edmande in the downstairs bar. But really all the staff were fabulous. The breakfast is one of the best you can imagine. Everything is on offer. there was a huge array of already cut fruit and vegetables so that you can make your own custom-made juice, the hot buffet was amazing - everything from ""make your own soup"", to delicious dim sum,",5,0.9923
