Review ,Rating,Polarity
"We happened to be there just as COVID-19 was ramping, and really enjoyed our stay there.  The happy hour was great to mingle with other travellers and exchange stories, the balcony converted into a bathroom was fun, the proximity to places of interest was good, and overall the experience was great.  Will definitely visit again.",5,0.9806
"Such an oasis in the middle of busy Singapore.  The old colonnial style of the hotel is reflected in the calming and restful environment in the hotel.  Our room was beautiful - plenty of room with a separate large bathroom area with bathtub and large shower.   The electric roman blinds were a great touch.  The staff could not do enough for us, being very professional yet friendly and approachable.  I would thoroughly recommend the hotel and book again at the drop of a hat.  Thank you for a lovely stay.",5,0.974
"Fabulous hotel with a history. Small hotel but excellent service, lovely rooms although the bathrooms were a bit disconcerting ! Lovely pools Great and historic setting ( was Britain’s headquarters before the fall of Singapore) Loved the guest wine hour was a lovely treat. Close to lots of amenities and restaurants. Good restaurant, lovely breakfast. Fabulous staff",5,0.9954
Special thanks to the service team for assisting me with my less than 24 hours request and also arranging to change my check in and out date with such a short notice period. Very happy and satisfied with my stay.,5,0.9128
"We really enjoyed our stay, excellent hotel facilities and polite helpfull staff, interesting local history and good location with peacefull walks through Canning Park.  Would return and recommend to others. ",5,0.9371
"I purposely choose this hotel because of the historical value. Beautiful colonial style, well maintained. Also feel very peaceful, it’s suitable for nature &amp; history lovers. Friendly staff, simple unique room decor (as the bathroom in the balcony) but I just love it! Especially with the wooden floor...really make me feel, step back in kampung time!",5,0.9488
"The room was great, I loved the outdoor patio (deluxe garden room), staffs were very professional and polite, service was top notch. Only downside was the breakfast which didn't include enough meats and the hasbrown wasn't crispy",4,0.8316
"Room was very good, odd that the bathroom was in the window, but all fine.  Very clean &amp; comfortable.  Liked having dressing gown &amp; slippers useful for visit to pool.  Shame the larger pool was not open all the days of our stay.",5,0.9407
"Had an enjoyable time during my 2D1N stay! Nothing to complain much + all staff was attentive and welcoming!   There wasnt much reviews on the hotel’s restaurant so my expectations wasnt high and was not really looking forward, but i enjoyed the breakfast buffet + their lobster nasi lemak!   Only thing was the pillows was not suitable for me, and i wasnt aware there is a pillow menu ):  So those who are planning to go can take note of this!",5,0.7486
"The hotel is set within Fort Canning Park within 5 - 10 mins walk of 2 MRT stations.  Initial impressions were good although our greeting at reception was a bit brusque.  I fully appreciate that the hotel was concerned about coronavirus, as were we, but the first words out of the man at reception was “I need to take your temperature”.  A hello and welcome would have been nice first as we had been travelling for over 20 hours.  It was good that they also did this daily at breakfast and also before I could use the gym.  Our room was lovely but, as others have said, you are unable to use the bathroom without putting the electric blinds down first.  The design of the shower meant that water leaked onto the bathroom floor. This is because the door sits on a raised piece of marble so",4,0.9638
A truly unique hotel stay in Singapore amongst the greenery of Fort Canning Park. The hotel is atmospheric and beautifully appointed.  Close to Dhoby Ghaut MRT station for easy access to everything in Singapore. Staff were only too happy to accommodate our every need and assisted with lots of useful sightseeing advice! The restaurant was delicious and inexpensive. The swimming pools were perfect and complimentary towels appreciated. Our only recommendation would be that the raised tile edge around the bath in the room is a trip / toe stubbing hazard for travellers in unfamiliar rooms during night time bathroom visits. ( We had a garden view room).,4,0.9834
"In the middle of a park with easy walk to Orchard Road when going down, but there are some escalators on the way up. There are 2 swimming pools, and at the time we were there no one else was using them. Would stay there again.",5,-0.2144
"Hotel Fort Canning was converted to a hotel from being the headquarters of the British government when it occupied Singapore.  The hotel has a nice tropical ambience.  The rooms are spacious and situated so that the tropical feel is there.  Overall, a bit expensive but worth it.",5,0.5023
"Hotel Fort Canning set atop Fort Canning is a genuine 4 to 5 star hotel . The quiet atmosphere and surrounds enhances relaxation . Great staff , and that includes those in the restaurant. The latter provides good food at very reasonable prices .",5,0.886
"Good location if you are fit enough to handle the steps/slopes to walk back through the lovely park back from the the city and/or are happy to use taxis. Really good swimming pool areas. Breakfast was very good. Garden room not really worth the extra cost since, given the humidity, we didn't use the facility much.  Complimentary drinks and canapes  between 6pm and 7pm  a nice touch. Hotel staff very helpful and welcoming.",4,0.9824
"The hotel is in a graceful old (but well refurbished) building at the top of a hill top park near the CBD. I had a very comfortable room with a patio - although note that curtains need to be deployed to have privacy from anyone walking past, Easy walking distance to several excellent museums through a lovely park (dont miss the Apothecary's Garden). After a long humid day exploring Singapore it was lovely to come back to the hotel for a swim and to relax in comfortable surrounds. Staff always at the ready to assist.",5,0.986
"Stayed at HFC because we had a concert held at FC itself. It was accessible for us. Booked a Deluxe room for 1 night and upgraded to Deluxe Garden another night. Total stay was 3 days 2 nights. Both rooms were beautiful! Brought some friends over the second day to chill before the concert however, the staff informed that they could only stay up till 930pm which was totally fine with us. Overall, we were pleased with they stay! Would definitely come back again especially if there are concerts that are playing at FC!",5,0.9466
"We did our wedding here at HFC and also stayed here for a few nights. The experience was way beyond our expectations. The hotel is beautiful, styled in old colonial style, complete with all the most modern facilities. Staff are one of the most amazing team of people I’ve ever met! From the front reception to the concierge, from the banquet staff to the restaurant/bar team - everyone fully demonstrated service with a smile - making our stay the most pleasant ever. The complimentary drinks (sparkling, red and white wines + juices) n canapés served daily at the nice reception area for all guests was definitely a delight. We weren’t the only ones who were blown away. In total we had 7 rooms of friends and relatives who stayed here too and all of them were full of praises for HFC.",5,0.9863
"Lovely stay at Hotel Fort Canning for our wedding. The team has been helpful and supportive, very thoughtful in celebrating our joy and making the stay comfortable. Acceded to our requests to make the bridal pick up convenient. Beautiful location to taking our wedding pictures.",5,0.9791
"Staff were friendly, helpful and seemed happy to be working at fort canning.  Lunch at the salon was great, loved the lobster nasi lemak.  Great decor of the hotel, has a good historical and cultural vibe to the architecture.",5,0.9769
"We stayed for two nights and in a standard room. The hotel is beautifully appointed and the rooms luxurious - high ceilings and marble everything in the bathroom.  The high ceilings made the room feel a lot more spacious and our large windows looked towards Canning Park.  We were advised on checkin that there was a wedding the following night but we didn't hear a thing so the noise did not disturb us.  It is lovely to walk around the park in the early morning and it is very close to the MRT, Clarke Quay and the Singapura Mall.  But the standout for me was the service on the front desk.  They diligently but respectfully took our temperatures on checkin and when we asked them to daily (due to the corona virus precautions).  They helped with grab taxis and information but I was",5,0.9323
"We loved everything about this hotel! The staff were so polite and helpful getting us taxis. The room was very clean with a great bed and shower! Breakfast was very good, lots of choice and we loved the pool. The hotels position was great, we walked down to Clarke’s key in the evenings and really enjoyed walking through the park. We would definitely recommend this wonderful hotel to everyone and would not hesitate to stay here again. Well done and a massive thank you to everyone who made our holiday so brilliant! ",5,0.9946
We shall always choose the Fort Canning. It is a little oasis in a busy city. Ideal location for anything you want to do - easy to get a bus or MRT anywhere in the city.  Staff are charming and extremely helpful. Nothing is too much trouble.  Excellent breakfast.,5,0.9381
"Our second visit to which we greatly looked forward and which was every bit as pleasurable as our first four years ago.  An impressive, fascinating historic building with a warm and stylish ambiance.  Beautifully appointed and comfortable rooms.  Set in lovely parkland grounds, a delight to stroll in.  Convenient central location. Quays easily walkable.  Lovely pools, lovely breakfasts, lovely Happy Hours.  Good in-house dining arrangements that are sensibly priced.  Most importantly every member of staff, without exception, was courteous and attentive. They are all relaxed, approachable and so very professional.  As memorable and relaxing a hotel experience as you could possibly wish for.   If ever in Singapore again, this is where we will stay.   Meanwhile we unreservedly",5,0.9952
"Held my wedding at Hotel Fort Canning and it was simply amazing. Love the Legends Ballroom and the greenery around the hotel. Thank you so much for the hospitality in hosting me and my family as they enjoyed the hotel stay for the past 3 days. Special thanks to Kelson, Debra and all the managers who assisted me during my wedding. ",5,0.9607
"We usually do walks and exercises at the Fort Canning park and everytime we pass by the hotel we always like the vibe hence we plan to stay one day. Now that we are in, the impression we had is the same or even better.  The location is within the city center, accessible by a few walks from both Fort Canning and Dhoby Gaut MRT stations. Despite the city location this hotel is tucked within the greens of the park giving you that peaceful and relaxing feel.  Check in was a breeze, i like the sit down-table kind of style, very personalized. Julian was attentive and thorough, he also took time to walk me through the amenities of the room, very good customer service.   The room is well divided, it has modern amenities with classic interiors. I really love the bathroom, very spacious",4,0.9785
"Had such a warm welcome upon arrival by Kelson, the front office manager. Everything was went through thoroughly. There was a small rebate given upon check-in since we booked directly from the hotel's website. Thank you to Julian too for showing us the room. Love the service and room amenities. Quiet ambience although shops are slightly far from Hotel. Thank you HFC!",5,0.9245
