Review ,Rating,Polarity
"Always my go-to option for staycation due to its location (I love hitting the bar during happy hour, enjoying house brew and the river view) but this time is a little different staycation than usual. I came because my travel plan got cancelled. It’s rather quiet during this period but that’s somewhat better because I got more personalized assistance and care from the staffs. Amrul (or Amirul?) on front desk has been kind and upgraded my room. I got 18th floor, the view is much better than my apartment and that’s exactly what I needed, a change of view after many weeks working from home. The staffs at Eatery resto are also nice and spent time to have quick chat with me. I really appreciate the warm gesture especially during this stay. Guess I’ll see myself back here during Easter",5,0.9846
"I am picky about giving out five stars, and I probably would have given them five stars apart from one thing: I simply didn't stay here long enough to try everything and enjoy it.  So it is a solid four!  I checked in late and things went smoothly.  My suite was perfect with a good view.  I walked around the hotel, looking around and was impressed with what I saw.  In the morning, I had breakfast and the service was good as was the food.  I have absolutely no complaints and I look forward to staying here again.",4,0.9311
"The location of Four Seasons Hotel is actually really good, it’s convenient for food and shopping. As for breakfast, you can with eat out or dine at the hotel. The breakfast at the hotel is delicious. The hotel supplies at Four Seasons Hotel are L'occitane drops. The variety is very good. The service is particularly good, definitely a family friendly hotel for sure! ",5,0.9684
"The Four Seasons in Singapore is an older property.  The style of the building, the shape of rooms, etc are all from the 80'.   The service is the usual from FS, ie; very good. The only downside was arriving from a 25 hour flight, only to find the hotel bar closing early (basically in our face). They really should rethink this. A lot of the clientele arrive late at night and having a glass of wine would have been appreciated.  The roof top pool is very clean, but lacks charm. A few chaise longue, few plants and that's it.   The absolute best part of the hotel is breakfast. It is the BEST breakfast buffet I have experience in the world. No words can do it justice.   Lastly, note that hotel is not downtown. It's further north, in a nice shopping area. But you're not at all where",3,0.9832
"Service is awesome, highly recommend. Very detailed and very attentive. We have a 3 year old daughter with us, and everyone was very accommodating, from offering stroller for us to use, opening doors for us and opening elevators for us as our daughter is napping, from extending our check out to accommodate one more nap. Breakfast service was amazing, remembered our preferences, including tea options. Pool service was great. Room was wonderful and clean and housekeeping done twice a day with no issues. Tent was also given as play for our daughter, with balloons and treats as welcome. Our daughter loved it. Thank you Four Seasons!!",5,0.9854
"Stayed for three nights together with my wife. Both agreed it’s the best hotel experience of our lives. Hotel is high end, and the staff are all professional and super helpful.  Rooms are great, with a really comfortable bed. Bathrooms are modern.  Breakfast we enjoyed very much, and had recommended local dish each day.  Location is great for Orchard road shopping, and it a short taxi ride to Clarke Quay, Boat Quay and other attractions.  A lot of choice in Singapore. We are so happy we chose the Four Seasons and will definitely be back. ",5,0.9907
"First time for Four Seasons SG. The location is great, not far from Orchard. The room reminds me of Four Seasons HK, the layout is quite the same.  The bed is comfortable but the thing i dislike is the air-condition. It is quite hot. Although I try to adjust it to the lowest 19C, it is still not cool enough (That trip I stay at Ritz and Raffles before Four Seasons, so I know that it is not the degree I wanted it to be).  And the room has some smell, it is not bad smell, bit it is not fresh.  The reception I met, Miku, she is the best of the best. Her attitude and her hospitality made me give the 5 stars rating to the hotel despite the comment I gave about the room.  The another thing I really like is the staff and the quality of your Michelin Chinese restaurant. Everything is",5,0.9334
This feels like a top notch hotel. Dealing with the front desk and the concierge was super easy. The concierge understood what we asked for and got us what we were looking for.  We got an upgrade on the room and got a room that seemed to have been very recently refurbished. Nicely decorated and comfortable. The only drawback was a quite poor hairdryer and the make-up mirror seemed to have been left over since before the refurbishment.  We did not have breakfast at the hotel.  The gym seemed to be brand new but the changing rooms in particular the gents seemed a bit old.  This was my first experience with a Four Seasons hotel and I will be sure to be looking out for a Four Seasons hotel on future trips.,5,0.8603
We only spend one night but the service and the very nice staff we meet were of the highest quality and made us want to come back next time we are in singapore.  The room was new and stylish.  We also had a great meal in the restaurant and I was very happy with the selection and quality of the wine by the glass.,5,0.9567
"This is my birthday trip &amp; my first time visiting Singapore and I must say that I didn't choose wrong to choose Four Seasons for my stay! Four Seasons really treat me very well, surprise me with a cake on my birthday &amp; I can blow a candle this year! (tbh I'm kinda worried because of, it quite sad that I can't blow a candle this year). And also Miku really assisting me &amp; my partner really well from the first day of our stay until arranging the birthday cake! It means a lot to me! :) And also they have a Chat App for guests to get connected with the Guest Services, so you can order in-room dining, ask, or request anything very easily through their chat app! it is very convenient! Thank you Four Seasons Singapore! :)",5,0.9587
"We had the pleasure to stay here for 3 nights..A Beautiful Hotel...Great Food and Service, Beautiful Appointed Rooms, Lovely Pool and Spa Area. The Buffet Breakfast is amazing. A must is the Cocktail Bar for a before or after Dinner Cocktail, lovely spot..Great Staff at this Hotel and just a stones throw walk to Orchard Road. Look forward to visiting again.",5,0.9747
"We stayed here for 2 nights for our honeymoon before flying onto Thailand. The Four Seasons is 30 mins from the airport and upon arrival we were warmly greeted and upgraded to a larger suite for free. When we got there we were welcomed with a card, chocolate strawberries, rose petals in the bath and a hand written Happy Honeymoon note on the window! The hotel itself is so beautiful and our suite was stunning. The bed oh my word.... it was like sleeping on a bed of marshmallow angels covered in caramel and we seriously are considering purchasing the pillows.   We did not opt for breakfast as it was something like 45 USD pp! We did however take advantage of the free nibbles in the bar area from 5:30-6:30pm with an amazing cocktail. We ate at the Michelin star Jiang-Nan Chun",5,0.9891
"The four seasons know what's important. Luxery Bedding, Good Food c/w a full range of amenities. The hotel might be considered a little out of the way to some. There is a large luxury mall 5 to 10 minutes walk from the mall. Taxis are reasonable in Singapore and you rarely wait more than a minute.",5,0.5719
"We visited Singapore to celebrate my daughter’s and husband’s double birthday. As we always prefer to stay at Four Seasons, we booked here. Their concept of hospitality is miles ahead every other brand. We were given an amazing room at the 18th floor and when we arrived everything was ready without even requesting for an early check in- the hotel was full due to Chinese New Year (early check in at 12:30pm). A great surprise was there for the birthday people as well (check fotos attached). The view was amazing, the bathroom was amazing, the ambience was fresh and clean.  Breakfast was complete and I still cannot forget those divine cranberry muffins. We also had dinner at One Ninety once. The food was good but what I have to say is that we ordered plain kids spaghetti with",5,0.941
"each and every member of the staff we encountered ensured we were taken care of and did so with a smile. if i had an option, i would stay at a four seasons in every city we travel to. the location was perfect for us to go do tourist things as well as to quietly relax in a very quiet and serene location.",5,0.9512
"Our stay here would have gone extremely well had it not been for the receptionist who tried to give us any room and not to our request when we first checked in. He tried to convince us that he had no available rooms at high floors as we requested but after an hour of discussions "" he found one"" and it was excellent.",4,0.7681
"From the greeter who met us at the airport and the driver who drove us from there--seamless entry on our first trip to Singapore. Everyone at breakfasts and dinner at One Ninety so friendly. Excellent food at all meals. Breakfast buffet rates at the top of our international 5 star hotel list. We loved our suite #1007. Spacious. Great view. Love the bathroom. Bed and bedding SOOOO comfortable. We were there for a birthday (it was acknowledged with a cake to the suite, and cake at breakfasts and dinner). Chines New Year Lion Dance well done and a lot of fun. VIP service. Concierges were great; helpful with every request. Front desk friendly at checkin and departure. We will return!",5,0.9932
A wonderful experience with top service. The housekeeping staff giving me a mouse mat off their own bat when they noticed I was using a laptop was exemplary proactive service by a hotel that clearly prides itself on taking the best possible care of its clientele.,5,0.9628
"Four Seasons Singapore is the perfect combination of a top class hotel with all amenities for business and leisure, yet is still able to retain a very personalised service, creating a sense of homely luxury.",5,0.7884
Began 2020 in Singapore with the very friendly staff from the 4 seasons who really made the stay memorable for both myself and my wife. First class service and such an atmosphere of caring and helping. We will definitely be back! ,5,0.8976
We stayed here two night and had a great stay. We ate dinner and it was delicious. The breakfast buffet was also great. Bed was super comfortable and would recommend this hotel. Great location and good service.,5,0.9828
"Staff were helpful via email before arrival as I had many questions re accessibility of smoking areas, allergies to feathers, etc. Checkin was efficient and painless!  The room was small but clean and comfortable. Staff were genuinely friendly, responsive  and polite throughout the stay  I would recommend hotel",4,0.9735
"everything is perfect...big pool super clean rooms big sofa lovely breakfast time  ..the pool is so clean it's crystal clear i love it ..room decoration was awesome decoration, lighting and friendly staff..they smile everytime ",5,0.9829
"Staying at a few different Four seasons I guess I've come to realize they're just so consistently great, this one was no different. From check in to breakfast to housekeeping, just well done. Loved the rooftop pool as well the pool on the 3rd floor. Great location on Orchard Blvd in a really beautiful area of Singapore. i split my visit to Singapore between the Four Seasons and the Marina Bay Sands. Lets just say I preferred the Four Seasons.",5,0.9616
"From the toys given to my children at check in, to the nappies (correct size) baby products and plentiful complimentary bottled water, no detail was too small for this hotel.  The kids loved the pool (floaties provided), the staff couldn’t be more helpful. Fruit on the club level was fantastic. Complimentary biscuits and sweets for the kids each day.  Location was terrific. Rooms were spacious. Can’t rate highly enough!",5,0.9674
"This was a really great experience. The staff looked after us from the moment we arrived, very early in the morning from a long flight. They provided us with tea and we were able to swim while we waited for a room. The room itself was lovely and the breakfast in the hotel provided almost everything you could want. The best thing about this hotel however was the staff who really went out of their way to be helpful.  We are really looking forward to our next visit.",5,0.9476
"My family and I spent 4 nights at the Four Seasons at the end of a trip to SE Asia and I cannot say enough good things about this property. The staff were extremely helpful and accommodating and really went above and beyond - the cleaning staff did an especially standout job and went so far as to leave personalized notes for each person in my group - I was left a bookmark for a book I’d left open and a friend’s sunglasses were cleaned for her! Rooms are spacious, comfortable and functional, food is delicious and room service was nice enough to serve us breakfast in the evening upon request! Will absolutely return to this property on my next trip to Singapore!",5,0.9035
"Great, great, great hotel.  Fantastic and consistent quality of facilities and service throughout the hotel and great location.  Room was spot on and the service was impeccable from the doorman through to the attendant at the rooftop pool.  A high quality, classy and understated hotel - so if you are looking for a refined and infused experience this is the place to stay.  We have stayed 4 nights and wish we were here longer.  The spa, gym and club house facilities are to the expected high standards as are the rooms and restaurants.  Thank you Four Seasons!",5,0.9824
Stayed with my wife and family in October this year. I had stayed at this hotel several times during business trips and decided to have a seven day holiday in Singapore with family. We were not disappointed in the hotel as everything was first class from check in to check out. The staff are fabulous and nothing is a problem. The rooms are first class and the location of the hotel in relation to Orchard Road is great. We will return in 2020 Mr Stewart Davis Glasgow Scotland,5,0.9327
