Review ,Rating,Polarity
Really good and great service!! Alan was of great help and very professional. My family and I were very pleased!!! I would highly recommend to anyone that wants to have a nice afternoon tea with a splendid view.,5,0.9824
"First of all, thank you Xugen, Olivia and Stephy for the amazing high level of service standards. It was a birthday lunch for my wife, many thanks to Clifford Pier for the complimentary birthday cake. The teh misu dessert is a must try! Highly recommended for couples or a place to consider for wedding.",5,0.9258
"It was my mother’s birthday and I wanted to do something special for her. Bharath is really a professional and so helpful, he made sure we are comfortable and get everything we need. He recommended us what to order and also organised a special bday cake for my mother   Thanks Bharath",5,0.9539
Came here for the 2nd time n was served by Loges &amp; Bharath. These 2 staff literally made us felt at home! They shared &amp; explained to us the difference between each Gin n taste. Totally impressed by their dedication in their jobs! Thanks guys!,5,0.8614
"Went for afternoon high tea at landing point to celebrate a friend’s birthday. Though it was pretty packed on that day, the service was prompt and attentive. The seat assigned to us has a great view too!  Special thanks to Lotha, Irene and Stephie for the complimentary birthday cake arrangement and singing the birthday song, making that day a more special one! Great hospitality! Would definitely come again the next time! ",5,0.9845
"Wonderful food ambience and service at La Brasserie, Fullerton Bay Hotel, Singapore. Server Tanesh, amongst many others did a splendid job of catering to our needs and making the dining experience a great one.",5,0.9118
"awesome place! Nice ambience, great drinks, thoroughly enjoyed the experience. Great service from the staff. Nice quiet place to chill with a relaxing glass of gin and tonic.               Will definitely be back again for more Gin and tonic.",5,0.9812
"Had a great time at Fullerton bay, loges was very attentive to our needs and truly a delight. Thanks for the recommendations loges really appreciate the time you took to introduce us the drinks!friendly and good working attitude!",5,0.9651
Food was great and service impeccable from Kumar and Tanesh. We had the rib eye steak for two and thoroughly  enjoyed it. Ambience was also conducive for a quiet couple’s night out. 10/10 will return in time!,5,0.8395
"It was our first time, and we were pleased with their service. Especially stephy and Olivia who have been attentive to our needs throughout the experience. Thank you for the excellent service! We will definitely come again!",5,0.9078
"We went for a high tea at Clifford Pier during the weekend. Nice ambience, comfortable seating and beautiful view. Overall great service from Stephy, Olivia and the rest of the crew!!! Good value for money",5,0.9651
Nice ambience and great service by Clifford Pier's staff! Food is great and there's free flow drinks and savory food. Special thanks to Olivia for taking care of us when we are here. Would come here again for high tea!,5,0.9741
"Thank you Olivia for hosting our high tea. We enjoyed your hospitality. Memorable experience and beautiful ambiance. Well-arranged. Traditional fusion food, good opportunity to explore local flavours. Ciao ciao",5,0.9371
"Amidst these troubled times, this place is a great place to sit back, relax and enjoy a wide spread of food with your favourite teas knowing that all is well taken care of.  Service is also prompt and on point. Thank you for a great afternoon tea experience.",5,0.9607
Very good service and atmosphere for hi tea! Im a vegetarian and there are actually quite a few options for me! I requested for a veg carrot cake and they customized one for me too and it tastes good!,5,0.8054
Food was good and service was great as well! Was here with my sis and she's vegetarian. Staff made sure she have things to eat and help to customize some vegetarian dishes as well :) Atmosphere was awesome as well. Will want to come back here again.,5,0.975
"I had a great dim sum brunch with a friend of mine at Clifford Pier, the food was great, the service was excellent and a nice ambiences. Both of us felt really great with a personal service by the restaurant staff, special thanks to Olivia where she is really attentive and been really helpful for us.",5,0.9844
"Me and my fiancé went to Clifford Pier to have lunch. Excellent food, great ambience and exceptional service from Olivia! Very knowledgeable and polite. She made our afternoon even more amazing. Will definitely come back for her service.",5,0.9446
"Great ambience, I enjoyed the meal a lot! A wide variety of selections, and the staffs are very nice. Definitely would like to visit again:) Oh forget to mention, not is a good time to visit, as not that many tourists coming, the place is quiet.",5,0.9179
Nice layout and attentive staff! We've been trying to book a place for dim sum buffet for a long while and finally managed to book it. Food did not disappoint though selection could have been more. Keep it up!,5,0.685
"We had an awesome night.  The service provided by team sivan led by Lutfi, Kumar and Alan are top notch.  Very entertaining.  Good wine recommendations to pair with food which each of us ordered mixed food -- red meats and seafood.",5,0.9056
The food was exceptional and so was Alan’s service! There was even a pleasant surprise for my birthday. Will definitely come back for many future visits. Highly recommended for a romantic dinner or for family.,5,0.909
We went for afternoon tea. The Clifford Pier offers a good selection of TWG teas and lots of local flavours in the food and snacks. Spacious seating as usual in. One of the better afternoon tea locations in Singapore.,4,0.7269
"Nice ambience and excellent staff service. Food is acceptable with room for improvement. Good spread if local dishes such as satay, chicken rice, laksa, char kway teow and rojak are some of the dishes served in this buffet.",4,0.9287
Excellent food. Attentive staff and excellent service by the service manager and our table staff Mr Lutfi Alan Kumar! My favourite place to have a meal on special occasions or just cause! Highly recommended.,5,0.9149
"High tea at Fullerton Bay was good. The price is reasonable and it comes with free flow drinks and food. Service was really good, Princess served us with warm smile on her face. Service was quick and prompt.",4,0.91
"First time dinning at Clifford Pier, had a great time.Hotel staff, Olivia and Kui Toah was very attentive. Superb Singers to boost your experience.  Utimately,  Stunning place with great atmosphere, good food, excellent service. 👍🏻",5,0.9763
"First time at the clifford pier for the high tea session. Pleasant experience and nice ambience. The staff serving us,  Olivia and Kui Taah, are very friendly and attentive to our requests. Will definitely come again. :)",5,0.9359
