Review ,Rating,Polarity
Received warm and friend staffs and detail explanation on the pastry. So far ambience is nice and quiet. There have variety of pastry selection from sweet to savoury. Quite selections of drinks for tea and coffee selections. It will be good if have more savoury selection as well.  ,5,0.9313
"I booked a night at Fullerton to celebrate my mother's birthday. Decided to splurge a little since my trip to Austria in May turned to ashes.   Check-in was smooth and we were given a room upgrade. One of the staff personally showed us to the room and also informed us that the room was newly refurbished. The room was a pleasant upgrade with a view of the quay and was nicely decorated with balloons and a slice of cake (a thoughtful gesture indeed) in view of the occasion. If case you are wondering, you would have no issues watching Netflix as Chromecast is available :) There's also a nice big tub to fulfil any bath bomb fantasies.   We headed to the courtyard for high-tea after putting down our things. The club room is closed due to Covid-19 (a bit of a pity) and the high-tea and",5,0.9169
It was a pleasurable visit at the Courtyard with very attentive staffs serving us. The food and teas served are fresh and tasty. Nice environment to spend the weekend with families and friends. Kudos to the team. Will visit again in the future.,5,0.9349
"The restaurant staff had been very helpful from appointment till actual day of visit. Sherlyn, Julian and especially Lalikumar had made my birthday experience a very enjoyable and heart warming one. They were very sincere and meticulous in preparing the food according to my dietary restrictions and also a gluten free birthday cake for me on the house! Customer service like this is really something that I value and it really exceeded my expectations of hotel customer service levels. I'll definitely come back here again when the circuit breaker is lifted. Thank you for slotting us in at the last minute and making our last dine in such an unforgettable one. See you soon again!",5,0.9724
Very Friendly service by Lalikumar. 👍🏻  Requested for gluten &amp; dairy free high tea &amp; a complementary gluten free Birthday cake was served for my friend’s birthday. Tea/coffee were refillable. High tea items(savory &amp; sweet) were refillable as well. Both of us was given a photo each that was taken on the spot.  Had a wonderful experience here. Highly recommended!,5,0.9537
"Service was great. The manager Lali Kumar was attentive and provide great recommendations for the extensive tea menu. Food were not great, limited pieces for the price but the service made up for it. Overall a good experience. ",5,0.8964
"Every dish was delicious and service provided by Yvonne and Pearly was attentive and atmosphere was good.  Especially, my favorite dishes were bird’s nest soup and roasted pork.  Dessert was also nice.  Price was reasonable enough.  Will come back again.",5,0.9132
"It was my first time dining in this restaurant. Prior to my booking at the restaurant, Alan had showed great  patience when I was uncontactable several times  due to my work. I felt extremely thankful towards his patience and professionalism to assist me with my changing requests.   While I was In Jade Restaurant, I was served by Yvonne and Joppy. Their service were superb and were friendly to approach. They’ve made great recommendations and facilitated requests made. The food at Jade was delicious and the restaurant’s ambience was great. Will definitely be back to dine again!",5,0.9852
Nice place. Food selection is great. Very nice good.Good customer service. Very quiet place good for family. Yvonne and Joppy was very detailed and helpful thru out our meal. Glad to be here. Will return again.,5,0.9597
"For real. The food was quite affordable for its quality, the spread was fantastic and the staff (Joppy and Yvonne) were excellent friendly and really attentive. Most of all, I loved the atmosphere, very airy with high ceilings and well spaced out. Beautiful bird wallpaper!",5,0.9681
