Review ,Rating,Polarity
"We attended just before the travel restrictions imposed due to the corona virus. The staff were very friendly and helped us to book attractions as well as giving us some masks. They always helped out with getting taxis and giving us information. The bed was a bit hard but they provided a mattress topper which helped. We stayed here for five days and on two of those, they forgot to bring us toiletries. The tv remote batteries had to be replaced as the cursor did not work. It was good that you could use youtube on the tv.There was an electrical problem in the room as every time the light switches were flicked and the tv was on, it would make a cracking noise and when my partner touched an adapter near the tv he got an electric shock. They did have someone fix it the next day which",1,0.3912
"Guess doing a staycation this time is tough but it shows how well the hotel management is trying to cope with the quick changing situation. I managed to stay in both a club room and also a family room. The Club Room was on Level 5 which has direct access to the pool and a nice courtyard (other club rooms are on the higher floor), the family room had 2 queen size bed and a bathtub which was great for the kids although the room design is a little dated. They have themed rooms which I think is much better, so will try those rooms next time.  This staycation was actually a birthday celebration for my girl and they were very nice to give a complimentary slice of cake and also some balloons too. Kudos to the team.. As for the Club Lounge at the Waterfall Lounge, very simple canapes",4,0.9828
"The worst receptionist ever,  they MIX REGULAR GUEST AND ISOLATED CASE ON SAME FLOOR?  irregardless what they claimed they are extremely clueless to what they're doing.  Thrash of these isolated people are left out of their room the whole night with their used plastic container left on hall way...  The sudden log book , conveniently placed in case these isolated people goes out.  Reception lied , claimed constant housekeeping spraying disinfectant, NONE HAPPENED, in fact both on 26 and 27 at 0845 a note was slipped under the door ""receipt written was here at 1300""   *photos of isolated guests used thrash from their meals left out on the hallway entire night.  Bento box order form for this isolated people.  Gym log book for two days was not updated nor checked by hotel staff. So",1,-0.9624
"We are both disabled, my partner is totally blind and I am in a wheelchair, which can make travel difficult. But from the time we got out of the cab we wanted for nothing, the staff were all amazing, so helpful and considerate, they have ramps up to the resturant . I really must mention 1 member of staff who went beyond the call of duty, Sanjiv, he even accompanied us to the airport and got all our luggage booked in for us and he also bought us a cup of tea, thank you so much, we will never forget you and our stay at Furama RiverFront. ",5,0.8501
A stopover before heading back to England has given us a great oppurtunity to stay in this wonderful hotel. Lobby structure was extraordinary and the facilities built in it living up to it's expectations. Stayed in the deluxe room and the city view from 16th floor was awesome. Check-in was pretty quick and was attended by Sanjiv as he was very friendly and accommodating. Sanjiv's above and beyond attribute to help us get a room immediately knowing me being pregnant was a beauty of his hospitality nature. Would never forget this trip and certainly to return to this place for longer stay.,5,0.9833
"I had to cancel my booking with Furama RiverFront Hotel due to not being able to enter the country because of Coronavirus restrictions.  Even though this was done at the earliest time when this information became available, they have decided that I am eligible for a refund.  This does nor sit well with me and in good faith I can't recommend your book with this company. Unfortunately I have no idea what the hotel was like, they wouldn't let me into their country.",1,-0.0834
"I booked this because it was promoted as a “ newly renovated hotel “ on Agoda and the pictures looked good. It also said there was a city view. All a huge misrepresentation.  When I checked in, I asked if I could have a room in the new block but they said they were fully booked (yeah right).  I went up to the room and was shocked by everything. Even though it was non-smoking, the moment you step out of the lift, the entire floor and room just reeks of stale cigarettes. The room furnishing is so old and nothing like the photos. Floor carpet looks gross, bath tub is yellow, view is terrible.   I went back down and asked if I could change a room because of the smell, they again said they can’t do anything about it. It’s the first time I ever encountered such unhelpful staff in a",1,-0.9241
"Initially we were meant to stay in the classic rooms but it’s just too run down. The executive room however was amazing. The best part of our trip was definitely the staffs. Every point of contact I felt welcomed. At the check in, the lady was extremely pleasant and assisted every step of the way. However the best part for me were the 3 staff(syed,Sanjiv and a lady in the picture). They were very welcoming and brought smiles upon my husband’s face especially since it was his birthday. It’s the small touches that made his day and honestly so happy to see such kind and happy faces greeting us with a song. Thank you all! Besides that the room was incredibly large and comfortable . Overall I would recommend a stay in the executive room, not the classics",4,0.9978
"I was staying in Furama Riverfront Hotel recently. This hotel is located just a stone throw away from the Clarke Quay which is teamed with upbeat international restaurants and also watering holes for the yuppies.  This hotel has a very nice cafe with a very a garden as backdrop and a small waterfall This hotel provides a good spread of buffet breakfast at a very reasonable price and also a huge swimming pool which is well maintained. The staff in this hotel is well trained and helpful despite the fact that there must be a cutting down of staff during this season of much uncertainty. I would like to specially highlight Miss Lisa, the hotel manager who has been especially helpful and professional in ensuring that we have a good stay in this hotel.",4,0.9661
"Everything was great especially your swimming pool. My kids really enjoy themselves. We are a frequent staycation family, by far your pool is the best! Plus all the staff are friendly &amp; helpful. Our late check out request was granted without much question asked! Thank you Furama!",5,0.9725
Had a 2D1N staycation with friends in the family room. Bed was very comfortable but limited TV channels. (Only local channels) Ants started coming after we placed our snacks on table. Toilet had a foul smell. Breakfast was good and very crowded. ,3,0.6653
