Review ,Rating,Polarity
"Very comfortable hotel, nice staff, totally in downtown you can reach all of major interestings destinations from here andahave a very comfortable return. Rooms clean and quiet, nice external gym very professional staff. I think it is one of the best choice in Singapore.",4,0.9653
" 5 star location   5 star service,  5 star Customer Care  5 star attention to details 5 star CSR  Better than most 5 star hotels   Location Excellent location near to MRT, bus stops, market, shopping centre, temples, churches , art centres even hospital   Its possibly the only Ibis that gives u everything u need. TV mini bar, kettle , free coffee tea , iron and ironing board, free bicycle, free phone, free refill water , special pillow request, u name it they give u  So much effort has been put in with regards to their CSR, no plastic water bottles, they give u refillable glass bottle, no plastic tubes of shower and soap but dispenser type. Free bicycle to encourage u to reduce carbon footprint and exercise, out source gym membership, even pens are made by some children from A",5,0.965
We have enjoyed our stays at ibis Singapore on Bencoolen Hotel when holidaying in this beautiful city. It is located very close to the city centre and is a very modern hotel with very comfy rooms and delicious breakfasts.,5,0.9122
I found this hotel to be awesome - arrived early and they let us check in early - staff very helpful - they booked tours for us - the buffet breakfast was great so much to choose from. Rooms very clean and tidy and the cleaning staff so great they even made a dog out of towels put on the bed with a note wishing us a lovely day. Close to markets - 7-11 next door - just awesome.,5,0.9821
"Stayed a week at Ibis Bencoolen. great place, service, location. Lovely bed - large queen - very comfortable. Had hanging space, shelves, iron, ironing board, hair dryer. excellent bathroom - hot water. Great brekky/service - all the variety you can imagine - incl teryaki chicken for brekky!! - No we couldnt!!   WOW.  Also special omlette chef - very special. Also Indian, Japanese, Asian as well as traditional eggs/bacon, baked beans, tomato, hash brown, pancakes, pastries, etc,  fruit, teas/coffee, milo. Only downside was,  we - coming from a warm place - had trouble adjusting to the cold of the hotel - and many other places in Singapore. Recommend you have something warm to wear!! We did take advatage of an ACCOR special deal - 30% off incl buffet brekky. Within 10 minute walk",5,0.927
"Nice basic hotel in central Singapore, close to all amenities. Nice room with everything you need at hand. Good buffet breakfast with choices to suit most nationalities. There is a restaurant and bar which serve reasonable food, but Singapore offers so many choices of food outlets , we only used it the night we arrived. We used the bar a couple of times, but the seating was in the same area as the restaurant and a bit basic. The staff here were really pleasant and helpful, and coed well with the stress of the corona-virus hanging over everyone. All in all a good base to use in Singapore.",4,0.9561
"On arrival, slightly disappointed by harbour view room, which seemed dark and felt slightly cold and damp...but we'd kept our promise to bring much-need rain!  Hotel pretty well placed and taxi rank right outside, which is useful.  Room rather 'basic' and small in size but adequate. As clean as you'd expect of this chain and a well equipped room, with TV, iron and ironing board provided, fridge, coffee machine and kettle with tea-making facilities.  Also a desk and chair.  Free wifi in the room until you check out...so make sure you've done everything you need to do before you check out! Beds were comfortable but very lightweight so every time I went to sit on the edge, it moved a few inches! Bathroom also very small and no bathroom stool but bath sheets a good size and hand",4,0.9843
Second time staying here. Great location with 4 MRT stations within easy walking. Smallish rooms but well set out..very comfortable bed with soft linens. Housekeeping by Nancy superbly and efficiently done every day..usually all finished on returning from breakfast. Breakfast hast a good array of different cuisines. Check-in/out very efficient/friendly. Only downside is there is no pool. Will definitely stay here again. ,5,0.9506
"Best service ever!! I stay with my friends on my birthday and the hotel staff gave a surprise gift.  The room is clean, not big but still okay.  The bathroom: clean and need more toiletries.  Need to upgrade the refrigerator, not cold at all.  Nearby Area: you can find minimarket 7/11 beside Hotel, across the road have small restaurant that open till midnight and Korean Supermarket. Walk few minutes you will find Albert Court food court, best place to find having breakfast or lunch.   All the minus paid because of good service...  Thank you Ibis Bencoolen, especially for Heme, Farah and Durges   ",5,0.9806
"The hotel is far from MRT though they have shuttle service but you have to follow their timings. The corridors at night is noisy, we called the reception for how many times and they cannot do any thing about it. We even place a silence sign for us to have a good night sleep. Nothing to boast about this hotel. It’s typically designed and far from MRT and subway.",3,0.4215
