Review ,Rating,Polarity
"It was a staycation, as we had credits to use up before the end of March. Check-in process was relatively long and there were two staffs handling the process. We were introduced to their mobile app - it comes with a 'bluetooth' room key, which was supposed to allow access to the elevators and the room - it failed a few times. There was a moment we got stuck in the lift because the room key did not work after we left the hotel to explore around.  Temperature checks were placed at the entrance. There were sanitisers too.  Location was superb.  Convenience stores were about 50-60 metres away, and there were loads of food options. Grabfood works perfect too.   The rooms were spacious. We also appreciated that our rooms had two basins! The workstation was awesome too - the only gripe",3,0.9392
"Booked the room in the morning and checked in at 3 in the afternoon. Flawless check in process, was greeted by lovely swans and a chocolate cake as they knew we just got married. Due to the pandemic virus Our honeymoon to Turkey got cancelled but Mandarin Orchard simply made us satisfied with their service and wonderful premier room!",5,0.9279
We booked this staycation during the worst time as the covid19 restrictions were in place. At first we were apprehensive about going as we do not wish to contract the disease but the hotel manager assured us of the many precautions that they had undertaken. The temperature screenings and declarations were cumbersome but yet necessary. I just hoped that better crowd control could be done to ensure guests do keep their distances as we had someone cough and sneeze just a few feet from the next counter from where we were checking in.  We were impressed with the whole check in and welcome process but the room decor was underwhelming and dated. We did like the city views tho. The breakfast was changed from a buffet to ala-carte which we know was due to the crisis but it was served,5,0.9475
"We started on a lower floor but booked more nights and were upgraded to a room that had been recently refurbished. The higher room had a shower, whilst the lower room had a bath with a shower in it. Both were nice big rooms with all the facilities you’d expect and we upgraded again with an additional payment to get into their club area which due to refurbishment was on the ground floor adjacent to the bar and buffet restaurant. The hotel was very empty due to Covid-19 and we were heavily outnumbered by very enthusiastic staff. The buffet in the Triple Three restaurant looked magnificent and was clearly very popular with locals but there was too much food there so we opted to dine in the Chatterbox. This was excellent and I’d happily recommend it and a stay at the Mandarin where",4,0.9857
Had a much needed staycation for myself post birth and the staff there were very kind and helpful. Took up the promo for an upgrade and had zero regrets taking it up as the room was located high up and was spacious and clean. Loved the location. Had a good R&amp;R! Thank you! ,5,0.9504
"Many thanks BLAIRE LEE. Very good service. Excellent!!!  She helped me for my work, when I cannot go out at night. She spend her time for help me👍 Thanks you so much. You have a beautiful heart. Thanks you  ",5,0.973
It located right at center of Singapore Orchard Road; and easily accessible for great food and shopping nearby.  Superb service and attitude by hotel staffs. The restaurants in this hotel served quality food. ,4,0.891
was expecting more. hence disappointed. but best to go without expectaions.  very different from my last stay. that is why i have chosen my birthday staycation here. but many things / services are different now,3,0.6819
"We bought this deal, Run of house, way before the Covid19 breakout so it was more pricey compared to the price in March 2020.  The location of the hotel was superb. It was literally in the center of Orchard, so it was a walking distance to many places in town. But because of Covid19, we stayed in most of the time except to head out for food. The gym facilities were not too shabby, it was pretty spacious.   The bathtub was smaller than expected, and it was placed together with the shower head. The room itself was pretty spacious.  Housekeeping was done twice a day, so that was unexpected too, but thoughtful. Room service was quite slow, had to wait almost an hour for a bucket of ice and 20 minutes for a wine opener. But I think it was because of the Covid19 situation hence they",4,0.8462
"It was my first time having a staycation in Mandarin Gallery. However during the check in process , the staff are not aware of the promotion of the reservation. The check in process took a while before we are checked in.  The next day we had a breakfast at Triple 111 in the morning, we have ordered the American Breakfast Set and then the baked beans they served to us had turned bad, it tasted sour and spoiled. We informed the service staff and they took them away and that's it. Nobody came back to let us know what had happened.   Overall the room and location was good however with such experience at the check in process and restaurant, I will not book here again.",1,-0.1531
