Review ,Rating,Polarity
"With travelling restriction applied, the only way to have a short breakaway was to do a staycation in Singapore. Spending a night at Skyline studio room was a decision that we never regretted. The room was spacious and the view was marvellous.  We were first welcomed by staff Tommy who did a detailed introduction in explaining to us of the facilities that is within the hotel. His choice of words and his tone made us feel extremely welcome to the hotel.   Apart from the rapid process of checking in, another memorable experience was dining at the Skyline Lounge. Most of the time, we were served by staff Malek who greeted us by our name. I have to compliment him for his superlative service. Despite of his business, he never fail to check on us repeatedly to cater to our needs. ",5,0.9729
"We are group of people from Initial Hygiene stay at one Farrer hotel during Malaysian Lockdown. The hotel is fantastic and staff are so friendly like Karen from concierge, and Mila from front office. Thank you for taking good care of all us during this hard time. If have opportunity to come back sure this will be the hotel I choose again. Thank you",5,0.984
"Had a staycaytion here. Location was perfect for walking to everything! Staff was helpful and breakfast was great. Room was perfect for my partner and myself. Good relaxing break! Friendly, welcoming staff. Would like to take this opportunity to thank Tommy Liew for patiently explaining all the hotel's facilities to us. Very good location for city centre and local transport. Overall an enjoyable stay. Will definitely be back! (:",5,0.9936
"Came for buffet dinner with my family and the food was good although the variety is a bit small. The quality of the seafood was fresh and I particularly enjoyed the oysters! 😋 The service of the entire team was impeccable. Fadhil, the staff who served us, was observant and meticulous. He noticed that I didn’t have a dessert spoon and brought one over for me. He was also very polite and cheerful. Thanks for the great service! It made my family’s dinner that much better. 😄",5,0.9773
"We have stayed at One Farrer Hotel twice and would go back again. It’s about 20 minutes by Taxi. The rooms are large with a decent size bathroom. The breakfast is plentiful with lots of options and room service and pool bar is also excellent. What I really appreciated is that on our second stay they allowed us to check in very early at no extra cost as we wanted to self isolate due to the caronavirus that was becoming a pandemic. Staff were all wonderful. The pool is large enough to have quite a few people in it, so it’s a great place to stay for a few days where you can relax by the pool and have a few cocktails.",5,0.99
Mirza has superb excellent service. He went out of his way to provide us a birthday cake for our friend and always served us with a smile. He had a good sense of humor and attended to our needs! A place worth visiting! :),5,0.9837
"Overseas trip is, of course, not possible during this period of the evolving COVID-19 situation. One Farrer Hotel offers reasonable rates, with extremely clean and good amenities for a local 5-star staycation.   In particular, I would like to commend Ms Harmony Huang, one of your front desk executives. She had made the experience a more memorable and pleasant one. The service rendered was first-class, with much thoughts and considerations made for us.",5,0.9895
"Staffs and chef was very helpful and attentive. They provided kids cutlery, baby chair etc.  Location near farrer park Mrt with near by shopping mall and 24hrs Mustafa just 5mins walk away from farrer park hotel.",5,0.953
"We stayed over at One Farrer as a staycay with my friends and the hotel service was so good. Everyone was so friendly and they accommodated to all our requests. Staying at the 18th floor, we had very convenient access to the lounge and was served by Malek. He was so nice and so good and was so friendly. He explained the hotel’s facilities to us and was super fast in serving us , refilling our drinks and he was so friendly. Will definitely come back again. This hotel is so good overall.",5,0.9863
"Wanted to support our local hotel by returning for a staycation at One Farrer Hotel. We opted for the Skyline Lounge package and was very delighted with the excellent services provided by Mr Malek and Mr Guna at the lounge. This is our third staycation in this hotel and we have been very impressed with the hotel facilities and services. The room is very spacious with free complimentary mini bar. We enjoyed relaxing at the swimming pool, working out at the gym. Strongly recommend this hotel for a wonderful family staycation.",5,0.945
"Great 5* hotel, all the amenties you could need and next door to the MTR which is essential in Singapore due to the heat and humidity. Rooms are very good with automation for lights, blinds and mood settings next to the bed, so no need to move unless it was my turn to make the tea ! But the best feature of the hotel was the staff.... super friendly, efficient and helpful. Situated in Little India, 2 stops to the main tourist hub of Clarke Quay",5,0.9463
"Wonderful service as soon as we arrived, extremely clean Hotel and rooms. So easy to catch the MRT from the hotel. The Loft room was very spacious with t.v's both down and upstairs and a big comfy king size bed. The staff are very helpful and I would like to to say a big Thank you to Yong ( I hope I got your name right) who took care of my partner and I as soon as we arrived. Would highly recommend One Farrer Hotel to anyone staying in Singapore. ",5,0.9893
"(+) : - Strategic location, just right beside Farrer Park MRT station. Around 5 to 7 mins walking distance. - Booked Skyline Studio room, it was spacious, nice ambience, cozy and very nice room to stay. - Super friendly staff. Good credit for Fadhil,  18th lounge staff. - Good service  - Food is very tasty - Good amenities, there is shopping mall nearby (City Square Mall) within 10 mins walking distance. - Nice swimming pool.  (-) :  -  Requested for late check-out at 2pm, it was approved by the Check-in staff, however on the last day i was not able to enter my room (the card was not working), i need to go down to lobby at 1st floor to reset the card. However overall, it was a enjoyable and memorable experience. We will come back again one day.",5,0.9897
"This hotel was fantastic, the staff were very friendly as well as having a great buffet breakfast which was separated into countries of the world to be able to try different foods from different places which I thought was a great touch. The rooms on the lower floor can be a little bit loud with events that are happening in Little India but otherwise a great stay! ",4,0.9575
"My wife and I recently returned from a weeks break in Singapore and One Farrer was our choice for accommodation. The hotel is located on the northern edge of Little India, right above the Farrer Park Metro station. It met all the requirements for a 5 star place to stay. The building was modern, clean, well appointed throughout, all the staff we met were really friendly, and the breakfasts were superb. We started most days with a swim before breakfast and had the Olympic length pool to ourselves. The taxi from the airport dropped us right at the front door on the evening we arrived and we experienced 2 of the best hamburgers we have eaten, anywhere in the world, poolside at the Sunset bar. The room, on the 15th floor, was luxurious, very comfortable king sized bed, quiet with a",5,0.986
Decent buffet with different food choices! My kids enjoyed the dessert spread especially the icecream from udders! Restaurant was crowded but service staff were attentive with refilling our drinks and clearing the plates..,5,0.9883
"Had a budget to spend dinner with colleague and found this restaurant offering buffet in eatigo.We weren't expecting much except an eat your heart out buffet dinner.  This restaurant serve good food...but more importantly the excellent services. most buffet dinner, all setup was there and mostly self help...most is clear platea. This restaurant did it must better. Their staff is unusally friendly, they keep coming around table to clear plates (most restaurant did that), top up their calamansi drinks and water, responsive...a 5 stars level service for buffet.  We were served by Mr Arjun, he is very attentive and courteous...very professionally train service personnel.  Please visit it yourself to experience this happy environment.  Thanks Escape! Thanks Mr Arjun!",5,0.8904
"I have stayed in this hotel on 5 separate occasions and always look forward to my next trip. Rooms are comfortable, hotel is clean, staff are friendly, facilities (wifi etc) work well and the pool is wonderful.   In particular I would like to mention the team that work in the Skyline lounge. Malek, Guna, Fadhil and Joni were so professional, competent and kind. They are certainly amongst the best staff I have encountered in any hotel around the world.   To summarise, it is a great hotel, well located (if you like being close but not right in the center of the city) and highly recommended.",5,0.9896
The hotel location is excellent for Indian travellers as it is located in Little India where you have ample of options for Indian food. Very close to Mustafa centre. Downtown and CBD area is also not far away and best this is this is just 2 mins from Farrer Park MRT so very convenient to move around. Rooms are a bit small but comfortable do opt for their Upgrade which included Lounge access. ,4,0.9846
"We stayed 4 nights in a Skyline room. Most comfortable bed we have ever slept in, great view. Room was very large on the 18th floor. No noise from outside. We used the executive lounge for breakfast and on an evening for drinks and a bite to eat. Only small selection of food but all very good standard. The staff in the lounge are first class Gunna, Joni and Malek. All are a credit to the hotel. We will stay here again when next in Singapore.",5,0.9729
"Simply awesome! My sons loves it. They dont even want to go shopping. No keycard slots just using remote only. My kind of a holiday trip.... big rooms with spacious bathroom. Deep bathtub, friendly staffs and great food!!! ",5,0.9392
"Service was great,staff was so helpful and accomodating specially Malek who always offer us great service. Would come back here again for sure.good food and dessert. Nice ambiance and staff was so cheerful specailly Mr Malek",5,0.9857
Would like to complement Mr Malek for his excellent customer service. Will visit again soon and will recommend to my friends for this restaurant👍👍👍Thank you for the good service and variety of choices of food,4,0.9577
We arrived at our hotel very tired and a little late as our flight was delayed. I had booked 2 beds when we got to the room there was only one. They had none with 2 beds so they upgraded us to a beautiful suite. The reception has to be the best I have ever experienced. The breakfast was delicious and the choices were endless. Thank you for a wonderful stay!,5,0.945
"We had a staycation for the weekend. Check in process was smooth, the staff is very polite. The room is very spacious and luxurious. I love how comfortable their bed and the pillows. The bathroom is very clean and has a big bath tub. We had the breakfast the next morning, it was delicious with a generous spread. Definitely will come back here!!",5,0.925
Great location right above Farrer Park MRT. 24 hrs shopping at Mustafa Shopping centre right across the road. Famous chinese eateries all within 1km radius of the hotel.  Free parking and also loving the teochew porridge supper at the hotel restaurant. Spacious room as compared to other city hotels within the same price range.,5,0.8799
"I have stayed here multiple times for the past few months and this review is long overdue. This Hotel have a good product, located convenient to MRT station and the next door hospital. It has all the amenities that a business, medical or family tourist needs. The spa with Japanese Onsen style, the pool, gym, business centre.   Breakfast is great with a wide variety of food and there's even local Udders ice cream now! It's quite sad that some of my favourite items from the buffet are no longer available though... Like the fruit compote...Hope they can bring it back.   The stars of this Hotel are definitely the staff. The Concierge, Reception, Communications, Housekeeping and Restaurant employees are the best and the Hotel is so lucky to have them. Some of these people are Mila,",5,0.9365
Stayed here with friends last week. Hotel is 10 minutes taxi drive from Marina Bay. Rooms were very comfortable and clean. Stayed in big room on top floor and views were amazing. Two pools both very clean with guest pool towels. Breakfast very good with varied choices. Would definitely recommend a stay here!,5,0.9195
"We booked an Urban Den Room with no breakfast for this stay as we were heading for Halloween Horror Nights which would end late and the location was centralized enough for us to get to and from Sentosa (5min walk to Farrer Park MRT).    Room was comfortable and did not show any signs of wear and tear from my last stay a few years back. Mini bar remained complimentary with tea, coffee and snacks. Toiletries were all provided by the hotel as well. Reached the hotel and wanted to check-in earlier however, was told the room wasn't ready and late check out wasn't possible as they are running a full house. Nevertheless, was still given the room 10min before check in time.   Tv remote had some issues and technician came to fixed almost immediately but channels were limited. However, Tv",4,0.7609
"a good deal buffet more options dinner western and asian food seafood fresh. lovely desserts options as well. cheese platter options, salads. ambience was great. very easy to find nearby mrt farrer park walking distance.",4,0.9389
"The food is really good. The fresh pasta and sushi bar is superb. Ambience is fantastic, the open kitchen is a plus.   I would like to commend Sophia and Melek who assisted and attended our needs during our dinner.",5,0.766
"Food and place is good with a great service from Sophia and Malek. Will surely come back and celebrate with friends again. All staff we're friendly and approachable. I love the sea foods, pastas and dessert sections.",5,0.8529
Great food! Excellent Service esp Malek and Sophia..  I love the bread!!!😀😀  Nice ambiance!! Accomodating staff!!  Keep it up!!! Thank you so much!!! 😀😀👏🏻👏🏻👏🏻 Worth the experience!!  Good job guys🎉🎉🎉,5,0.8125
"Great place for get together with friends.Ambience is great for big groups, family, and friends alike. Food is also tasty-- cooked fresh while you wait! Malek and Sophia has been very friendly and accomodating to our needs. Good job! :)",5,0.9693
"I have stayed at One Farrer Hotel twice now in February. Everything exceeded our expectations. The concierge desk was exceptional and helped us look around the hotel prior to booking our first stay and were very helpful the second trip. The rooms are updated, clean, and very comfortable. We stayed in a mini suite the second trip.   We selected One Farrer Hotel the first time because of the pool, convenience to transportation, food selection, and friendly helpful staff. This second trip the service and overall hotel quality was even better. I have a very young grandchild and the pool was the perfect temperature for him. My son lives and works in Singapore so the convenient MRT made it possible for my daughter-in-law to come with my son, have an amazing breakfast and then go to",5,0.9585
"Celebrated our Valentine's Day with my 7 mth old daughter.   The F&amp;B Manager, Patrick Venderwall and his team together with Rusty, Richard, Mike, Rhea, Arjun, Joey &amp; Herman were fantastic in ensuring we indulged in the experience.   The menu was curated well and the courses were paced well, without rush. Food was fresh and special Compliments to the Chef for the steak. It was immaculately prepared.   Myself &amp; Wife (and my little one) enjoyed it very much.   Thank you One Farrer Hotel!",5,0.9049
"Made my Valentine's Day Poolside Dinner Booking via F&amp;B Manager, Patrick Venderwall.   Courses were paced well with out rush. Food was curated with an Essence of WoW &amp; Culinary Masterpiece. Compliments to the Chef!  Myself &amp; Wife enjoyed it very much.   Thank you One Farrer Hotel!",5,-0.4119
One Farrer hotel is excellent. Our room was spotless and had everything we needed. The bed was very comfortable and the room was nice and quiet.  The location of the hotel was a little bit outside the centre of Singapore but so easy to reach by the metro. I’d definitely stay again.,5,0.9956
"The stay at hotel was amazing. We were taken care nicely,right from Check-In without any delay to Checkout.The facility was clean and had an advantage of being very close to the metro station. The Indian restaurants were at walking distance too. Would definitely recommend to stay here.",5,0.987
"It was an unforgettable experience staying at the Skyline Studio.  The room was comfortable, big neat and clear. In the Skyline lounge, which is the best I have ever used! The staffs were friendly, especially Ms Joni Ng who provided an excellent and helpful services, always courteous!   The location just next to MRT, really easy to access another place.  This was my second time to stay at One Farrer, and I would highly recommend the Skyline range for this hotel!!",5,0.99
"Loved the rooms despite it being small. Super clean well equipped and nicely designed rooms with great views. Cool Japanese-y robes. Lobby and entrance has little character and feels like entering an office building. The nicer pool and restaurant is for club level access only so that was a bummer as we tried to enter given that it’s on our floor. Next to a hospital so location is meh, but the mall across the street has lots of good food options.",4,0.9873
"Great food choices and quality. Definitely come next time again and recommend to other people. Great service by waitress Liyana, Wanyee, Khea, and Chef Cheeng Long. Calming and classy atmosphere in the dinung area. Friendly chefs.",5,0.9209
We went there during the Chinese New Year period . It’s provide wide range of food &amp; pastries etc.. the staffs provide great services &amp; friendly. Value for money (1-1 deal) keep up the good works 👍🏻👍🏻,5,0.957
"We stayed here for one night before our flight home.  An amazing hotel and really pleased we paid the extra for a Skyline Room which includes access to the Exec Lounge, separate gym and pool.  The hotel staff were amazing! Our flight wasn’t until 11.30pm after we had to check out by 12pm so they let us have the room until 3pm and use the Exec Lounge until we left.  The Lounge is the best I have ever used! It includes fives meals a day which we used even after we had checked out. In fact we didn’t need to buy dinner for two nights and the food on offer was so good. The staff in the Lounge are so attentive and helpful and def make this Lounge stand out.   I would recommend this hotel and paying that little bit more to get a Skyline Room. ",5,0.7283
"Good location next to Farrer Park MRT. Friendly and helpful staff, well appointed room, comfortable bed, good quality breakfast. Value for money for a convenient city location. This is the second time we have stayed in this hotel. ",5,0.9786
