Review ,Rating,Polarity
"Last month, my wife and I, on a 30 day trip through SE Asia, had the pleasure of staying at the Pan Pacific Serviced Suites (Beach Road) in Singapore.  Singapore was our first stop on our odyssey.  My wife and I are frequent travelers and the one thing we know is that one of us (me) gets up much earlier than the other.  Especially after 24 +/- hours of traveling!  So, we were looking for an apartment-like arrangement when we found the Pan Pacific, in the very area we were hoping to stay.  Our room was perfect, with separate sleeping/living areas.  Plus, a kitchenette and washer/dryer.  The hotel is directly across Beach Road from the Arab Quarter, with all of its bars, restaurants and shops.  And an easy walk to a myriad of places to go and things to see.  Including Sun Tec City",5,0.9806
"Stayed here for 5 nights in January. We found the suites very spacious and well equipped. Service from staff was good and rooftop pool really nice with panoramic views.   Breakfast area is very small with limited options but was still adequate to get the day started.  Location: we found this to be be perfect for us. Walking distance to 2 MRT stops (5-10mins), theres a 7eleven right outside and the Hajji lane area is right across the street with plenty food options.   Overall, good value for money would definitely recommend!",5,0.974
"Really enjoyed the stay here.   It's definitely exceptional -- the room is what you would typically find at a Ritz Carlton or Four Seasons -- it's well laid out and has everything, including a rice cooker!   Front desk staff is superb.   Had a problem with an early cancellation and they handled expertly.   Free breakfast buffet in the a.m. is outstanding.  It's a great choice for Singapore!",5,0.9954
"We stayed before this and we loved it since day one! Great room, good deal and amazing breakfast too!! So we decided to come back for our anniversary staycation! This is by far the best stay I've ever had! ",5,0.9128
"Its hard to write a review when everything about a hotel is exceptional!   We stayed here for 11 nights in March 2020 and loved every minute. The location, staff, service, facilities and apartments are all incredible. The apartment is very high spec with everything you need for a long term stay, more storage space than I knew what to do with it and I think I counted 17 plug sockets.   I disagree with any negative comments on here about breakfast, we always found a table and there was a great range of food with this changed on a daily basis. The highlight for us being french toast.  We can't wait to return :)   ",5,0.9371
"We stayed at the Pan Pacific, Serviced Apartments for 3 nights in February 2020. We had an unfortunate start as our taxi driver dropped us off at the wrong location. Walking to these apartments along Beach Road, we could not see the front entrance, as it's almost like a service road or entrance to a multi-storey car park. The building is, however, clear from the road.  Once inside, the reception was very pleasant and much more glamorous than the approach. The staff were all very friendly, helpful and so on. Screening checks were done in view of the COVID-19 issue and awareness of this situation was heightened.   We subsequently realised that you can get in via Park Royal next door. There is a link between the two, that you can use, once you have your room card. There are plenty",5,0.9488
"Very convenient location. Friendly service. Apartment was spacious and well equipped. Complimentary breakfast and unlimited teas and coffee from their library. Rooftop pool and gym, with fantastic views. One grumble about  the pool - very shallow throughout. I found it very difficult to swim.  I needed late check out as my flight was not till midnight. Would have been great if they did half day rates.",4,0.8316
"Excellent room, nice pool, helpful staff. The only downside is the small breakfast room. I would be very happy to stay again since it's withing walking distance to most sights. There are a couple of handy supermarkets just downstairs.",4,0.7567
"We were well looked after by the staff, particularly Jimmy and Taka at reception. The all round service was excellent and the buffet breakfast set us up for the day; in fact a little too well as I tended to eat a tad too much the first two days! Our room was clean and well appointed with en-suite shower room, air conditioning was essential and worked well.",4,0.7486
"The building is well positions if you like to be in an outgoing area, yet avoid the busy feeling of Orchard Road. The flats are well designed, feel fairly new, are modern with all amenities. They are maintained very well and always feel clean and hygenic. The price-quality is definitely very good and qualifies for a longer-term stay for expats. We had the sea view, which time and time again is stunning.",5,0.9638
Awesome place to stay. I would definitely recommend this. Friendly staff. Great breakfast. Great pool with nice views. Rooms really clean and staff really helpful. I stayed with young kids who also thoroughly enjoyed their stay. ,5,0.9834
"I stayed at 15th floor executive suite. It is spacious and functional with all I need. The cleanness is good.  I am not picky on breakfast, the selection may disappoint some.   The gym and pool are perfect and they are very essential for my business travels. Plus points!  Convenience store is downstairs. I will come back definitely next time, as I have always been staying on Bencoolen all the time.",5,0.9757
"Though the location might not be right on the buzzling area like Orchard but this property has lift up to Pan Pacific standards! The staff were super friendly. The room was so big, clean and well equipped! Breakfast line was acceptional. We will definitely stay at this place in our next visit!!  ",5,0.5023
"We spent a week here as a base for our visit to Singapore and didn't regret it for a second. Conveniently located across the street from the Duo Towers we found that these had direct access to the MRT system, so once we had this figured out getting around was a breeze. The reception staff were always approachable and welcomed you ‘home' with a smile every time you walked through the door. The size of the breakfast room has been mentioned many times, but we found timing is everything here. My one complaint would be that the roof top pool was so cold - even though the outside temperature was in excess of 30 degrees. As a result we didn't bother spending much time up there.  We would definitely stay here again if we visit Singapore in the future ",5,0.886
"We have just enjoyed a wonderful stay at Pan Pacific Serviced Suites Beach Road. We arrived on Friday night and could see the buzz of Haji Lane from our window. Our suite was spacious and very well appointed with every thing you need including full sized fridge, washing machine and comfortable lounge area. The roof top infinity pool was delightful had had a view of the Singapore Flyer. They cleaned our room everyday and provided substantial breakfast 6 days per week (and the most luscious, flaky  croissants from their kitchen). The location is brilliant being a short walk to either Nicholl Highway (yellow line) or Bugis (blue &amp; green line) stations. The only odd thing is the entry. Our taxi driver couldn't find it - you have to drive passed the Park Royal and take the next",5,0.9824
"We stayed here for 3 nights. When we checked in we were upgraded to a Premier Suite. It was immaculate!! The views were amazing!! The staff were all so friendly and helpful. Breakfast was really good also and the times were excellent, 6am to 11am. I would highly recommend this place and it has the most comfortable bed we have ever slept in!!",5,0.986
"When I looked for an hotel in Singapore, I looked for a property who can accommodate my needs without getting bankrupt. The pan pacific serviced suites Beach road was great for that purpose. First, while arriving before check in time, we got a room (plus an upgrade) Secondly, the room is well equipped with everything one need while traveling: a washing and drying machine, espresso machine and a fully stocked kitchen. Not to mention the great views and the great pool. I would definitely recommend staying in this hotel.",5,0.9466
Only have positive things to say. Great service. Clean spacious rooms. The cleaner set my daughters toys daily. Bfast was great!views from the room And pool are spectacular. Would definitely stay here again. Close to marina bay . Suntec city is opposite. Park Royal ws next to us and they had a great hairdresser. Hotel allowed us to check out late as well so that for me is a bonus ,5,0.9863
"almost is said in the subject - hotel is near the perfect place to go out dining where one will find lots of choices. we came for the F1 and it was less 15 minutes walking distance from one main entrance. rooms are large and beds are comfy. rooftop pool really impressive and beautiful with nice view (but it would not hurt if it would be heated). staff overall really smiling and helpful (perfect Front Desk) , good Housekeeping. I would have noted the place a full 5 if the breakfast would be better... if the food is good overall, the place is small and is easily crowded, feels unconfortable. coffee and hot drinks at a machine, no hot chocolate. Overall a very good quality price ratio.",5,0.9791
"We had a fantastic room with a great view overlooking a park and part of the harbour. The location was excellent, a short walk to the Bugis MRT station and within a kilometre of Raffles Hotel and the Formula 1 circuit. You can see (and hear) a section of the Formula 1 track from the top floor swimming pool. Also over Beach Road is Haji Lane which is full of restaurants and bars which had live music on Saturday night. The room was immaculately clean and the bed was one of the most comfortable beds I have ever slept in. All the staff were very friendly and professional. My wife and I would choose to stay the next time we are in Singapore.",5,0.9769
"A really nice 5 day stay with the whole family ranging in ages 9 through to 65, where all the staff are real friendly, &amp; accommodating &amp; the  facilities were above average. Plus within walking distance of many attractions, ",5,0.9323
"This is the second time we have stayed at this hotel. We booked a 3 room suite which was amazingly neat, clean and well-maintained. The hotel staff are very friendly, the view of the rooms overlooks Singapore Flyer with beautiful lights at night, adding to the romantic atmosphere at night. The atmosphere at the roof top pool is also very beautiful. The location is very close to Masjid Sultan and Bugis junction. There are many restaurants around the hotel. It is highly recommended to stay in this hotel when visiting Singapore.",5,0.9946
For value and excellent customer care you won't go wrong at this hotel Close to met station so easy to access all of Singapore's attractions  Over the road from the famous haji lane and all its diners and bars The hotel pool is an infinity pool which overlooks marina bay and the Singapore flyer. The room was spacious with a kitchen and living area  The hotel staff could not do enough for us,5,0.9381
We loved our stay here. The complimentary breakfast was excellent and the staff was great. The pool and gym had a gorgeous view and they were the best amenities of the hotel. The pool was great to swim in after a long day of exploring. I definitely recommend this hotel if you are seeking a relaxing and enjoyable stay.,5,0.9952
"A fantastic hotel in an excellent location in Singapore. Across the road from Haji lane and Bugis. The rooms were very modern and spacious. The only thing was the fridge wasn't that clean upon arrival but we didn't use it. The breakfast was lovely and very tasty a small selection but it changes everyday. However, it can get very busy and you may have to wait 1-2 mins for a table to become available. All staff were extremely welcoming.",4,0.6789
We stayed in the 1 bedroom suite.  Very comfortable clean accommodation.  Breakfast was fine.  Staff very helpful.  Would recommend.  Walking distance to most things we wanted to see but used taxis also which were quite cheap.,5,0.9785
Next time I visit Singapore Pan Pacific Suites will be my choice to stay.  All staff are very helpful special mention to Angeline on check in she gave myself and wife an upgrade because it was her birthday and have to mention the beautiful birth cake they bought to the room.  Excellent breakfast with a different varieties each morning.  Great views from room and the pool on the 21st floor is a great way to past time if you have a late flight back home.  Train and bus stops are very close so getting around is no problem at all.  Only 20 dollars for the taxi from the airport more convenient than the train or bus. . Has to be the quites place I have ever stayed in.  Singapore will always be my choice for a stop over now and Pan Pacific will be my choice f accommodation 😀,5,0.9245
"Im in Singapore for business quite often and this is the first time I stayed at the Pan Pacific in Beach Road. I have to say it's now my favorite place to stay in Singapore. Hotel staff from room service to housekeeping are extremely warm and accommodating, rooms are spacious and wonderfully-designed, and best of all, the pillows and sheets are heavenly fluffy-cloud soft. I loved the pillows and sheets so much that I inquired with Pan Pacific if they were available for sale. :) Breakfast can be a bit crowded so try to come early and make sure to grab a couple of croissants (or many) as they are incredibly buttery and just plain delightful. Pan Pacific will definitely be my go-to place in Singapore. Love everything about it. Lots of great restaurants nearby and in-room dining by",5,0.9907
"Pan Pacific Serviced Suites is the best facility in terms of location, services and price. The staff is very friendly and professional. Eddy and Sarah are best among their staff members. The facility provides breakfast - which is extra as none of serviced apartments provides breakfast.",5,0.9838
