Review ,Rating,Polarity
"Comfortable, private and clean room. Bathroom was splendid. Swimming pool was stunning. Carpark accessible but small. All day beverage was a good bonus. Wifi was fast. Room service can be better - took an hour with 3 calls to receive toiletries, with our room not made despite the Service sign up for the day. Buffet breakfast was so-so, minimal variety, not the tastiest. Overall good experience.",4,0.9735
"Hotel is located in a great position close to all amenities. Staff are helpful, very clean and good coffee is available just meters away from the hotel. I was traveling for business but will return with my family in the near future, I feel like this hotel will suit any type of  traveller. ",5,0.8683
"Stayed in this hotel with my friends and we had a virtuously remarkable experience. The level of hospitality of this hotel is topnotch and its people is their gem. To attest, one of the associates named Gian stood up; she welcomed us in the lobby and assisted straight in the registration. Her warm smile and high level of hospitality made the big difference in our arrival experience. The bellman also proactively offered luggage assistance. The entire front desk is undeniably friendly and welcoming similar to Gian.   The room is comfortable and the location of the hotel is very accessible to necessities.  Would love to return in this hotel soon.  Thank you!",5,0.9857
Went on holiday to Singapore stayed marina bay sands then Park hotel clark quay.  From arrival meeting Andy the concierge to reception  VIP Joe  who showed us different rooms my wife smokes did crystal club but stayed on smoking floor which was ideal as on 2 floor by pool. Crystal club lounge was closed but sat outside down stairs   We eat every night club food and drinks Ria who ran crystal club is a credit to your hotel .  She helped make our stay as did all crystal club staff Marco and others  Andy on the concierge desk saved our holiday helping us in multiple ways again a total credit to your hotel.  During a worldwide crisis the staff brought calm and joy .  Every person who works there contributed to making memories.  Here's hoping every one is safe  Would recommend this,5,0.99
"Stayed here  for 4 nights at end of February 2020. Comfortable hotel, nice room.  Particularly enjoyed using the swimming pool - lovely after a days sightseeing.  Very friendly and helpful staff.  Good location for sightseeing in Singapore, close to Clarke Quay but not in i,t so hotel quiet but with short stroll to bars and restaurants.  Close to choice of Underground stations for exploring other areas of Singapore.   Recommended location for those wanting  a central location to explore Singapore.",5,0.9213
"My wife and I had such a happy time at Porta. It's our third time there and it is good every time so I felt I have to give this review.   Their sea bass is always excellent, fresh and tasty. Fried Oyster too!  Not to mention, Desiree served our table and we had a wonderful experience with her.  Thumbs up!",5,0.9508
"Stayed 5 nights at this hotel as a couple. Nicely situated for easy access to all the sights in Singapore. Close to a subway station on the downtown line. The hotel is very well appointed with a bar and restaurant and a lovely pool with a bar as well. Free pool towels. We were room only so didn't use the main restaurant. Excellent service , very clean throughout, comfy beds and flat screen TV. Safe and minibar in the room. Good bathroom with two showers. Safe to drink water from the taps.",5,0.985
We had a great 1 nite stay @ this hotel.Check in &amp; check out was easy breezy-early check in allowed.The Filipina lady @ d reception who assist us during our check in n check out was very warm &amp; friendly.Will definitely come back again!😃,5,0.9039
"The Park Hotel is a well situated hotel for both tourists and business people to access the downtown area and make use of the transport links to explore the wider Singapore metropolitan area.  Staff are very friendly, rooms clean and the food on site appetizing. ",4,0.8204
Great customer service by Andrew with a prearranged beautiful city view! Nice amenities and bath tub in the toilet and fast check-in! Looking forward to return for local staycation in future!! Thumbs up!,5,0.918
