Review ,Rating,Polarity
"We initially only planned to stay 4 nights at the Park Regis hotel. However, due to changes to our travel plans we ended up staying for 10 nights and I am glad we chose this hotel. It was a great location in Singapore and good value for money being only a stones throw away from the busy tourist spot Clarke quay for Bars and Restaurants. As it was our first time in Singapore we were offered complimentary breakfast for each day of our stay which came in handy as food can be expensive in Singapore and the breakfast buffet selection was really good, they changed the menu every few days which was a positive as well.   The bed in the rooms is very comfy and the rooms are cleaned daily. I turned 30 when I was staying in this hotel and I didn’t mention to the staff as I didn’t want to",5,0.9726
"We stayed for 3 days and 2 nights. Highly recommended for family with kids  to get the room at the second floor with direct pool access. My son enjoyed our stay so much because of it.  Location very convenient. A short 3 mins walks to  Clarke quay MRT. Walking distance to Clarke quay and Chinatown, and a short ride to Sentosa and Orchard road. Staff are very friendly and always ready to help. Special thanks  to the front office and concierge team for being so accommodating and friendly the whole time. Breakfast spread was good too.  Thank you , we will definitely comeback ",5,0.9822
"It is hard to know where to start. The Park Regis has a wonderful location close to Clarke Quay, the CBD and China Town. It was the perfect base for our holidays. The room was magical yes some people could say small but the space is so cleverly used, the bed the most comfortable ever, by the first morning I would normally have a sore back, but after eight nights, no issue. The pool is fantastic and amazing ambiance for an inter city location.   Finally the staff, every single one of them and it does matter where they worked within the hotel, were just the best. We feel like we were being cared for by friends. Full of information and assistance, we will be back time and time again. ",5,0.9918
"Excellent location. Convenient for MRT, near to river and riverfront restaurants/bars.  Good facilities - pool, gym and restaurant. Friendly and helpful staff We had a pool side room with balcony which was great",5,0.9493
"We only stayed one night at the Park Regis Singapore but were thrilled with its proximity to great food and the Clarke Quay district, with its lively nightlife, riverside bars &amp; restaurants.    The hotel is very clean, with excellent customer service and a breakfast buffet sure to please- omelette station and all.  We hope to stay here longer during our next stay in Singapore!",5,0.988
"We had booked for four nights but our flight was brought forward one day so I had to book a extra night and it booked a city view room for the extra night unlike the other nights but your staff let us stay in the city view for all five nights and gave us complimentary breakfast for all five nights and the breakfast was wonderful, but all the staff were so helpful and friendly and the room and view were wonderful. Thank you so much ",5,0.9831
"I was looking forward to visiting Singapore and staying at the park regis but unfortunately  due to the coronavirus I cancelled my trip. I was disappointed in speaking to park regis staff about my change in travel plans. not only was staff very rude when expressing my concerns  but I was denied a refund citing a non-cancellation policy. Despite the current worldwide health crisis and provisions to keep people safe, the park regis decided to enforce a non-refund policy only offering the inconvenience of rescheduling my stay to a different date. Not expecting the Park regis to follow alone with many other hotels, airlines and business to softening there policy I was reminded that common sense and good customer service are both priceless and hard to find.....",1,-0.973
"During our stay, my Dad was unfortunately in hospital for 3 days. The staff could not have done more for us. Their customer care is outstanding. I cannot rate the hotel highly enough. The location is excellent, short walk to the tube station and to the restaurants in Clarke Quay.",5,0.8591
"My 10 yesr old Son &amp; myself recently stayed at this Hotel for two nights. I have to say that the Staff are incredible, so friendly &amp; attentive. They made my Son some paper animals &amp; gave him free biscuits &amp; Sweets which I thought was a lovely thoughtfull things to do for him. Our room was lovely &amp; exceptionally clean.  I have stayed in lots of Hotels over the years but I have to say this Hotel &amp; the staff are exceptional &amp; I HIGHLY recommend the Hotel. I have to Thank the Duty Manager called Rank Tan who was so helpfull aswell.  Thank you everyone at this Hotel &amp; we will be back one day without exception &amp; if you are going to Singapore make sure you stay at this Hotel.",5,0.9772
"Excellent staff. Clean rooms. Only stayed for a night but if had the time to stay longer, I would. One of the staff members graciously reserved free breakfast because it was my first time in Park Regis.  ",5,0.9201
"The room, location, and facilities were good and standard for a 4-star hotel.  I was very happy though, with the staff members, who were extremely friendly, helpful, and understanding. Kudos to Charley, the receptionist, and the 5th floor housekeeping uncle that I didn't have the chance to get to know. Other staff members that I met were also great.  Would definitely stay here again!",5,0.9723
"Very clean hotel with helpful and considered staff. The location is perfect for a first time sightseeing trip in Singapore. Perfectly situated near 2 main MRT lines. Also in walking distance of a lot of the main attractions, bars and restaurants.",5,0.9476
