Review ,Rating,Polarity
"I hate leaving bad reviews, but I really was disappointed about this hotel given the cost. The location is good as it is centrally located and close to metro and other major attractions, but the rooms are not impressive. The bed was comfortable. The biggest mistake we made was prepaying for the breakfast buffet. This needs a huge improvement. The food was no better than a Marriott Courtyard hotel. It was pretty obvious the fruit was canned fruit. I highly suggest to save your money and go to one of the many places near the hotel. I also felt like I was being forced to eat at the sky lounge as we were ""given access"". The view is spectacular, but  it's really ""access"" to the restaurant where everything is overpriced.",2,0.9374
"Stayed here for two nights , we have stayed here previously years back and thought our room was tired looking it was quite small but had everything you needed . The staff were helpful even whilst going through the covid 19 crisis. The location is good across the road from the metro station and an easy walk to Clarke quay , sun city and a 25 minute walk to gardens on the bay.",3,0.5859
"Hotel is in a good location. Food court very near. Recommend that guest get access to the Sky Lounge. Nice pool. Reception is on the first floor but this presents no problem.  Thank you to Assistant Duty Manager, Melvin, for ensure our stay was pleasant.",4,0.8587
"My partner &amp; I stayed here for our 3 night stopover on the way home to Australia after a tour of Vietnam.  From the moment we arrived at the check-in counter we felt valued. I'd left my phone on the airport shuttle but they very quickly contacted the shuttle company &amp; I was reunited with my phone within the hour. As an Elite Member, our Deluxe room that we'd paid for was upgraded to an Executive room. It was perfect for us.  It wasn't the biggest room, but it was big enough for us.  The bathroom was quite spacious, with separate bath &amp; shower.  The real feature of the room though was the view.  Our window overlooked the National Gallery &amp; we had spectaular, picture-perfect uninterrupted views of the Marina Bay Sands complex, Theatres on the Bay, the Singapore Flyer &amp; the city",5,0.7814
"Great location from all the Area, that's why it has City Hall MRT, Friendly and helpful staff make your trip worthwhile at reception like (lifeng) . Hotel is bit old, but if can be renovated than, will be key prime property in Singapore. If you happens to be lucky like me to get the MBS view,  than you have beautiful view from your room. Staff is always helpful to understand what exactly needed, they will take extra step to make it happen. I happens got offer to club floor and was delighted by happy faced girl Vasanthi providing the needed items in the room (if not available).",5,0.9877
"I am always mindful of the price of the hotel when writing a review and in view of this find that this hotel  surpassed expectations. It is literally on the main square within walking distance of Raffles etc, 1 minute from the subway and next to a great  food centre, where one could find ample choice of the freshly prepared delicacies Singapore is famous from.  Lovely rooms, lovely swimming pool, very good value.",5,0.9611
Our stay at Peninsula Excelsior Hotel Singapore was above and beyond our expectations..I want to say thank you to Vivian and Vasanthi to take the time and bring personally celebrated my birthday with a amazing presentation of a slice of cake to my room. Highly recommend Peninsula Excelsoir Hotel. Must mention the view is breath taken..just love it❤️,5,0.9583
"Having read some of previous comments I thought even before I entered the hotel that it would be terrible.. And yes my first ""deluxe"" room made all my worries come true :(.. The room was very small, the bed hard and I looked as if I saw stains everywhere.. Sio I went to the front-office and Mr. Khairi took a good look in his available deluxe rooms and was able to give me smooth transfer to a deluxe room at the front-side of the hotel and this room was excellent! beautifull look at the Marina.. This made my 4 day stay very pleasurable and I am looking forward to return to this overall a little bit dated hotel.. time for an overall overhaul of the hotel.. :)",4,0.9421
"Moved to this hotel after disappointing stay elsewhere. Booked a club room and was given a room on the 22nd floor next to the club lounge. The reception staff were efficient and helpful. The room was spacious and had a large window with a view of The Marina Bay hotel. Many thanks to the sky lounge team, Ariane, Vivian, Liying, Vasanthi and Mahrane who made by birthday an unforgettable experience. If I return to Singapore I will certainly stay here again.",5,0.7717
"We arrived after 2 days travelling due to storms in UK  After getting our rooms showering putting on lips we staggered to eat something Down to the restaurant in a ‘mind of it’s own lift’ we reached the restaurant where we came back to life!! Meal beautiful ...squash soup and Chocolate  lava with ice cream  Mmmmmmmmmm The service was good ,the waiters full of humour and the surroundings very pleasant Then up to 27 th floor to see a magnificent view of Singapore at night...what a feast for the eyes...lights every where But the rain poured down so we hastily retreated from balcony and into bed sleeping 13 hours..phew we are human today",4,0.9606
"most disappointing was that money was stolen from the hotel room and the staff did not report the follow up until checked with the reception staff. around S$200 was taken from the bag left in the room while the guest went out.  the hotel staff explained that after investigation only the cleaning staff &amp; hotel guest entered the room. so who took the money?  the response to simply claim from insurance is unsatisfactory. this means the hotel staff know that there is no way hotel guests can prove the money was stolen by staff so they can continue stealing without any penalty by the law.  this is terrible. would not recommend this hotel to anybody else.  the room size and toilet etc is a standard hotel, aircon is very cold in the room and the thermostat seems to be not working or",1,-0.9554
