Review ,Rating,Polarity
"My partner and I previously visited the Ritz Carlton Millenia in late 2017. We booked this hotel with the expectations of the luxurious hotel rooms displayed on the website. Upon arrival we were welcomed with exceptional service and of  which the hotel rooms displayed the exact expectations. With such an amazing first experience  we could not wait to return. As we were planning a holiday to the Maldives we were assured we would have to stay at least 3 nights, staff were able to arrange our stay with a beautiful Marina Bay View Club Room. The hotel features exquisite dining, spa, gymnasium, pool, conference and art installations. The main outstanding feature of the Ritz Carlton Millenia is their consistently impeccable service throughout the whole hotel.  The club staff create a",5,0.9657
The room is huge and beautiful and located just right acroos the Marina Bay.  The shops and restaurants are walking distance from the hotel. The staff and housekeeping were extra friendly and accommodating!,5,0.8655
"I stayed at the Ritz Carlton Millenia in October 2019.  - Service was exceptional. The check-in process was smooth.  - It was drizzling during the check-in. One of the concierge staff noticed I was carrying a shirt and took a plastic cover to cover the shirt to avoid it getting wet. I was pleasantly surprised by his attentiveness and initiative.   - The pool attendant (I didn't catch his name) was extremely attentive to the needs of the pool users,  - The slight hiccup happened when I had to wait for 45 mins to 1 hour for the room to be ready.   I had previously stayed at the Ritz Carlton and have experienced service standards that were wide. In this recent visit, it was extremely pleasant and I appreciate the good work by the ladies and gentlemen at the hotel.",5,0.9294
"Due to a very early flight, we arrived at the hotel early in the morning, expecting to be told to wait until normal check-in time. Instead, we were welcomed and offered not only an early check-in, but a complimentary upgrade to a suite, which was a great treat. We were checked in by Fabio, who took the time to find out what we hoped to see &amp; do in Singapore and then gave us some insider tips, including writing out a list of local foods he thought we'd enjoy (his best tip: download the Grab app, which is like a version of Uber - efficient, reliable and much cheaper than taxis). The room was really spacious and well-appointed with everything we needed. The views in both directions were breathtaking - the bedroom and lounge overlooked the marina whilst the bathroom overlooked the",5,0.9914
"It was the March school holidays and travelling out of Singapore wasn't an option. Hence we did a staycation in The Ritz Carlton! Upon arrival at the driveway, my family and I were greeted and whisked up to our room for check-in. I was delighted to know that we were given a complimentary upgrade to a premier suite and what's more, a Marina view room! The team at The Ritz Carlton had a tent set up for the kids and it was amazing! This came with kids amenities as well and it kept the kids excited and busy for a few hours!   I'd lunch at the Summer Pavilion and it was amazing! The restaurant was full and the food was fantastic! truly living up to the Michelin standard!   Breakfast at Colony was a little too quiet due to the low occupancy but it was good as there was no need to",5,0.947
Was in town for dinner and brought  my friends to the lounge for evening drinks.    Place was empty  due to the ongoing  covid19 but the staffs still  served with smiles on their faces.   Thanks  to Sharron  and her team for the warm service  for the evening.   Also thanks to Michelle  for her speciality  made mocktail. Refreshing!!!   Not to forget  sandrine  and rudi for keeping the place  running  smoothly.    A great place  as usual to bring my friends to hangout.  ,5,0.9827
"I had very high expectations for Ritz Carlton hotels having stayed in the ones in Osaka and Tokyo.  However I found the Singapore one lacking in service.  At the time of my check in I stood in front of the check in desk with no one acknowledging me.  That was not a good start.  And unlike in Japan where I was warmly welcome, I didn't feel I received a warm greeting at all even considering the difference in culture.  The room wasn't as luxurious as the Ritz in Osaka or Tokyo but it was bigger with big round windows even in the bathroom.  I didn't eat breakfast at the hotel but had coffee and snack in the lobby lounge.  Again the service was not very attentive.  I had trouble getting the waiting staff's attention for water and coffee refills.  The Ritz Carlton Singapore did not",4,-0.4179
"Had lunch with a group of guy friends at Summer Pavilion (one of the hotel's restaurants) on Valentine's Day. Funny, and coincidentally, enough that those of us who had partners were all free, but our wives were working. I've dined at the restaurant a few times now, but I'm still impressed every time I visit. It certainly deserves the Michelin Star which has been awarded to it for a few years now, and I firmly believe it serves the best Cantonese cuisine in all of Singapore. The food is such a satisfying gastronomic experience, and the service is always impeccable. When you do visit, which you definitely should, I recommend ordering a variety of dim sum and also the Peking Duck.",5,0.9867
"Beautiful hotel with great staff, spacious rooms and amazing views. The Chinese michelin starred restaurant was a bit of a let down, but the breakfast buffet more than made up for it. I'm glad I chose Ritz over Marina Bay Sands this time - it will now be my go to in SG.",5,0.886
"I choose to stay here after my vacation from Europe to rejuvenate &amp; celebrate my belated birthday. The reservation staff was kind enough to change my booking date due to cancellation of flight. The hotel earns its five stars with top quality rooms &amp; welcoming staff. Everything about this hotel oozes class from the lobby to the restaurant but most of all it is the seamless attention to detail that differentiate this hotel.   The room is spectacular though dated but very well maintained, clean &amp; spotless. The view is stunning by day &amp; night.  Many thanks to the kind staff of the Ritz Carlton Millenia Singapore for a flawless stay. Thank you Anastasia for the great service &amp; special care. And to the housekeeping team, Cheng Jing &amp; Liu Hui, the special touch &amp; the birthday amenities",5,0.9944
