Review ,Rating,Polarity
Right on the quay and restaurant area. Very nice motel clean and tidy. Rooms a little bit small but sufficient for us. Has pool for that late arvo swim after being out all day. Would stay again but have breakfast out as heaps of eating areas nearby .,4,0.4639
"I have booked and paid in full this hotel for myself and extended family 2 rooms in May before our cruise holiday. Due to the corona virus, government restrictions and do not travel notifications there is no way we can use our rooms. This hotel would not consider a refund, voucher or any amendments to the booking ..very heartless as lots more hotels in Singapore are refunding even ‘non-refundable ‘ bookings. And it seems like they’re doing to lots of people. Disgraceful Myself and my family will never use this hotel again. Beware!",1,-0.126
"After looking fwd to my stay that was booked and paid in full as nobody had foreseen the corona virus l rang the Robertson Quay Hotel to ask for a refund due to Singapore restrictions on entry for traveller coming via Asean nations. We are in Malaysia and previously been in Thailand. So the reservation lady said sorry we will not refund your 4 nights paid. She said you can enter Singapore and use your booking, l told her that was not possible. She said yes it was. I rang another hotel The Marriott Singapore and asked can l book 4 night. They sorry sir that's only possible if you have 14 nights booked in a room quarantined. I told The Robertson Quay Hotel reservations lady this. She said you can still come. No refund will be made. My booking agent Hotels.com has been totally",1,-0.0258
"Ok for a budget hotel and very close to the restaurants and river . Didnt have the breakfast so cant comment, nice pool area and quiet location. Room was a bit cosy and not much storage. Although its not somewhere I would  stay again, the staff were extremly helpful and polite.",3,0.3409
"I had been put up at this hotel for 2 weeks and it was nothing short of awful.  Its a simple budget hotel with absolutely no concern for customer service. No one at reception will help with bags so you struggle with heavy luggage up the small ramp or steps yourself.  The rooms are cramped but the beds pretty comfortable. The bathroom feels like an airplane toilet. They dont even give hand towels or hand soap. You have to use the shower gel for your hands too!  The worst aspects however is the quality of internet...its awful. The wifi connects in only certain parts of the room so good luck trying to watch a movie while lazing in bed.  The aircon is always blasting at freezing temperatures, could not sleep 1 night peacefully despite keeping it off.  The breakfast is the same thing",2,0.8846
"Dreadful experience.  Room was very small and cramped with an unpleasant smell, noisy and ineffective air conditioning, with an outlook through a small dirty window to an even dirtier small courtyard.  “Bathroom” was no bigger than a broom cupboard with 2 small threadbare towels. Poor levels of cleanliness in the room particularly with the cups, which were badly stained.   The buffet breakfast was a joke, barely warm eggs and beans, toast and cereal, the choice is take it or leave it. Their publicity photographs must have been taken elsewhere as they bear no resemblance to the actual dining room. And the standards of hygiene leaves a lot to be desired, the kitchen assistant cleared used plates and wiped the tables with a dirty rag of a cloth, then replenished the beans and",1,-0.9633
"We have a booking for this Hotel in May, 2020 pre cruise. Our cruise has been cancelled as it was due to end in Shanghai which is now a no go zone. I booked this Hotel through Qantas who have tried to change the booking to next year when we will be in Singapore again. They refuse to adjust, move or refund our money. Every other Hotel has been decent enough to at least issue vouchers for use in the future. This Hotel has no heart, putting money before public relations. DO NOT STAY HERE on principal. ",1,-0.765
"10 mins walking from Orchad Rd, 40 mins from Gardens by the bay, 15 mins walking from Chinatown and 5 mins walking from Clarke Quay  The room was small but nice and clean with a lovely view on the river and the pool. We could also see Marina Sands Bay(the bow of the ship)  Room was cold all the time, even with air con off  Very few choices for brekfast",3,0.9253
"The location is perfect; walking distance to the National Museum (through Fort Canning Park) and Gardens By The Sea, with a metro stop only a few blocks away.  If you exit the lobby and turn to the left walking toward the water, then it is an easy right turn to the Robertson Quay restaurant scene, or by turning left not far from the famous Clark Quay eateries and shopping.  Or exit lobby and turn right and walk a block to the UE Square which includes a grocery store.  Yes, the room was small but very well organized; bathroom had plenty of space for toiletries.  The breakfast was very simple but eggs every morning so sufficient for my needs.  Keeping in mind that it was much more reasonable than other hotels, we would recommend and stay again.",3,0.822
We spent ome night at the Robertson Quay hotel in Singapore.The location was lovely.However the hotel room was extremely  small the bathroom was literally a hole on the wall and full of mould. The bed  sheet to our horror had a blood stain.On complaining to reception thete was no offer for another room nor did they offer to remake the bed with clean sheets .Instead they left 2 sheets which lacked any clean freshness  for us to deal with. The soiled sheet  was left with us.We are left to wonder how if at all the sheets are laundered.The towels too were  threadbare The aircondioning was freezing and couldn't be adjusted There was no hot water available in the early hours of the morning This hotel is a disaster avoid it,1,-0.8807
