Review ,Rating,Polarity
"Fantastic hotel set amidst 15 acres of tropical landscaped gardens. Very near to Orchard Road. Excellent customer service. The room is clean, beautiful and spacious. Strong WiFi signal in the room without troublesome login. Very comfortable mattress and pillow. Top quality toiletries. Special shout out to customer service staff, Hafiz, who went the extra miles to make our stay enjoyable. Thanks! Highly recommended!",5,0.9877
Had an amazing 2 night stay at the Shangri-la! Visited with my 2 year old daughter and wife this hotel is perfect for business travellers and families alike.   The breakfast was amazing with a great selection. We were fortunate it be in the newly renovated family floor which is perfect for anyone travelling with kids ,5,0.9729
We were greeted by a welcoming vibe even during this period of CV19.   Stayed at the family room for 3d2n.   There was a playcation package ongoing and also one for golden circles member.   We stayed on level 7 all the way towards the end.   The room was clean and spacious with a private balcony where we had our room service.   Perfect for family with children as well. We brought our daughter and had a great time at the pool.   Food at The Line was good as it is. Buffet breakfast was fantastic as well.   Will recommend anyone that wants a short getaway! :),5,0.9834
"Was really looking forward to coming back to our favorite staycay in town when we checked in for a 4 night stay at the Valley Wing (to support local tourism since our flights all got grounded), but sad to say, it was off to a depressing start in here. I’m in on night 4 and will be checking out tomorrow, and still nothing has changed my mind about ever coming back again. Says a lot since this is our third or fourth stay with Valley Wing, and we used to love coming back to the welcoming environment and great team.  Our check-in was quite literally two parallel conversations going on. There was no effort to understand my question, nor was there an urgency to offer a solution. Neither was any apologies offered for my having gotten 2 conflicting pieces of information from the",3,0.8481
"Everything is just perfect enough. Especially thanks for Chef Daniele,Derrick ,Calvin, John and Mr.Andreano. Strongly recommend to enjoy the local Italian cuisine. A perfect option for any occasions  like gathering .",5,0.9633
"I love this hotel! Everyone here is so nice and helpful. I had a room in the garden wing which I would highly recommend because I had a lovely terrace. Had room service out there one night and it was so nice. Breakfast is amazing. I usually don't like buffets but this one was great. The hotel is in a beautiful neighborhood and you can walk to a lot of places from the hotel. I walked to shopping and the botanical gardens. The lobby area is really beautiful. My bed was so comfortable, bathroom was nice and I had plenty of storage in the room. The only negative about the hotel is that the pool was full of screaming children and service at the pool was pretty non-existent. I had to flag someone down to order a drink and something to eat.",5,0.9904
"The location is perfect, very close to malls and restaurants. Very helpful and accommodating there. We felt very welcomed. Love how there’s a bird sculpture hanging from the ceiling in the lobby. Breakfast was delicious as well definitely recommend trying!",5,0.976
"Checked temperature in view of precautionary measures on COVID-19: reception, CHI SPA, The Line  RECEPTION - Mr. Andreas Great and professionally accomodates all our concerns.  Followed up my unwell condition and extended checkout for me to rest comfortably.   CHI SPA- Ms Chona &amp; Ms. Winnie Very professional and great back and neck massage service.  Cheerful great smiles  Mr. Tamil - Assisted and safely delivered to our room my ordered flower bouquet for our anniversary  THE LINE - Ms. Syra, Ms Naw Very welcoming and cheerful smiles, attentive.  Great vibes to start our day and breakfast.   SERVICE CENTER - Ms Eva I would like to check my BP due to sudden giddiness.  Fast professionally attended to my concern regarding if they have available blood preasure equipment.  EMAIL - Ms",5,0.9918
"This is our second stay at the valley wing after a wonderful visit last year.The reception was fantastic carlito welcomed us back followed by edward and raja! We were overwhelmed yet again it was so nice to see them  it wouldn't be the same without them,the lovely zilla showed us up to the room and they had remembered it was out anniversary so there was wine,a cake and chocolates plus the bed decorated with swans and flowers.The summit room for breakfast is superb a real treat and Dominique is great we had a great time,the valley wing is like no where else elegant without being stuffy,the afternoon tea and canapes are of the highest quality and drinking verve clique just makes it so special. The staff are the stars here who make you feel wonderful, govinda who looked after us",5,0.9894
"My wife and I have stayed at the Shangri-la every two or three years since 1987.   For many years, it was the hotel of choice for professionals, especially when staying in the Horizon Club.   For the extra cost, one got excellent well-appointed rooms, and a degree of exclusive service in the breakfast and Club areas  On our recent trip, we found that the room had been redesigned, probably by someone who had never stayed there.  The bathroom is smaller, with the shower in a so-called wet-room area with a slippery floor, which could be dangerous.  A former feature used to be the full size bath-tub in which one could relax,  but this has been replaced by a small steep-sided one which is difficult to get out of.    For some reason, a small induction hob has been added to the",4,-0.1901
