Review ,Rating,Polarity
"Arrived at the hotel early in the morning after a long flight, rooms were ready for us and we had been upgraded.  Reception staff were so helpful and couldn't do enough for you.  Rooms were lovely, spotlessly clean and very comfy.  Reception staff went above and beyond to be helpful, always offering us bottles of water and tea and coffee.  We were only there for one night but I have to say this was a great start to our holiday and I would absolutely without doubt recommend this hotel.",5,0.9574
"This is our second visit to the Scarlet Hotel Singapore and it is perfect for a city break to Singapore. Built in a series of remodelled low rise picturesque older-style buildings from the colonial era, it is very comfortable with stylish decor.  The staff are extremely helpful and courteous.  We dealt mainly with Rozie who looked after us perfectly, helping out  with an additional booking of  a couple of days, and booking taxis etc.  Nothing was too much trouble.  There is a roof top bar which opens at 5.30pm which is a delightful place for cocktails or a light bight to eat.  The hotel  is located in a part of Chinatown which at night is very popular with locals and tourists, with many good restaurants and bars.  The atmosphere is sophisticated but lively!  Downtown is only a",5,0.9675
"Been to Singapore any number of times and never really taken to the place, I was looking for one nights accommodation following a cruise and looked carefully, didn't want to stay in the city centre. I found the Scarlet Hotel and I looked different so I booked it. From the first view, the reception and wonderful receptionist I was sold. The room (with a rear facing balcony) was a treat, I can't say enough about it. When we ventured out into the heritage Ann Siang Hill area we were equally delighted. Lots of coffee shops, bars, restaurants but good quality. At night, the street was traffic was blocked off and the restaurants spilled out into the street. The underground train service was a few minutes and very interesting walk  away and those that know Singapore are aware that",5,0.8963
"What a delightful hotel to stay in, with wonderful friendly staff especially Rozie, always there with a smile and so helpful. A great location, with a good choice of restaurants and bars on your doorstep.",4,0.9738
"Stayed here for one night en route to HK.  My husband had stayed here many years ago when the hotel first opened.  It’s in the heart of Chinatown and well located for restaurants and exploring the interesting streets and old shop houses, most now renovated.   The rooms are very small, some do not have windows so be warned.   We arrived mid afternoon and were checked in promptly.  Unfortunately it transpired that our room was not quite ready - the curtains had been removed for laundering- and were not back in place!   This was dealt with and we were quickly allocated another room, albeit slightly smaller.  The rooms are well decorated with extremely comfortable beds and pillows, and a well kitted out, small, bathroom.  The rooms have everything you need.   The restuarant was",4,0.6984
"The staff and concierge are superb (Leslie and Rose are wonderful). My family and I arrived early and they accommodated us by allowing us to keep our luggage in the room that was ready. They also served us drinks, showed us to our room, and gave us helpful tips about the surrounding area. The hotel is clean, great wifi, and has a beautiful vintage and classy look, with gorgeous chandeliers, mirrors, and antique furniture. The location is excellent - one block from Chinatown and across from a great food court with tons of authentic food options (the Maxwell Food Center); not only do locals eat there, but you can share tables and talk with people about Singapore.  Overall, my party and I were very pleased and impressed with this gem of a hotel.",5,0.9857
"Stayed in The Scarlet Singapore three years ago and was as impressed with the hotel as I was the first time. The location at the edge of Chinatown and a ten minute or so walk to Fullerton Quay by Marina Bay is ideal. Upkeep and service at the hotel are first rate. Special thanks to everyone at Reception, including Nigel, who seemed to always be there with a smile and helping hand. We will return! -Park and Michael",5,0.9601
Fantastic location just on the border of Chinatown but still enjoys a quiet neighbourhood. The staff were always friendly and asked how we were and if we needed any assistance each day. Whilst our room was in the basement we didn’t have any issue with lighting as there was a light well in the ceiling which provided natural light. Room was small - compact  but felt enough. And bathroom was good.  Definitely recommmend if you want to stay in Chinatown. ,5,0.9771
"Very Friendly Staff.  They even provided us with recommendations on breakfast places to consider in the morning.  There was a lot to see within walking distance of the hotel and there were two train stations within 5-10 minutes walk as well.  It was very close to Chinatown but just off the main street so we couldn't here the traffic noise.  The room was good too.  I thinks they may have upgraded us from a room without a window to a room with a skylight.  Don't worry about there not being windows ( I was a little concerned about this aspect prior to arriving, never having experienced it before) as it makes for a very restful sanctuary during the day when escaping from the heat outside.  It does make it hard to gauge what time it is though.  I would stay here again.",5,0.9208
The hotel is lovely and the staff are very friendly and helpful. Great location right near china town to get some good food. It is about a 30min walk to Merlion Park which was a straight road.   The room was clean and tidy. Nice shower and bottles of water also included in the room. ,5,0.9743
